id,surface,route,report_type,exact_visible_text,source_file,source_line,source_function,source_type,data_condition,required_data,example_payload_or_fixture,appears_in_ui,appears_in_pdf,ai_or_copilot_involved,parent_interpretation_risk,problem,severity,required_fix,owner_decision
"PR-011","Parent report short","/learning/parent-report?studentId=...&source=parent","short","דורש תשומת לב כעת: {mainFocusAreaLineHe}","pages/learning/parent-report.js","1902-1906","ParentReport","generated","!shortContractTop && diagnosticOverviewHe.mainFocusAreaLineHe","summary.diagnosticOverviewHe.mainFocusAreaLineHe","many questions low accuracy","yes","yes","no","הורה עשוי להבין שיש תחום דחוף ודאי","מסגור חזק; תלוי בשערי evidence","HIGH","להציג רק כאשר evidence sufficient; אחרת 'כדאי לעקוב'","לקבוע threshold"
"PR-012","Parent report short","/learning/parent-report?studentId=...&source=parent","short","יש נתוני תרגול בתקופה שנבחרה, אך עדיין אין מספיק בסיס ברור מהתרגולים כדי לזהות נושא דחוף אחד — כדאי להמשיך בתרגול ולעקוב שוב לאחר מכן.","pages/learning/parent-report.js","1907-1913","ParentReport","fallback","totalQuestions>0 && presence.state=hasVolumeNoPattern","summary.totalQuestions>0; diagnosticsView.presence.state","4-8 questions no pattern","yes","yes","no","הורה מבין שאין מסקנה דחופה","תקין","LOW","אין","לא נדרש"
"PR-013","Parent report short","/learning/parent-report?studentId=...&source=parent","short","אין עדיין תחום שזוהה כדורש תשומת לב מיידית בתקופה שנבחרה.","pages/learning/parent-report.js","1907-1913","ParentReport","fallback","no mainFocusAreaLineHe and not hasVolumeNoPattern","diagnosticOverviewHe without focus","mixed/empty focus","yes","yes","no","מרגיע שאין נושא מיידי","תקין","LOW","אין","לא נדרש"
"PR-014","Parent report short","/learning/parent-report?studentId=...&source=parent","short","תוצאות טובות יחסית — כדאי לשמר: {strongestAreaLineHe}","pages/learning/parent-report.js","1915-1919","ParentReport","generated","summary.diagnosticOverviewHe.strongestAreaLineHe exists","strongestAreaLineHe","high accuracy subject","yes","yes","no","הורה מבין שיש חוזק","תקין אם נבנה מ-valid evidence","MEDIUM","לוודא שלא מוצג מתחת ל-10 שאלות","לאשר threshold"
"PR-015","Parent report short","/learning/parent-report?studentId=...&source=parent","short","איפה נראו תוצאות טובות לפי התרגול שנאסף בתקופה שנבחרה","pages/learning/parent-report.js","1938-1947","ParentReport","static/generated","rawMetricStrengthsHe length>0","summary subject questions>=10; accuracy>=72","13-24 questions high accuracy","yes","yes","no","הורה מבין חוזק לפי מדד גולמי","תקין יחסית","LOW","אין; threshold טוב","לא נדרש"
"PR-016","Parent report short","/learning/parent-report?studentId=...&source=parent","short","{subject} נראה כמו מקצוע שהילד מצליח בו יותר כרגע: דיוק גבוה ({acc}%) לאורך {nq} שאלות בתקופה.","utils/parent-data-presence.js","147-150","deriveRawMetricStrengthLinesHe","template","subject questions>=10 && accuracy>=82","summary.{subject}Questions; summary.{subject}Accuracy","mathQuestions=13; mathAccuracy=90","yes","yes","no","הורה רואה חוזק יחסי מבוסס","תקין; יש הקשר כמות","LOW","אין","לא נדרש"
"PR-017","Parent report short","/learning/parent-report?studentId=...&source=parent","short","ב{subject} התוצאות נראות די עקביות בתקופה הזו ({acc}% דיוק, {nq} שאלות) — יש עדיין נושאים שכדאי לחזק.","utils/parent-data-presence.js","150-153","deriveRawMetricStrengthLinesHe","template","subject questions>=10 && 72<=accuracy<82","summary subject q/acc","englishQuestions=12; englishAccuracy=75","yes","yes","no","הורה רואה חוזק עם caveat","תקין","LOW","אין","לא נדרש"
"PR-018","Parent report short","/learning/parent-report?studentId=...&source=parent","short","מה חשוב לדעת","components/parent/ParentReportParentSections.jsx","117-127","ParentReportParentSections","static","parentFacing.insights length>0","report.parentFacing.insights","server-enriched payload","yes","yes","no","כותרת ניטרלית","תקין","LOW","אין","לא נדרש"
"PR-019","Parent report API/composer","/api/parent/students/[studentId]/report-data","short","לא הייתה פעילות תרגול בתקופה האחרונה — כדאי לעודד התחלה קצרה ונעימה.","lib/parent-server/parent-report-parent-facing.server.js","170-172","buildParentInsightsHe","generated","totalAnswers=0 && totalSessions=0","summary.totalAnswers=0; summary.totalSessions=0","zero data aggregate","yes","yes","no","הורה מבין להתחיל בעדינות","תקין","LOW","אין","לא נדרש"
"PR-020","Parent report API/composer","/api/parent/students/[studentId]/report-data","short","יש עדיין מעט נתוני תרגול — מומלץ לשמור על תרגול קצר וקבוע.","lib/parent-server/parent-report-parent-facing.server.js","174-176;227-229","buildParentInsightsHe","generated","0<totalAnswers<PARENT_EVIDENCE_VOLUME.STUDENT_REPORT_THIN_MAX OR softenStudentInsights","summary.totalAnswers; evidenceQuality","1-3 questions","yes","yes","no","הורה מבין שאין מספיק מידע","תקין","LOW","אין","לא נדרש"
"PR-021","Parent report API/composer","/api/parent/students/[studentId]/report-data","short","נראה שיש קושי ב{subject}, בעיקר לפי התרגולים האחרונים.","lib/parent-server/parent-report-parent-facing.server.js","178-186","buildParentInsightsHe","template","allowStrongStudent && weakest.accuracy<60 && subjectVisibleQuestions>0","evidenceQuality strong; subject diagnostic answers>=threshold","many questions low accuracy","yes","yes","no","הורה עשוי להבין קושי ודאי","מילה 'קושי' חזקה באזור מרכזי","HIGH","להחליף ל'נראה שכדאי לחזק' או להוסיף כמות ראיות","לאשר שימוש במילה קושי"
"PR-022","Parent report API/composer","/api/parent/students/[studentId]/report-data","short","יש טעויות חוזרות ב{subject} — שווה לחזור עליהן בקצב איטי.","lib/parent-server/parent-report-parent-facing.server.js","188-195","buildParentInsightsHe","template","mistakeSubjects.length && visible subject questions>0","recentMistakes filtered; subject questions>0","many questions with mistakes","yes","yes","no","הורה מבין דפוס טעויות חוזר","תקין רק אם recentMistakes מספיקות; אין count גלוי","HIGH","להוסיף 'לפי X טעויות/ניסיונות' או gate כמות","לקבוע threshold"
"PR-023","Parent report API/composer","/api/parent/students/[studentId]/report-data","short","הביצועים הכלליים בתקופה מצביעים על צורך בחיזוק נוסף.","lib/parent-server/parent-report-parent-facing.server.js","198-204","buildParentInsightsHe","generated","overallAccuracy<60 && totalAnswers>=MIN_SUBJECT_ANSWERS","summary accuracy/answers","9-12 questions low accuracy","yes","yes","no","הורה עלול להבין חולשה כללית","ניסוח אבחוני מדי","HIGH","לרכך: 'כדאי להמשיך לחזק' ולהציג כמות תשובות","לאשר ניסוח"
"PR-024","Parent report API/composer","/api/parent/students/[studentId]/report-data","short","כדאי לשים לב ל{topicLine} — זה נושא שחוזר בתרגולים.","lib/parent-server/parent-report-parent-facing.server.js","231-240","buildParentInsightsHe","template","weakTopic && allowsHedgedParentTopicInsightForCopy","topic diagnosticAnswers>=threshold; accuracy<60","topic low accuracy enough answers","yes","yes","no","הורה מבין נושא חוזר","תקין אם threshold מספיק","MEDIUM","להוסיף מספר שאלות/דיוק או hedge","לאשר threshold"
"PR-025","Parent report API/composer","/api/parent/students/[studentId]/report-data","short","להתחיל מתרגול קצר של 5–10 דקות, פעם ביום, כדי לבנות הרגל נעים.","lib/parent-server/parent-report-parent-facing.server.js","311-313","buildHomeRecommendationsHe","generated","totalAnswers===0","summary.totalAnswers=0","zero data","yes","yes","no","הורה מקבל פעולה כללית ללא אבחון","תקין","LOW","אין","לא נדרש"
"PR-026","Parent report API/composer","/api/parent/students/[studentId]/report-data","short","לחזור יחד על טעויות אחרונות ולשאול את הילד איך חשב או למה בחר בתשובה.","lib/parent-server/parent-report-parent-facing.server.js","307-309","buildHomeRecommendationsHe","generated","totalAnswers>0","summary.totalAnswers>0","1 question, no recentMistakes","yes","yes","no","הורה חושב שיש טעויות אחרונות גם אם אין","המלצה בלי בדיקת recentMistakes","BLOCKER","להציג רק אם recentMistakes/ wrong count קיימים","בעלים: מוצר/דאטה"
"PR-027","Parent report short","/learning/parent-report?studentId=...&source=parent","short","אבחון מבוסס נתונים","pages/learning/parent-report.js","3066-3070","ParentReport","static","diagnosticCards length>0","patternDiagnostics.subjects[].diagnosticCards","many questions with diagnostic units","yes","yes","no","הורה קורא זאת כאבחון","מסגור אבחוני מדי לפני השקה","BLOCKER","להחליף ל'תובנות מהתרגול'","בעלים: מוצר/UX"
"PR-028","Parent report short","/learning/parent-report?studentId=...&source=parent","short","אמון: {confidenceLabel}","pages/learning/parent-report.js","3095-3098","ParentReport","generated","card.confidence exists","diagnosticCards[].confidence","diagnostic unit","yes","yes","no","הורה מקבל confidence כאישור מקצועי","מסגור טכני/אבחוני","HIGH","להחליף ל'עד כמה המידע ברור'","בעלים: UX"
"PR-029","Parent report short","/learning/parent-report?studentId=...&source=parent","short","המלצה: {recommendationHe}","pages/learning/parent-report.js","3100-3104","ParentReport","generated","card.recommendationHe exists","diagnosticCards[].recommendationHe","diagnostic unit with action","yes","yes","no","הורה רואה המלצה סמכותית","חזק מדי ללא הצגת ראיות מספקת לידו","HIGH","להחליף ל'כיוון לתרגול' ולחייב evidence summary","בעלים: מוצר"
"PR-030","Parent report short","/learning/parent-report?studentId=...&source=parent","short","מעט שאלות בתקופה שנבחרה","pages/learning/parent-report.js","3458-3462","ParentReport","fallback","suppressChartsForThinEvidenceWindow","thin evidence report","1-3 or low total questions","yes","yes","no","הורה מבין שהגרפים לא משמעותיים","תקין","LOW","אין","לא נדרש"
"PR-031","Parent report short","/learning/parent-report?studentId=...&source=parent","short","מספר השאלות בתקופה שנבחרה נמוך מדי כדי להציג כאן גרפים או טבלאות בעלי משמעות ברורה. מומלץ להסתמך על הסיכום וההסברים למעלה, ולהמשיך בתרגול כדי לצבור תמונה ברורה יותר.","pages/learning/parent-report.js","3463-3466","ParentReport","fallback","suppressChartsForThinEvidenceWindow","thin evidence report","1-3 questions","yes","yes","no","הורה מבין מגבלת נתונים","תקין","LOW","אין","לא נדרש"
"PR-032","Parent report detailed","/learning/parent-report-detailed?studentId=...&source=parent","detailed","דוח מקיף לתקופה","pages/learning/parent-report-detailed.js","1538-1541","ParentReportDetailedPage","static","payload exists","detailed payload","any valid report","yes","yes","no","כותרת דוח","תקין","LOW","אין","לא נדרש"
"PR-033","Parent report detailed","/learning/parent-report-detailed?studentId=...&source=parent","detailed","דוח הורים מקיף — מבוסס על התאריכים הנבחרים","pages/learning/parent-report-detailed.js","1545-1547","ParentReportDetailedPage","static","payload exists","periodInfo","any valid report","yes","yes","no","הורה מבין מקור תקופה","תקין","LOW","אין","לא נדרש"
"PR-034","Parent report detailed","/learning/parent-report-detailed?studentId=...&source=parent","detailed","טווח תאריכים: {startDateLabelHe} – {endDateLabelHe} | מצב תקופה: {שבוע/חודש/תאריכים מותאמים}","pages/learning/parent-report-detailed.js","1548-1553","ParentReportDetailedPage","template","payload.periodInfo exists","periodInfo.startDateLabelHe/endDateLabelHe/period","custom/week/month","yes","yes","no","הורה מבין טווח הדוח","תקין","LOW","אין","לא נדרש"
"PR-035","Parent report detailed","/learning/parent-report-detailed?studentId=...&source=parent","detailed","מה עשינו בתקופה הזאת","pages/learning/parent-report-detailed.js","1558-1560","ParentReportDetailedPage","static","payload exists","overallSnapshot","any valid report","yes","yes","no","כותרת ניטרלית","תקין","LOW","אין","לא נדרש"
"PR-036","Parent report detailed","/learning/parent-report-detailed?studentId=...&source=parent","detailed","מקצועות שלא תורגלו בתקופה","pages/learning/parent-report-detailed.js","1603-1611","ParentReportDetailedPage","static/generated","overallSnapshot.lowExposureSubjectsHe displayed","lowExposureSubjectsHe","subject with zero questions","yes","yes","no","הורה מבין שאין נתונים במקצוע","תקין","LOW","אין","לא נדרש"
"PR-037","Parent report detailed","/learning/parent-report-detailed?studentId=...&source=parent","detailed","מצב הנתונים בדוח","components/parent/ParentReportDataHealthNote.jsx","28-35","ParentReportDataHealthNote","static","thin/notPracticed/dataQuality/mixedGrade exists","diagnosticOverviewHe or dataQualityNoteHe","zero/thin/mixed grade","yes","yes","no","הורה מקבל הקשר לנתונים","תקין","LOW","אין","לא נדרש"
"PR-038","Parent report detailed","/learning/parent-report-detailed?studentId=...&source=parent","detailed","נתונים מצומצמים במקצועות: {thinEvidenceSubjectsHe.join(' · ')}","components/parent/ParentReportDataHealthNote.jsx","39-42","ParentReportDataHealthNote","template","thinEvidenceSubjectsHe.length>0","diagnosticOverviewHe.thinEvidenceSubjectsHe","1-3 questions in subject","yes","yes","no","הורה מבין שמידע דק","תקין","LOW","אין","לא נדרש"
"PR-039","Parent report detailed","/learning/parent-report-detailed?studentId=...&source=parent","detailed","מה מומלץ לעשות בבית","pages/learning/parent-report-detailed.js","1657-1663","ParentReportDetailedPage","static","defaultHomeItems.length>0","parentFacing.homeRecommendations or homePlan.itemsHe","any generated home plan","yes","yes","possible indirect","הורה מקבל פעולה לביצוע","כותרת חזקה אם evidence דק","HIGH","להחליף ל'רעיונות קצרים לבית' כש evidence לא מספיק","לקבוע wording by evidence"
"PR-040","Parent report detailed","/learning/parent-report-detailed?studentId=...&source=parent","summary","מקוצר: מילה לכל מקצוע","pages/learning/parent-report-detailed.js","1666-1677","ParentReportDetailedPage","static","displayMode==='summary'","mode=summary","print summary","yes","yes","no","ניסוח לא ברור להורה","לא טבעי","MEDIUM","להחליף ל'תקציר לפי מקצוע'","בעלים: UX"
"PR-041","Parent report detailed","/learning/parent-report-detailed?studentId=...&source=parent","detailed","אין מקצועות עם מספיק נתונים להצגה בתקופה שנבחרה.","pages/learning/parent-report-detailed.js","1697-1699;1847-1849","ParentReportDetailedPage","fallback","visibleSubjectProfiles.length===0","all subjectQuestionCount<=0","zero data/no visible subjects","yes","yes","no","הורה מבין שאין מספיק נתונים","תקין","LOW","אין","לא נדרש"
"PR-042","Parent report detailed","/learning/parent-report-detailed?studentId=...&source=parent","detailed","נושאים שדורשים ליווי בתקופה שנבחרה","pages/learning/parent-report-detailed.js","1786-1789","ParentReportDetailedPage","static","sp.topicRecommendations.length>0","topicRecommendations","topic recommendation exists","yes","yes","no","הורה מבין חובה/בעיה","'דורשים' חזק מדי","HIGH","להחליף ל'נושאים שכדאי ללוות בעדינות'","בעלים: UX"
"PR-043","Parent report detailed","/learning/parent-report-detailed?studentId=...&source=parent","detailed","ב{topic} התמונה עדיין בראשית דרך: היו {q} שאלות, עם דיוק של כ {acc}%.","utils/detailed-report-parent-letter-he.js","422-425","buildTopicRecommendationNarrative","template","early && 0<q<12","topicRecommendation q/accuracy/evidenceStrength low","4-8 questions","yes","yes","no","הורה מקבל hedge טוב","תקין","LOW","אין","לא נדרש"
"PR-044","Parent report detailed","/learning/parent-report-detailed?studentId=...&source=parent","detailed","בשלב הזה לא קובעים סופית לגבי {topic}. היו {q} שאלות, עם דיוק של כ {acc}%.","utils/detailed-report-parent-letter-he.js","428-435","buildTopicRecommendationNarrative","template","conclusionStrength withheld/tentative","tr.conclusionStrength; q/accuracy","9-12 questions tentative","yes","yes","no","הורה מבין זהירות","תקין","LOW","אין","לא נדרש"
"PR-045","Parent report detailed","/learning/parent-report-detailed?studentId=...&source=parent","detailed","ב{topic} כרגע עדיף לעצור לחיזוק ממוקד: היו {q} שאלות, עם דיוק של כ {acc}%.","utils/detailed-report-parent-letter-he.js","410-420","buildTopicRecommendationNarrative","template","recommendedNextStep==='remediate_same_level' && q>0","topic recommendation low accuracy","many questions low accuracy","yes","yes","no","הורה מבין לחזק","תקין רק אם q מספיק; עבור q<8 חזק מדי","HIGH","לחייב q>=8 או hedge mandatory","לקבוע threshold"
"PR-046","Parent report detailed","/learning/parent-report-detailed?studentId=...&source=parent","detailed","ב{subject} עדיין אין תמונה מספיק ברורה. כדאי להמשיך עם תרגול קצר ולבדוק שוב אחרי עוד כמה תרגולים.","utils/detailed-report-parent-letter-he.js","334-345","applySubjectNarrativeGuardrails","generated","narrative contracts include WE0/WE1","topic contracts strict restraint","thin/uncertain subject","yes","yes","no","הורה מבין שאין מסקנה","תקין","LOW","אין","לא נדרש"
"PR-047","Parent report detailed","/learning/parent-report-detailed?studentId=...&source=parent","detailed","הנושא הבולט כרגע ב{subject} הוא {topic}.","utils/detailed-report-parent-letter-he.js","192-196","buildSubjectOpeningLineHe","template","topWeakness exists","sp.topWeaknesses[0]","weak subject","yes","yes","no","הורה מבין מוקד מרכזי","חזק מדי אם evidence דק","HIGH","להוסיף תנאי q/confidence או hedge","לקבוע threshold"
"PR-048","Parent report detailed","/learning/parent-report-detailed?studentId=...&source=parent","detailed","המיקוד המעשי כרגע: בנושא {topic} — חזרה עקבית — כדאי לשים על זה דגש.","utils/detailed-report-parent-letter-he.js","262-268","buildSubjectDiagnosisLineHe","template","topWeakness && mistakeCount>=8","w0.mistakeCount>=8","many mistakes","yes","yes","no","הורה מבין דפוס חוזר","תקין אם mistake evidence מוצג","MEDIUM","להציג מספר טעויות/שאלות לידו","בעלים: UX"
"PR-049","Parent report detailed","/learning/parent-report-detailed?studentId=...&source=parent","detailed","ב{subject}: פעמיים בשבוע תרגול קצר, עם דגש על קריאת המשימה לפני התשובה.","utils/detailed-report-parent-letter-he.js","278-286","buildSubjectHomeLineHe","fallback","no recommendedHomeMethodHe, no subjectImmediateActionHe, no parentActionHe","sp subject only","subject profile without action","yes","yes","no","הורה מקבל המלצה כללית","סביר אך חסר הקשר evidence","MEDIUM","להציג כ'רעיון כללי' לא המלצה","בעלים: UX"
"PR-050","Parent report detailed","/learning/parent-report-detailed?studentId=...&source=parent","detailed","הבהרה חשובה","components/ParentReportImportantDisclaimer.js","12-14","ParentReportImportantDisclaimer","static","always at end of report","none","any report","yes","yes","no","הורה מבין שיש הסתייגות","תקין","LOW","אין","לא נדרש"
"PR-051","Parent report detailed","/learning/parent-report-detailed?studentId=...&source=parent","detailed","הדוח, ההמלצות והתובנות במסמך זה נגזרות מתוך נתוני התרגול והשימוש במערכת.","components/ParentReportImportantDisclaimer.js","16-18","ParentReportImportantDisclaimer","static","always at end of report","none","any report","yes","yes","no","הורה מבין מקור נתונים","תקין","LOW","אין","לא נדרש"
"PR-052","Parent report detailed","/learning/parent-report-detailed?studentId=...&source=parent","detailed","אינם מהווים אבחון חינוכי, דידקטי או מקצועי, ואינם מחליפים שיקול דעת של מורה, יועץ, איש חינוך או בעל מקצוע מוסמך.","components/ParentReportImportantDisclaimer.js","19-23","ParentReportImportantDisclaimer","static","always at end of report","none","any report","yes","yes","no","הורה מבין מגבלת הדוח","תקין וחיוני","LOW","אין","לא נדרש"
"PR-053","Parent AI insight","/learning/parent-report and /learning/parent-report-detailed","short+detailed","סיכום חכם להורה","components/ParentReportInsight.jsx","143-155","ParentReportInsight","ai/generated","explanation.ok && structured exists","parentAiExplanation.structured","report with AI narrative/fallback","yes","yes","yes","הורה מייחס סמכות ל-AI summary","נכנס גם ל-PDF; parity תלוי timing","BLOCKER","להקפיא snapshot או להוציא מה-PDF; לשנות label","בעלים: מוצר/AI"
"PR-054","Parent AI insight","/learning/parent-report and /learning/parent-report-detailed","short+detailed","תובנה להורה","components/ParentReportInsight.jsx","143-159","ParentReportInsight","ai/generated","explanation.ok && no structured && text exists","parentAiExplanation.text","legacy AI explanation","yes","yes","yes","הורה מקבל סיכום AI כטקסט מרכזי","עלול להסיק יותר מדי","HIGH","ריכוך ו-gating לפי dataConfidence","בעלים: AI"
"PR-055","Parent AI composer","client-side AI adapter","short+detailed","לגבי {subject}: מהתרגול המועט שנאסף אפשר לקבל כיוון ראשוני בלבד.","utils/parent-report-ai/parent-report-ai-explainer.js","83-91","getDeterministicParentReportExplanation","generated/fallback","dataConfidence==='thin' or 'low'","strict input dataConfidence; subject","1 question in primary subject","yes","yes","yes","הורה חושב שיש כיוון למרות מעט מידע","מסקנה על מעט מדי נתונים","BLOCKER","להחליף ל'אין מספיק מידע לכיוון'; לא להציג insight","בעלים: AI/מוצר"
"PR-056","Parent AI composer","client-side AI adapter","short+detailed","מהתרגול שנאסף אפשר לראות תחום שכדאי לחזק בבית","utils/parent-report-ai/parent-report-ai-explainer.js","92-95","getDeterministicParentReportExplanation","generated/fallback","accuracyBand low/mixed and dataConfidence not thin/low","accuracyBand; dataConfidence","6-8 questions low accuracy","yes","yes","yes","הורה מבין המלצה לבית","חזק מדי אם dataConfidence low ביניים","HIGH","להוסיף threshold explicit וראיות ליד המשפט","בעלים: AI"
"PR-057","Parent AI composer","client-side AI adapter","short+detailed","המלצת המערכת להמשך התרגול: {recommendedNextStep}","utils/parent-report-ai/parent-report-ai-explainer.js","119-122","getDeterministicParentReportExplanation","generated/fallback","strict input exists","recommendedNextStep","any non-zero report","yes","yes","yes","הורה רואה הוראה סמכותית מהמערכת","המלצה גם ב-thin/low","BLOCKER","לא להציג 'המלצת המערכת' תחת dataConfidence thin/low","בעלים: AI"
"PR-058","Parent AI narrative","client-side AI adapter","short+detailed","בתקופה זו לא נאסף תרגול במערכת. כדאי להמשיך לעקוב לאחר תרגול נוסף לפני הסקת מסקנות.","utils/parent-report-ai-narrative/deterministic-fallback.js","39-41","buildSummary","generated/fallback","packet.overall.totalQuestions===0","insight packet totalQuestions=0","zero data","yes","yes","yes","הורה מבין שאין מסקנה","תקין","LOW","אין","לא נדרש"
"PR-059","Parent AI narrative","client-side AI adapter","short+detailed","חשוב לזכור שהנתונים בתקופה זו מועטים — מדובר בכיוון ראשוני בלבד וכדאי להימנע ממסקנות חזקות.","utils/parent-report-ai-narrative/deterministic-fallback.js","107-123","buildCautionNote","generated/fallback","thinDataWarnings include overall","packet.thinDataWarnings","thin/low data","yes","yes","yes","הורה מקבל caveat","תקין אבל לא מספיק אם לידו יש המלצה","MEDIUM","להצמיד לפני כל המלצה או להסתיר המלצות","בעלים: AI"
"PR-060","PDF/export","/learning/parent-report-detailed","detailed/summary PDF","הדפס מלא","pages/learning/parent-report-detailed.js","1887-1894","ParentReportDetailedPage","pdf","payload exists; user clicks print full","displayMode full","any detailed report","yes","no","no","הורה מצפה PDF זהה למסך","לא מבטיח freeze מול AI timing","BLOCKER","לנעול טקסט לפני הדפסה או ליצור PDF payload קפוא","בעלים: מוצר"
"PR-061","PDF/export","/learning/parent-report-detailed","summary PDF","הדפס תקציר","pages/learning/parent-report-detailed.js","1895-1901","ParentReportDetailedPage","pdf","payload exists; user clicks print summary","displayMode summary","any detailed report","yes","no","no","הורה מצפה תקציר מקביל","לא מובטחת parity עם full/short","HIGH","בדיקת parity וטקסט מקור אחד","בעלים: מוצר"
"PR-062","PDF/export","/learning/parent-report-detailed","detailed/summary PDF","window.print()","pages/learning/parent-report-detailed.js","480-488","printWithMode","pdf","user clicks print","current DOM state","AI may still be pending/resolved","no","yes","yes","PDF תלוי timing","PDF לא תואם UI בהכרח","BLOCKER","snapshot immutable before print","בעלים: מוצר/FE"
"PR-063","Copilot","/learning/parent-report-detailed","detailed","ParentCopilotShell","pages/learning/parent-report-detailed.js","1520-1524","ParentReportDetailedPage","ai","payload exists and not teacher source","payload; copilotStudentId","parent detailed report","yes","no","yes","Copilot יכול לענות על הדוח אך לא מודפס","לא משפיע ישירות על PDF; כן משפיע על הבנת ההורה","MEDIUM","לוודא Copilot משתמש באותם gates ומצהיר שאין אבחון","בעלים: AI"
"PR-064","API payload","/api/parent/students/[studentId]/report-data","short+detailed","report-data payload enriched with parentFacing","pages/api/parent/students/[studentId]/report-data.js","68-76","handler","generated","authorized parent GET with range","student ownership; from/to","parent student report-data","no","indirect","no","payload בונה את משפטי הורה","תקין מבנית","LOW","אין","לא נדרש"
"PR-065","API payload","/api/teacher/students/[studentId]/parent-report-data","teacher preview","teacher parent-report-data payload","pages/api/teacher/students/[studentId]/parent-report-data.js","71-102","handler","generated","authorized teacher preview","teacher context; studentId; range","teacher preview source=teacher","no","indirect","no","מורה יכול לראות/להדפיס דוח הורה","לא בתחום הורה ישיר אך route משפיע","MEDIUM","לוודא אותו payload ואותו copy gates","בעלים: מוצר"
"PR-066","PDF/export","/learning/parent-report-detailed?period=day|schoolYear","detailed/summary PDF","טווח תאריכים: {startDateLabelHe} – {endDateLabelHe} | מצב תקופה: {שבוע/חודש/תאריכים מותאמים}","pages/learning/parent-report-detailed.js","330-336;1548-1553","ParentReportDetailedPage","generated/pdf","period is day, schoolYear, invalid, or incomplete custom; detailed normalizes to week","router.query.period; start/end","short report opened with period=day then detailed print","yes","yes","no","הורה עלול לקבל PDF עם טווח/ספירות שונים מהדוח הקצר","fallback שקט ל-week בדוח מפורט שובר parity","BLOCKER","לתמוך באותם presets כמו הדוח הקצר או לחסום מעבר עם הודעה גלויה","בעלים: מוצר/FE"
