id,flow_name,input_data,evidence_count,evidence_source,threshold_used,gate_result,prompt_or_template,source_file,source_line,source_function,possible_output_text,actual_or_expected_visible_text,parent_risk,language_quality_problem,leakage_risk,severity,required_fix,owner_decision
F11,learning_book_only,"Evidence source learning_book only",">0","learning_book","source phrase map","source visible","evidenceSourcePhraseHe","utils/parent-report-language/grade-insight-he.js",17,"evidenceSourcePhraseHe","לאחר עבודה בספר","Expected visible source phrase","Good grounding","Natural","No leakage","LOW","Keep source attached near recommendation","No decision unless copy changes"
F12,self_practice_only,"Evidence source self_practice only",">0","self_practice","source phrase map","source visible","evidenceSourcePhraseHe","utils/parent-report-language/grade-insight-he.js",17,"evidenceSourcePhraseHe","בתרגול עצמאי","Expected visible source phrase","Good grounding","Natural","No leakage","LOW","Keep source attached near recommendation","No decision unless copy changes"
F13,mixed_evidence_grade_split,"Same topic in multiple grade rows",">0 multiple rows","gradeSplitTopicRowKeys / evidenceSources","splitKeys length>=2","grade split narrative","gradeSplitNarrativeHe","utils/parent-copilot/intent-answer-composers.js",214,"gradeSplitNarrativeHe","באותו נושא יש תרגול בכמה רמות כיתה...","Expected explanation by row","Good but may be verbose","Mostly natural","No leakage if row keys hidden","LOW","Ensure row keys never appear; keep grade labels parent-safe","Owner approve mixed-grade wording"
F14,off_topic_question,"Parent asks unrelated question",0,"utterance only","offTopic >=0.4 and no strong report token","off_topic boundary","OFF_TOPIC_RESPONSE_HE / composeAnswerDraft","utils/parent-copilot/question-classifier.js",79,"classifyParentQuestionDeterministic","אפשר לשאול כאן שאלות על הדוח...","Expected redirect","Good if no report data contamination","Natural","Bucket must not be visible","LOW","Keep validator off_topic_report_data_contamination test","No decision"
F15,parent_asks_child_weak,"הילד שלי חלש?",">=8 if routed to topic","TOPIC_PROBLEM_RE / weakness category","reportSignal >=0.5; weak q>=8 acc<=54","topic_problem","composeTopicProblem","utils/parent-copilot/intent-answer-contract.js",30,"resolveAnswerContract","הדבר המרכזי שדורש תשומת לב...","May answer weakness with selected weakest topic","Can sound diagnostic or label child weak","Natural but sensitive","No direct leakage","HIGH","Answer should avoid 'הילד חלש'; say 'בדוח נראה קושי בנושא...' with q/acc/hedge","Owner approve child-label policy"
F16,parent_asks_week_plan,"מה לעשות השבוע?",">0 maybe thin","HOME_PRACTICE_RE; recommendationEligible check","home_practice or executive weekly plan","defaultConcretePlanTextHe / buildExecutiveIntentNarrativeSlots","utils/parent-copilot/answer-composer.js",151,"defaultConcretePlanTextHe","שלושה חלונות קצרים בשבוע; בכל חלון 5-8 שאלות","Can be generated as generic plan even when evidence thin","Recommendation may outrun evidence","Natural","No leakage","BLOCKER","Require recommendationEligible for concrete plan or label as generic habit not AI recommendation","Owner decide weekly-plan policy"
F17,asked_subject_without_data,"Parent asks about subject absent/no data",0,"subject profiles/question counts","SUBJECT_EVIDENCE_TIER.none","zero_evidence","zeroEvidenceSubjectCopilotHe","utils/parent-report-language/subject-evidence-policy.js",155,"zeroEvidenceSubjectCopilotHe","לא נאספו נתוני תרגול ב[מקצוע]","Expected boundary","Good","Natural","No leakage","LOW","Add scenario test for absent subject vs off_report_subject_clarification","No decision"
F18,internal_labels_returned,"Diagnostic card object serialized to parent/report",">0","diagnosticEngineV2 unit","no complete sanitizer for label/source","label/source fields present","diagnosticCardLabel / buildDiagnosticCardsForSubject","utils/parent-report-v2.js",1017,"diagnosticCardLabel","label='topic:bucketKey' or taxonomy id; source.unitId","Visible/API payload may include internal identifiers","Parent trust and privacy/debug leakage risk","Not language; internal exposure","Direct label leak risk","BLOCKER","Strip label/source/topicEngineRowSignals from public parent payload; keep labelHe only","Owner decide public payload schema"
F19,fallback_activated,"LLM disabled or invalid output; deterministic fallback used","varies","truthPacket contracts","fallbackUsed/validator","fallback answer blocks from contract_slot/composed","composeAnswerDraft / validator","utils/parent-copilot/guardrail-validator.js",495,"validateParentCopilotResponseV1","fallbackUsed true requires contract_slot sources","Expected safe fallback, but no-anchor fallback action remains","Fallback may bypass intended no-recommendation tone","Natural","Possible raw source status if exposed","BLOCKER","Fix no-anchor fallback and ensure fallbackUsed not parent-visible","Owner decide fallback UI transparency"
F20,sanitizer_cleans_output,"Public report payload includes internal keys/values","n/a","serialized payload","INTERNAL_PARENT_REPORT_KEYS + regex","partial strip","deepStripInternalReportKeys","lib/parent-server/report-payload-public-sanitize.js",7,"deepStripInternalReportKeys","Known keys removed; unknown ids remain","Expected no internal leaks, actual coverage incomplete","Leakage risk if new keys not listed","Not language","High internal leakage risk","BLOCKER","Denylist plus allowlist parent-facing schema; add scan for topic:, dc:, gating, source, unitId","Owner approve schema allowlist"
F21,diagnostic_sensitive_question,"Parent asks ADHD/dyslexia/diagnosis",0,"utterance","diagnostic >=0.7","clinical_boundary","DIAGNOSTIC_BOUNDARY_RESPONSE_HE / buildClinicalBoundaryAnswerDraft","utils/parent-copilot/question-classifier.js",82,"classifyParentQuestionDeterministic","אי אפשר לקבוע אבחנה או להצמיד תווית קלינית","Expected boundary","Good; no diagnosis","Natural","No leakage","LOW","Keep fixed fingerprint and tests","No decision"
F22,ai_prompt_raw_enums,"LLM path prompt construction",">0","truthPacket facts","prompt includes RI0/RI1 and booleans","LLM receives internal enum facts","FACTS_JSON","utils/parent-copilot/llm-orchestrator.js",107,"buildGroundedPrompt","recommendationIntensityCap:'RI0'","Should never be visible; model may echo if validator misses","Leakage and robotic answer risk","Prompt Hebrew OK; raw JSON internal","Raw enum in prompt","HIGH","Send parent-safe booleans/phrases instead of raw enums; validator remains second line","Owner decide model fact schema"
F23,ai_insight_packet_low_q_strength,"AI insight packet derives strength from 4 questions at >=80% accuracy",4,"topic insight packet","strength >=4 q and >=80% in derive-topic-insights; matrix INSIGHT_MIN=8","strength selected too early","AI narrative deterministic fallback / topic insights","utils/parent-report-insights/derive-topic-insights.js",28,"deriveTopicInsights / pickStrengths","התרגול ב[נושא] נראה יציב — 4 שאלות, דיוק 80%.","Could be visible through AI narrative/fallback","Strength claim before official insight threshold","Natural but overconfident","No direct leakage","BLOCKER","Import PARENT_EVIDENCE_VOLUME; block strength/focus before q>=8 and strong before q>=12","Owner decide whether AI insight packet may use lower exploratory thresholds"
F24,ai_data_confidence_drift,"AI narrative confidence classifies thin/low/moderate with private thresholds",6-11,"insight packet aggregate","thin <6; moderate <12; strong >=40","dataConfidence not matrix-aligned","deterministic AI fallback summary/caution","utils/parent-report-insights/derive-data-confidence.js",8,"classifyDataConfidence","מדובר בכיוון ראשוני בלבד","May understate or overstate compared with official 5-7/8-11/12 tiers","Wording can confuse parent across surfaces","Natural","No leakage","HIGH","Map dataConfidence to classifyParentEvidenceTier and parent-safe labels","Owner choose single confidence vocabulary"
F25,grade_aware_template_engine_fallback,"Taxonomy/grade entry has no approved actionTextHe or goalTextHe",">=varies","grade-aware recommendation resolver","null template default -> engine fallback","unapproved fallback recommendation possible","grade-aware recommendation templates","utils/parent-report-language/grade-aware-recommendation-templates.js",156,"GRADE_AWARE_RECOMMENDATION_TEMPLATES","Engine fallback recommendation for bucket without approved Hebrew","Parent may see unreviewed recommendation copy","Hebrew quality unapproved in central area","Possible engine taxonomy wording if fallback not sanitized","HIGH","Block parent-visible recommendation unless approved template or bucket override exists","Owner approve fallback policy per taxonomy"
F26,summaryhe_surface_mismatch,"Same subject/report state rendered by short and detailed report fallback paths","varies","V2 units / detailed subject profile","parallel summaryHe fallback trees","different visible severity","summarizeV2UnitsForSubject vs buildSubjectProfilesFromV2","utils/parent-report-v2.js",1543,"summarizeV2UnitsForSubject","עדיף עוד קצת תרגול לפני שקובעים כיוון סופי","Detailed path may say צריך בירור נוסף for similar state","Parent sees inconsistent severity across screens","Both natural but inconsistent","No leakage","HIGH","Create one summaryHe fallback owner imported by both short and detailed surfaces","Owner decide canonical fallback wording"
