type,subject,he_name,key,output_file,notes_he,source,width,height
shop,shop,ליאו כבאי,shop_firefighter,public/rewards/cards/shop/shop_firefighter.webp,קלף חנות: כבאי גיבור.,a_highly_detailed_vibrant_fantasy_illustration_ca_4_batch_4.png,1024,1536
shop,shop,ליאו פיראט,shop_pirate_captain,public/rewards/cards/shop/shop_pirate_captain.webp,קלף חנות: קפטן פיראט.,a_highly_detailed_fantasy_illustrated_game_card_st_1_batch_1.png,1024,1536
shop,shop,ליאו שומר היער,shop_forest_guardian,public/rewards/cards/shop/shop_forest_guardian.webp,קלף חנות: שומר יער קסום.,a_highly_detailed_fantasy_game_card_style_illustra_2_batch_2.png,1024,1536
shop,shop,ליאו חוקר הגלקסיה,shop_galactic_explorer,public/rewards/cards/shop/shop_galactic_explorer.webp,קלף חנות: חוקר חלל.,a_highly_detailed_fantasy_sci_fi_trading_card_styl_3_batch_3.png,1024,1536
shop,shop,ליאו נהג מרוצים,shop_racing_driver,public/rewards/cards/shop/shop_racing_driver.webp,קלף חנות: נהג מרוצים.,a_highly_detailed_glossy_fantasy_illustration_st_4_batch_4.png,1024,1536
shop,shop,ליאו קוסם,shop_wizard,public/rewards/cards/shop/shop_wizard.webp,קלף חנות: קוסם בספרייה קסומה.,a_highly_detailed_fantasy_illustration_in_a_golden_1_batch_1.png,1024,1536
shop,shop,ליאו כוכב במה,shop_music_star,public/rewards/cards/shop/shop_music_star.webp,קלף חנות: כוכב מוזיקה.,a_highly_detailed_ornate_fantasy_trading_card_sty_2_batch_2.png,1024,1536
shop,shop,ליאו גולש,shop_surfer,public/rewards/cards/shop/shop_surfer.webp,קלף חנות: גולש חופים.,a_highly_detailed_fantasy_card_illustration_scene_3_batch_3.png,1024,1536
shop,shop,ליאו צייר,shop_artist_painter,public/rewards/cards/shop/shop_artist_painter.webp,קלף חנות: צייר בסטודיו.,a_highly_detailed_ornate_fantasy_illustration_car_4_batch_4.png,1024,1536
shop,shop,ליאו ממציא,shop_inventor_engineer,public/rewards/cards/shop/shop_inventor_engineer.webp,קלף חנות: ממציא ומהנדס.,a_highly_detailed_fantasy_steampunk_card_illustrat_1_batch_1.png,1024,1536
shop,shop,ליאו גיבור על,shop_superhero,public/rewards/cards/shop/shop_superhero.webp,קלף חנות: גיבור על.,a_highly_detailed_ornate_fantasy_style_illustrati_2_batch_2.png,1024,1536
shop,shop,ליאו אלוף כדורגל,shop_soccer_champion,public/rewards/cards/shop/shop_soccer_champion.webp,קלף חנות: אלוף כדורגל.,a_highly_detailed_ornate_fantasy_sports_trading_c_3_batch_3.png,1024,1536
shop,shop,ליאו גיימר,shop_arcade_gamer,public/rewards/cards/shop/shop_arcade_gamer.webp,קלף חנות: גיימר ארקייד.,a_highly_detailed_vibrant_fantasy_game_card_style_4_batch_4.png,1024,1536
