screenshot,route,subject,surface,grade,pageId,sectionIndex,sectionTotal,sectionTitle,selectionReason,matchedSignals,pass,issue,suspectFile,viewport,id
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-ns_place_tens_units-s3-mobile.png","/learning/book/math/g2/ns_place_tens_units","math","books-math","g2","ns_place_tens_units","3","7","דוגמה","מכיל תרגילים/דוגמאות; מכיל שוויון","=, +, −/-, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g2-ns_place_tens_units-s3"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-ns_place_tens_units-s4-mobile.png","/learning/book/math/g2/ns_place_tens_units","math","books-math","g2","ns_place_tens_units","4","7","בואו נפתור","מכיל תרגילים/דוגמאות; מכיל שוויון","=, +, −/-, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g2-ns_place_tens_units-s4"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-ns_place_tens_units-s6-mobile.png","/learning/book/math/g2/ns_place_tens_units","math","books-math","g2","ns_place_tens_units","6","7","שימו לב!","מכיל שוויון; מכיל יחידות מדידה","=, סמ״ר/מ״ר","PASS","","","mobile","book-math-g2-ns_place_tens_units-s6"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-add_vertical-s4-mobile.png","/learning/book/math/g2/add_vertical","math","books-math","g2","add_vertical","4","7","בואו נפתור","מכיל תרגילים/דוגמאות; מכיל שוויון","=, +, −/-, →, תרגיל, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g2-add_vertical-s4"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-add_vertical-s3-mobile.png","/learning/book/math/g2/add_vertical","math","books-math","g2","add_vertical","3","7","דוגמה","מכיל תרגילים/דוגמאות; מכיל שוויון","=, +, −/-, →, דוגמה/פתרון, משוואה","REVIEW","unisolated-math-in-prose","lib/bidi/mixed-hebrew-math-runs.js; components/learning-book/MixedHebrewMathText.js","mobile","book-math-g2-add_vertical-s3"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-add_vertical-s6-mobile.png","/learning/book/math/g2/add_vertical","math","books-math","g2","add_vertical","6","7","שימו לב!","מכיל שוויון","=, +, −/-, →, משוואה","REVIEW","split-decimal","components/learning-book/MixedHebrewMathText.js; lib/learning-book/book-math-display.js","mobile","book-math-g2-add_vertical-s6"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-add_vertical-s5-mobile.png","/learning/book/math/g2/add_vertical","math","books-math","g2","add_vertical","5","7","נסו בעצמכם","מכיל תרגילים/דוגמאות; מכיל שוויון","=, +, תרגיל, משוואה","PASS","","","mobile","book-math-g2-add_vertical-s5"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-sub_vertical-s4-mobile.png","/learning/book/math/g2/sub_vertical","math","books-math","g2","sub_vertical","4","7","בואו נפתור","מכיל תרגילים/דוגמאות; מכיל שוויון","=, −/-, < >, →, תרגיל, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g2-sub_vertical-s4"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-sub_vertical-s3-mobile.png","/learning/book/math/g2/sub_vertical","math","books-math","g2","sub_vertical","3","7","דוגמה","מכיל תרגילים/דוגמאות; מכיל שוויון","=, +, −/-, →, דוגמה/פתרון, משוואה","REVIEW","unisolated-math-in-prose","lib/bidi/mixed-hebrew-math-runs.js; components/learning-book/MixedHebrewMathText.js","mobile","book-math-g2-sub_vertical-s3"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-sub_vertical-s6-mobile.png","/learning/book/math/g2/sub_vertical","math","books-math","g2","sub_vertical","6","7","שימו לב!","מכיל שוויון","=, −/-, →, משוואה","REVIEW","split-decimal","components/learning-book/MixedHebrewMathText.js; lib/learning-book/book-math-display.js","mobile","book-math-g2-sub_vertical-s6"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-sub_vertical-s5-mobile.png","/learning/book/math/g2/sub_vertical","math","books-math","g2","sub_vertical","5","7","נסו בעצמכם","מכיל תרגילים/דוגמאות; מכיל שוויון","=, −/-, תרגיל, משוואה","PASS","","","mobile","book-math-g2-sub_vertical-s5"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-cmp-s3-mobile.png","/learning/book/math/g2/cmp","math","books-math","g2","cmp","3","7","דוגמה","מכיל תרגילים/דוגמאות; מכיל שוויון","=, −/-, < >, →, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g2-cmp-s3"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-cmp-s4-mobile.png","/learning/book/math/g2/cmp","math","books-math","g2","cmp","4","7","בואו נפתור","מכיל תרגילים/דוגמאות","−/-, < >, →, דוגמה/פתרון","REVIEW","split-decimal","components/learning-book/MixedHebrewMathText.js; lib/learning-book/book-math-display.js","mobile","book-math-g2-cmp-s4"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-cmp-s2-mobile.png","/learning/book/math/g2/cmp","math","books-math","g2","cmp","2","7","הסבר","מכיל שוויון","=, −/-, < >","PASS","","","mobile","book-math-g2-cmp-s2"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-cmp-s6-mobile.png","/learning/book/math/g2/cmp","math","books-math","g2","cmp","6","7","שימו לב!","תוכן מעורב עברית+מתמטיקה","−/-, < >, →","PASS","","","mobile","book-math-g2-cmp-s6"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-frac_half-s4-mobile.png","/learning/book/math/g2/frac_half","math","books-math","g2","frac_half","4","7","בואו נפתור","מכיל תרגילים/דוגמאות; מכיל שוויון","=, +, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g2-frac_half-s4"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-frac_half-s6-mobile.png","/learning/book/math/g2/frac_half","math","books-math","g2","frac_half","6","7","שימו לב!","מכיל שוויון","=, +, משוואה","PASS","","","mobile","book-math-g2-frac_half-s6"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-frac_half-s2-mobile.png","/learning/book/math/g2/frac_half","math","books-math","g2","frac_half","2","7","הסבר","מכיל שוויון","=, −/-","PASS","","","mobile","book-math-g2-frac_half-s2"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-frac_half-s3-mobile.png","/learning/book/math/g2/frac_half","math","books-math","g2","frac_half","3","7","דוגמה","מכיל תרגילים/דוגמאות; מכיל שוויון","=, דוגמה/פתרון","PASS","","","mobile","book-math-g2-frac_half-s3"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-mul-s2-mobile.png","/learning/book/math/g2/mul","math","books-math","g2","mul","2","7","הסבר","מכיל שוויון; מכיל יחידות מדידה","=, +, −/-, ×, סמ״ר/מ״ר, משוואה","PASS","","","mobile","book-math-g2-mul-s2"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-mul-s4-mobile.png","/learning/book/math/g2/mul","math","books-math","g2","mul","4","7","בואו נפתור","מכיל תרגילים/דוגמאות; מכיל שוויון","=, +, ×, →, תרגיל, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g2-mul-s4"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-mul-s6-mobile.png","/learning/book/math/g2/mul","math","books-math","g2","mul","6","7","שימו לב!","מכיל שוויון; מכיל יחידות מדידה","=, +, −/-, ×, סמ״ר/מ״ר, משוואה","PASS","","","mobile","book-math-g2-mul-s6"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-mul-s3-mobile.png","/learning/book/math/g2/mul","math","books-math","g2","mul","3","7","דוגמה","מכיל תרגילים/דוגמאות; מכיל שוויון","=, +, ×, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g2-mul-s3"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-div-s4-mobile.png","/learning/book/math/g2/div","math","books-math","g2","div","4","7","בואו נפתור","מכיל תרגילים/דוגמאות; מכיל שוויון","=, +, −/-, ×, ÷, תרגיל, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g2-div-s4"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-div-s2-mobile.png","/learning/book/math/g2/div","math","books-math","g2","div","2","7","הסבר","מכיל שוויון; מכיל יחידות מדידה","=, −/-, ×, ÷, סמ״ר/מ״ר, משוואה","PASS","","","mobile","book-math-g2-div-s2"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-div-s6-mobile.png","/learning/book/math/g2/div","math","books-math","g2","div","6","7","שימו לב!","מכיל שוויון; מכיל יחידות מדידה","=, −/-, ×, ÷, סמ״ר/מ״ר, משוואה","PASS","","","mobile","book-math-g2-div-s6"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g2-div-s3-mobile.png","/learning/book/math/g2/div","math","books-math","g2","div","3","7","דוגמה","מכיל תרגילים/דוגמאות; מכיל שוויון","=, −/-, ×, ÷, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g2-div-s3"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g3-ns_place_hundreds-s6-mobile.png","/learning/book/math/g3/ns_place_hundreds","math","books-math","g3","ns_place_hundreds","6","7","שימו לב!","מכיל שוויון","=, +, −/-, →, משוואה","REVIEW","unisolated-math-in-prose","lib/bidi/mixed-hebrew-math-runs.js; components/learning-book/MixedHebrewMathText.js","mobile","book-math-g3-ns_place_hundreds-s6"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g3-ns_place_hundreds-s3-mobile.png","/learning/book/math/g3/ns_place_hundreds","math","books-math","g3","ns_place_hundreds","3","7","דוגמה","מכיל תרגילים/דוגמאות; מכיל שוויון","=, +, →, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g3-ns_place_hundreds-s3"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g3-ns_place_hundreds-s4-mobile.png","/learning/book/math/g3/ns_place_hundreds","math","books-math","g3","ns_place_hundreds","4","7","בואו נפתור","מכיל תרגילים/דוגמאות; מכיל שוויון; מכיל טבלה","=, −/-, טבלה, דוגמה/פתרון","PASS","","","mobile","book-math-g3-ns_place_hundreds-s4"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g3-ns_place_hundreds-s2-mobile.png","/learning/book/math/g3/ns_place_hundreds","math","books-math","g3","ns_place_hundreds","2","7","הסבר","מכיל שוויון","=, +, −/-, משוואה","PASS","","","mobile","book-math-g3-ns_place_hundreds-s2"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g3-cmp-s2-mobile.png","/learning/book/math/g3/cmp","math","books-math","g3","cmp","2","7","הסבר","מכיל שוויון","=, −/-, < >, →","PASS","","","mobile","book-math-g3-cmp-s2"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g3-cmp-s7-mobile.png","/learning/book/math/g3/cmp","math","books-math","g3","cmp","7","7","בואו נתרגל","מכיל תרגילים/דוגמאות; מכיל שוויון","=, < >, תרגיל, 1,000","PASS","","","mobile","book-math-g3-cmp-s7"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g3-cmp-s5-mobile.png","/learning/book/math/g3/cmp","math","books-math","g3","cmp","5","7","נסו בעצמכם","מכיל שוויון","=, −/-, < >","PASS","","","mobile","book-math-g3-cmp-s5"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g3-cmp-s4-mobile.png","/learning/book/math/g3/cmp","math","books-math","g3","cmp","4","7","בואו נפתור","מכיל תרגילים/דוגמאות; מכיל שוויון","=, < >, דוגמה/פתרון","PASS","","","mobile","book-math-g3-cmp-s4"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g3-add_three-s4-mobile.png","/learning/book/math/g3/add_three","math","books-math","g3","add_three","4","7","בואו נפתור","מכיל תרגילים/דוגמאות; מכיל שוויון","=, +, −/-, תרגיל, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g3-add_three-s4"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g3-add_three-s2-mobile.png","/learning/book/math/g3/add_three","math","books-math","g3","add_three","2","7","הסבר","מכיל שוויון","=, +, −/-, משוואה","PASS","","","mobile","book-math-g3-add_three-s2"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g3-add_three-s6-mobile.png","/learning/book/math/g3/add_three","math","books-math","g3","add_three","6","7","שימו לב!","מכיל שוויון","=, +, −/-, משוואה","PASS","","","mobile","book-math-g3-add_three-s6"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g3-add_three-s3-mobile.png","/learning/book/math/g3/add_three","math","books-math","g3","add_three","3","7","דוגמה","מכיל תרגילים/דוגמאות; מכיל שוויון","=, +, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g3-add_three-s3"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g3-sub_two-s2-mobile.png","/learning/book/math/g3/sub_two","math","books-math","g3","sub_two","2","7","הסבר","מכיל שוויון","=, +, −/-, < >, →, משוואה","PASS","","","mobile","book-math-g3-sub_two-s2"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g3-sub_two-s3-mobile.png","/learning/book/math/g3/sub_two","math","books-math","g3","sub_two","3","7","דוגמה","מכיל תרגילים/דוגמאות; מכיל שוויון","=, −/-, < >, →, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g3-sub_two-s3"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g3-sub_two-s4-mobile.png","/learning/book/math/g3/sub_two","math","books-math","g3","sub_two","4","7","בואו נפתור","מכיל תרגילים/דוגמאות; מכיל שוויון","=, −/-, →, תרגיל, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g3-sub_two-s4"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g3-sub_two-s6-mobile.png","/learning/book/math/g3/sub_two","math","books-math","g3","sub_two","6","7","שימו לב!","מכיל שוויון","=, −/-, →, משוואה","PASS","","","mobile","book-math-g3-sub_two-s6"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g3-mul-s4-mobile.png","/learning/book/math/g3/mul","math","books-math","g3","mul","4","7","בואו נפתור","מכיל תרגילים/דוגמאות; מכיל שוויון","=, +, ×, תרגיל, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g3-mul-s4"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g3-mul-s6-mobile.png","/learning/book/math/g3/mul","math","books-math","g3","mul","6","7","שימו לב!","מכיל שוויון","=, +, −/-, ×, משוואה","PASS","","","mobile","book-math-g3-mul-s6"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g3-mul-s3-mobile.png","/learning/book/math/g3/mul","math","books-math","g3","mul","3","7","דוגמה","מכיל תרגילים/דוגמאות; מכיל שוויון","=, +, ×, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g3-mul-s3"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g3-mul-s2-mobile.png","/learning/book/math/g3/mul","math","books-math","g3","mul","2","7","הסבר","מכיל שוויון","=, +, ×, משוואה","PASS","","","mobile","book-math-g3-mul-s2"
"C:/Users/ERAN YOSEF/Desktop/final projects/FINAL-WEB/LIOSH-WEB-TRY/docs/qa/rtl-content-audit-screenshots/book-math-g3-div-s4-mobile.png","/learning/book/math/g3/div","math","books-math","g3","div","4","7","בואו נפתור","מכיל תרגילים/דוגמאות; מכיל שוויון","=, ×, ÷, →, תרגיל, דוגמה/פתרון, משוואה","PASS","","","mobile","book-math-g3-div-s4"
