gameKey,level,gradeBand,taskId,taskType,prompt,childMissionDisplay,onBoard,cards,correctAnswer,distractors,childAction,answerInPrompt,canCopy,skill,ageOk,status,fixNote
leo-word-train,easy,א׳–ב׳,wt-e-fl-1,first_letter,איזו אות פותחת את sun?,איזו אות פותחת את sun?,sun · _,k / u / q / s,s,k / u / q,לזהות אות פותחת ולהעמיס על קרון,no,no,זיהוי אות פותחת,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-fl-2,first_letter,איזו אות פותחת את dog?,איזו אות פותחת את dog?,dog · _,t / c / b / d,d,t / c / b,לזהות אות פותחת ולהעמיס על קרון,no,no,זיהוי אות פותחת,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-fl-3,first_letter,איזו אות פותחת את cat?,איזו אות פותחת את cat?,cat · _,c / g / j / y,c,g / j / y,לזהות אות פותחת ולהעמיס על קרון,no,no,זיהוי אות פותחת,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-fl-4,first_letter,איזו אות פותחת את hat?,איזו אות פותחת את hat?,hat · _,e / z / h / b,h,e / z / b,לזהות אות פותחת ולהעמיס על קרון,no,no,זיהוי אות פותחת,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-fl-5,first_letter,איזו אות פותחת את run?,איזו אות פותחת את run?,run · _,y / s / r / z,r,y / s / z,לזהות אות פותחת ולהעמיס על קרון,no,no,זיהוי אות פותחת,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-fl-6,first_letter,איזו אות פותחת את pen?,איזו אות פותחת את pen?,pen · _,n / l / p / x,p,n / l / x,לזהות אות פותחת ולהעמיס על קרון,no,no,זיהוי אות פותחת,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-fl-7,first_letter,איזו אות פותחת את box?,איזו אות פותחת את box?,box · _,j / y / h / b,b,j / y / h,לזהות אות פותחת ולהעמיס על קרון,no,no,זיהוי אות פותחת,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-gap-1,one_gap,מלאו אות אחת חסרה בקרון,מלאו אות אחת חסרה בקרון,u · p · _,u / c / t / k / d,c,u / t / k / d,להשלים אות חסרה אחת על הקרון,no,no,השלמת אות אחת במילה קצרה,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-gap-2,one_gap,מלאו אות אחת חסרה בקרון,מלאו אות אחת חסרה בקרון,b · s · _,i / x / l / u / y,u,i / x / l / y,להשלים אות חסרה אחת על הקרון,no,no,השלמת אות אחת במילה קצרה,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-gap-3,one_gap,מלאו אות אחת חסרה בקרון,מלאו אות אחת חסרה בקרון,m · a · _,z / p / l / n / i,p,z / l / n / i,להשלים אות חסרה אחת על הקרון,no,no,השלמת אות אחת במילה קצרה,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-gap-4,one_gap,מלאו אות אחת חסרה בקרון,מלאו אות אחת חסרה בקרון,e · d · _,g / m / o / c / r,r,g / m / o / c,להשלים אות חסרה אחת על הקרון,no,no,השלמת אות אחת במילה קצרה,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-gap-5,one_gap,מלאו אות אחת חסרה בקרון,מלאו אות אחת חסרה בקרון,b · g · _,j / t / i / b / s,i,j / t / b / s,להשלים אות חסרה אחת על הקרון,no,no,השלמת אות אחת במילה קצרה,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-gap-6,one_gap,מלאו אות אחת חסרה בקרון,מלאו אות אחת חסרה בקרון,t · o · _,p / u / y / w / d,p,u / y / w / d,להשלים אות חסרה אחת על הקרון,no,no,השלמת אות אחת במילה קצרה,yes,מאושר,—
leo-word-train,easy,א׳–ב׳,wt-e-gap-7,one_gap,מלאו אות אחת חסרה בקרון,מלאו אות אחת חסרה בקרון,u · n · _,f / q / s / p / b,f,q / s / p / b,להשלים אות חסרה אחת על הקרון,no,no,השלמת אות אחת במילה קצרה,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-bw-1,build_word,בנו את המילה: חלב,בנו את המילה: חלב 🥛,_ · _ · _ · _,r / m / i / l / k / p / v / z,m|i|l|k,r / p / v / z,לבחור אותיות ולבנות מילה על כל הקרונות,no,no,בניית מילה מאותיות,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-bw-2,build_word,בנו את המילה: ספר,בנו את המילה: ספר 📚,_ · _ · _ · _,o / o / k / i / b / w / x / t,b|o|o|k,i / w / x / t,לבחור אותיות ולבנות מילה על כל הקרונות,no,no,בניית מילה מאותיות,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-bw-3,build_word,בנו את המילה: כיסא,בנו את המילה: כיסא 🪑,_ · _ · _ · _ · _,b / c / x / i / w / h / r / o / a,c|h|a|i|r,b / x / w / o,לבחור אותיות ולבנות מילה על כל הקרונות,no,no,בניית מילה מאותיות,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-bw-4,build_word,בנו את המילה: שולחן,בנו את המילה: שולחן 📝,_ · _ · _ · _,d / r / e / j / k / n / s / q,d|e|s|k,r / j / n / q,לבחור אותיות ולבנות מילה על כל הקרונות,no,no,בניית מילה מאותיות,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-bw-5,build_word,בנו את המילה: מים,בנו את המילה: מים 💧,_ · _ · _ · _ · _,l / e / b / r / w / t / y / c / a,w|a|t|e|r,l / b / y / c,לבחור אותיות ולבנות מילה על כל הקרונות,no,no,בניית מילה מאותיות,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-bw-6,build_word,בנו את המילה: בית ספר,בנו את המילה: בית ספר 🏫,_ · _ · _ · _ · _ · _,b / c / h / j / o / l / s / o / r / f,s|c|h|o|o|l,b / j / r / f,לבחור אותיות ולבנות מילה על כל הקרונות,no,no,בניית מילה מאותיות,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-bw-7,build_word,בנו את המילה: ירוק,בנו את המילה: ירוק 🟢,_ · _ · _ · _ · _,p / g / z / n / q / r / e / e / f,g|r|e|e|n,p / z / q / f,לבחור אותיות ולבנות מילה על כל הקרונות,no,no,בניית מילה מאותיות,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-bw-8,build_word,בנו את המילה: תפוח,בנו את המילה: תפוח 🍎,_ · _ · _ · _ · _,y / p / j / h / e / p / d / l / a,a|p|p|l|e,y / j / h / d,לבחור אותיות ולבנות מילה על כל הקרונות,no,no,בניית מילה מאותיות,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-fg-1,fill_gaps,השלימו את המילה: חולצה,השלימו את המילה: חולצה 👕,s · h · r · t · _,r / y / i / s / c,i,r / y / s / c,להשלים אות(ות) חסרות במילה,no,no,השלמת אותיות חסרות,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-fg-2,fill_gaps,השלימו את המילה: שולחן,השלימו את המילה: שולחן 🪑,t · b · l · e · _,f / b / q / a / k,a,f / b / q / k,להשלים אות(ות) חסרות במילה,no,no,השלמת אותיות חסרות,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-fg-3,fill_gaps,השלימו את המילה: שחור,השלימו את המילה: שחור ⬛,b · l · c · k · _,s / x / i / l / a,a,s / x / i / l,להשלים אות(ות) חסרות במילה,no,no,השלמת אותיות חסרות,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-fg-4,fill_gaps,השלימו את המילה: רכבת,השלימו את המילה: רכבת 🚂,t · r · a · n · _,f / h / g / i / j,i,f / h / g / j,להשלים אות(ות) חסרות במילה,no,no,השלמת אותיות חסרות,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-fg-5,fill_gaps,השלימו את המילה: ענן,השלימו את המילה: ענן ☁️,c · l · u · d · _,i / o / b / v / g,o,i / b / v / g,להשלים אות(ות) חסרות במילה,no,no,השלמת אותיות חסרות,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-fg-6,fill_gaps,השלימו את המילה: ענב,השלימו את המילה: ענב 🍇,g · r · p · e · _,c / a / x / l / v,a,c / x / l / v,להשלים אות(ות) חסרות במילה,no,no,השלמת אותיות חסרות,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-fg-7,fill_gaps,השלימו את המילה: בית,השלימו את המילה: בית 🏠,h · o · s · e · _,u / x / z / h / g,u,x / z / h / g,להשלים אות(ות) חסרות במילה,no,no,השלמת אותיות חסרות,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-fg-8,fill_gaps,השלימו את המילה: אור,השלימו את המילה: אור 💡,l · i · h · t · _,l / x / h / g / c,g,l / x / h / c,להשלים אות(ות) חסרות במילה,no,no,השלמת אותיות חסרות,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-dp-1,dual_phrase,העמיסו שני קרונות: אדום + כובע,העמיסו שני קרונות: אדום + כובע 🎩,_ · _,bag / book / blue / red / hat,red|hat,bag / book / blue,להעמיס שני קרונות: צבע + חפץ,no,no,צירוף צבע+חפץ,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-dp-2,dual_phrase,העמיסו שני קרונות: כחול + תיק,העמיסו שני קרונות: כחול + תיק 👜,_ · _,blue / bag / red / book / hat,blue|bag,red / book / hat,להעמיס שני קרונות: צבע + חפץ,no,no,צירוף צבע+חפץ,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-dp-3,dual_phrase,העמיסו שני קרונות: ירוק + עץ,העמיסו שני קרונות: ירוק + עץ 🌳,_ · _,green / red / tree / hat / book,green|tree,red / hat / book,להעמיס שני קרונות: צבע + חפץ,no,no,צירוף צבע+חפץ,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-dp-4,dual_phrase,העמיסו שני קרונות: צהוב + שמש,העמיסו שני קרונות: צהוב + שמש ☀️,_ · _,hat / sun / yellow / book / red,yellow|sun,hat / book / red,להעמיס שני קרונות: צבע + חפץ,no,no,צירוף צבע+חפץ,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-dp-5,dual_phrase,העמיסו שני קרונות: שחור + חתול,העמיסו שני קרונות: שחור + חתול 🐈,_ · _,cat / red / hat / black / book,black|cat,red / hat / book,להעמיס שני קרונות: צבע + חפץ,no,no,צירוף צבע+חפץ,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-dp-6,dual_phrase,העמיסו שני קרונות: לבן + שלג,העמיסו שני קרונות: לבן + שלג ❄️,_ · _,snow / hat / white / book / red,white|snow,hat / book / red,להעמיס שני קרונות: צבע + חפץ,no,no,צירוף צבע+חפץ,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-dp-7,dual_phrase,העמיסו שני קרונות: חום + דוב,העמיסו שני קרונות: חום + דוב 🐻,_ · _,book / bear / hat / red / brown,brown|bear,book / hat / red,להעמיס שני קרונות: צבע + חפץ,no,no,צירוף צבע+חפץ,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-iw-1,image_word,העמיסו את המילה שמתאימה לתמונה,העמיסו את המילה שמתאימה לתמונה 🐕,_,cat / dog / run / box,dog,cat / run / box,לבחור מילה מתאימה לתמונה,no,no,התאמת מילה לתמונה,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-iw-2,image_word,העמיסו את המילה שמתאימה לתמונה,העמיסו את המילה שמתאימה לתמונה 🐱,_,dog / book / red / cat,cat,dog / book / red,לבחור מילה מתאימה לתמונה,no,no,התאמת מילה לתמונה,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-iw-3,image_word,העמיסו את המילה שמתאימה לתמונה,העמיסו את המילה שמתאימה לתמונה 🍕,_,pizza / blue / red / milk,pizza,blue / red / milk,לבחור מילה מתאימה לתמונה,no,no,התאמת מילה לתמונה,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-iw-4,image_word,העמיסו את המילה שמתאימה לתמונה,העמיסו את המילה שמתאימה לתמונה 🌸,_,hat / flower / blue / milk,flower,hat / blue / milk,לבחור מילה מתאימה לתמונה,no,no,התאמת מילה לתמונה,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-iw-5,image_word,העמיסו את המילה שמתאימה לתמונה,העמיסו את המילה שמתאימה לתמונה ✏️,_,box / pencil / sun / run,pencil,box / sun / run,לבחור מילה מתאימה לתמונה,no,no,התאמת מילה לתמונה,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-iw-6,image_word,העמיסו את המילה שמתאימה לתמונה,העמיסו את המילה שמתאימה לתמונה 🎈,_,run / box / balloon / cat,balloon,run / box / cat,לבחור מילה מתאימה לתמונה,no,no,התאמת מילה לתמונה,yes,מאושר,—
leo-word-train,medium,ג׳–ד׳,wt-m-iw-7,image_word,העמיסו את המילה שמתאימה לתמונה,העמיסו את המילה שמתאימה לתמונה 🚗,_,car / run / red / blue,car,run / red / blue,לבחור מילה מתאימה לתמונה,no,no,התאמת מילה לתמונה,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-wo-1,word_order,סדרו משפט: אני אוהב פיצה,סדרו משפט: אני אוהב פיצה,_ · _ · _,like / I / milk / pizza,i|like|pizza,milk,לסדר מילים בסדר נכון,no,no,סדר מילים במשפט,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-wo-2,word_order,סדרו משפט: הכלב רץ,סדרו משפט: הכלב רץ,_ · _ · _,cat / dog / The / runs,the|dog|runs,cat,לסדר מילים בסדר נכון,no,no,סדר מילים במשפט,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-wo-3,word_order,סדרו משפט: אנחנו הולכים לבית ספר,סדרו משפט: אנחנו הולכים לבית ספר,_ · _ · _ · _,We / go / to / home / school,we|go|to|school,home,לסדר מילים בסדר נכון,no,no,סדר מילים במשפט,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-wo-4,word_order,סדרו משפט: היא אוהבת אדום,סדרו משפט: היא אוהבת אדום,_ · _ · _,red / blue / She / likes,she|likes|red,blue,לסדר מילים בסדר נכון,no,no,סדר מילים במשפט,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-wo-5,word_order,סדרו משפט: אני קורא ספר,סדרו משפט: אני קורא ספר,_ · _ · _ · _,milk / I / book / a / read,i|read|a|book,milk,לסדר מילים בסדר נכון,no,no,סדר מילים במשפט,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-wo-6,word_order,סדרו משפט: הוא אוכל תפוח,סדרו משפט: הוא אוכל תפוח,_ · _ · _ · _,an / chair / eats / apple / He,he|eats|an|apple,chair,לסדר מילים בסדר נכון,no,no,סדר מילים במשפט,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-wo-7,word_order,סדרו משפט: הם משחקים בפארק,סדרו משפט: הם משחקים בפארק,_ · _ · _ · _,in / play / desk / They / park,they|play|in|park,desk,לסדר מילים בסדר נכון,no,no,סדר מילים במשפט,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-wo-8,word_order,סדרו משפט: החתול שלי קטן,סדרו משפט: החתול שלי קטן,_ · _ · _ · _,cat / My / small / big / is,my|cat|is|small,big,לסדר מילים בסדר נכון,no,no,סדר מילים במשפט,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-sg-1,sentence_gap,העמיסו מילה חסרה — I drink ___,העמיסו מילה חסרה — I drink ___,I · drink · _,milk / hat / red / book,milk,hat / red / book,להשלים מילה חסרה במשפט,no,no,השלמת מילה במשפט,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-sg-2,sentence_gap,העמיסו מילה חסרה — The cat is ___,העמיסו מילה חסרה — The cat is ___,The · cat · is · _,pen / dog / blue / small,small,pen / dog / blue,להשלים מילה חסרה במשפט,no,no,השלמת מילה במשפט,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-sg-3,sentence_gap,העמיסו מילה חסרה — I ___ a cat,העמיסו מילה חסרה — I ___ a cat,I · a · cat · _,pen / cat / see / dog,see,pen / cat / dog,להשלים מילה חסרה במשפט,no,no,השלמת מילה במשפט,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-sg-4,sentence_gap,העמיסו מילה חסרה — The apple is ___,העמיסו מילה חסרה — The apple is ___,The · apple · is · _,sun / box / bag / red,red,sun / box / bag,להשלים מילה חסרה במשפט,no,no,השלמת מילה במשפט,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-sg-5,sentence_gap,העמיסו מילה חסרה — We ___ pizza,העמיסו מילה חסרה — We ___ pizza,We · pizza · _,milk / eat / box / sun,eat,milk / box / sun,להשלים מילה חסרה במשפט,no,no,השלמת מילה במשפט,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-sg-6,sentence_gap,העמיסו מילה חסרה — She has a ___ bag,העמיסו מילה חסרה — She has a ___ bag,She · has · a · bag · _,sun / red / blue / box,blue,sun / red / box,להשלים מילה חסרה במשפט,no,no,השלמת מילה במשפט,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-sg-7,sentence_gap,העמיסו מילה חסרה — It is ___ today,העמיסו מילה חסרה — It is ___ today,It · is · today · _,pen / cold / hat / sun,cold,pen / hat / sun,להשלים מילה חסרה במשפט,no,no,השלמת מילה במשפט,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-sg-8,sentence_gap,העמיסו מילה חסרה — They ___ books,העמיסו מילה חסרה — They ___ books,They · books · _,sun / red / box / read,read,sun / red / box,להשלים מילה חסרה במשפט,no,no,השלמת מילה במשפט,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-cw-1,context_word,I am hungry — העמיסו מילת הקשר,I am hungry — העמיסו מילת הקשר,I · _,food / sleep / rain / run,food,sleep / rain / run,לבחור מילת קשר לפי רמז,no,no,מילת קשר לפי רמז,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-cw-2,context_word,I am thirsty — העמיסו מילת הקשר,I am thirsty — העמיסו מילת הקשר,I · _,run / water / sleep / rain,water,run / sleep / rain,לבחור מילת קשר לפי רמז,no,no,מילת קשר לפי רמז,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-cw-3,context_word,It is raining — העמיסו מילת הקשר,It is raining — העמיסו מילת הקשר,It · _,run / rain / sleep / umbrella,umbrella,run / rain / sleep,לבחור מילת קשר לפי רמז,no,no,מילת קשר לפי רמז,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-cw-4,context_word,I feel cold — העמיסו מילת הקשר,I feel cold — העמיסו מילת הקשר,I · _,jacket / sleep / rain / run,jacket,sleep / rain / run,לבחור מילת קשר לפי רמז,no,no,מילת קשר לפי רמז,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-cw-5,context_word,The sun is hot — העמיסו מילת הקשר,The sun is hot — העמיסו מילת הקשר,The · _,sleep / rain / hat / run,hat,sleep / rain / run,לבחור מילת קשר לפי רמז,no,no,מילת קשר לפי רמז,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-cw-6,context_word,I want to sleep — העמיסו מילת הקשר,I want to sleep — העמיסו מילת הקשר,I · _,sleep / run / rain / bed,bed,sleep / run / rain,לבחור מילת קשר לפי רמז,no,no,מילת קשר לפי רמז,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-cw-7,context_word,We need light — העמיסו מילת הקשר,We need light — העמיסו מילת הקשר,We · _,run / rain / sleep / lamp,lamp,run / rain / sleep,לבחור מילת קשר לפי רמז,no,no,מילת קשר לפי רמז,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-is-1,image_sentence,סדרו משפט שמתאר את התמונה,סדרו משפט שמתאר את התמונה 🐕,_ · _ · _,dog / runs / milk / The,the|dog|runs,milk,לסדר משפט לפי תמונה,no,no,סדר משפט לפי תמונה,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-is-2,image_sentence,סדרו משפט שמתאר את התמונה,סדרו משפט שמתאר את התמונה 🍎,_ · _ · _,apple / I / chair / eat,i|eat|apple,chair,לסדר משפט לפי תמונה,no,no,סדר משפט לפי תמונה,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-is-3,image_sentence,סדרו משפט שמתאר את התמונה,סדרו משפט שמתאר את התמונה ☀️,_ · _ · _,The / shines / sun / rain,the|sun|shines,rain,לסדר משפט לפי תמונה,no,no,סדר משפט לפי תמונה,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-is-4,image_sentence,סדרו משפט שמתאר את התמונה,סדרו משפט שמתאר את התמונה 📚,_ · _ · _,book / run / read / I,i|read|book,run,לסדר משפט לפי תמונה,no,no,סדר משפט לפי תמונה,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-is-5,image_sentence,סדרו משפט שמתאר את התמונה,סדרו משפט שמתאר את התמונה 🌧️,_ · _ · _,It / snow / raining / is,it|is|raining,snow,לסדר משפט לפי תמונה,no,no,סדר משפט לפי תמונה,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-is-6,image_sentence,סדרו משפט שמתאר את התמונה,סדרו משפט שמתאר את התמונה 🎂,_ · _ · _,cake / We / eat / fish,we|eat|cake,fish,לסדר משפט לפי תמונה,no,no,סדר משפט לפי תמונה,yes,מאושר,—
leo-word-train,hard,ה׳–ו׳,wt-h-is-7,image_sentence,סדרו משפט שמתאר את התמונה,סדרו משפט שמתאר את התמונה 🚌,_ · _ · _,stops / bus / fly / The,the|bus|stops,fly,לסדר משפט לפי תמונה,no,no,סדר משפט לפי תמונה,yes,מאושר,—
