child,range,subject,A,B,C,D,verdict
AAA5,one_week,math,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA6,one_week,math,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA7,one_week,math,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA8,one_week,math,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA9,one_week,math,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA10,one_week,english,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA11,one_week,hebrew,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA12,one_week,science,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA1,may_month,math,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA2,may_month,math,"insufficient_data/insufficient_data/d4","insufficient_data/insufficient_data/d4","insufficient_data/insufficient_data/d4","insufficient_data/insufficient_data/d4",PASS
AAA3,may_month,math,"preliminary_signal/low/d9","preliminary_signal/low/d9","preliminary_signal/low/d9","preliminary_signal/low/d9",PASS
AAA4,may_month,math,"supported_diagnosis/moderate/d14","supported_diagnosis/moderate/d14","supported_diagnosis/moderate/d14","supported_diagnosis/moderate/d14",PASS
AAA5,may_month,math,"supported_diagnosis/moderate/d24","supported_diagnosis/moderate/d24","supported_diagnosis/moderate/d24","supported_diagnosis/moderate/d24",PASS
AAA6,may_month,math,"preliminary_signal/low/d8","preliminary_signal/low/d8","preliminary_signal/low/d8","preliminary_signal/low/d8",PASS
AAA7,may_month,math,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA8,may_month,math,"supported_diagnosis/moderate/d30","supported_diagnosis/moderate/d30","supported_diagnosis/moderate/d30","supported_diagnosis/moderate/d30",PASS
AAA9,may_month,math,"supported_diagnosis/moderate/d29","supported_diagnosis/moderate/d29","supported_diagnosis/moderate/d29","supported_diagnosis/moderate/d29",PASS
AAA10,may_month,english,"supported_diagnosis/moderate/d26","supported_diagnosis/moderate/d26","supported_diagnosis/moderate/d26","supported_diagnosis/moderate/d26",PASS
AAA11,may_month,hebrew,"supported_diagnosis/moderate/d14","supported_diagnosis/moderate/d14","supported_diagnosis/moderate/d14","supported_diagnosis/moderate/d14",PASS
AAA12,may_month,science,"supported_diagnosis/moderate/d14","supported_diagnosis/moderate/d14","supported_diagnosis/moderate/d14","supported_diagnosis/moderate/d14",PASS
AAA1,full,math,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA2,full,math,"insufficient_data/insufficient_data/d4","insufficient_data/insufficient_data/d4","insufficient_data/insufficient_data/d4","insufficient_data/insufficient_data/d4",PASS
AAA3,full,math,"preliminary_signal/low/d9","preliminary_signal/low/d9","preliminary_signal/low/d9","preliminary_signal/low/d9",PASS
AAA4,full,math,"supported_diagnosis/moderate/d14","supported_diagnosis/moderate/d14","supported_diagnosis/moderate/d14","supported_diagnosis/moderate/d14",PASS
AAA5,full,math,"supported_diagnosis/moderate/d24","supported_diagnosis/moderate/d24","supported_diagnosis/moderate/d24","supported_diagnosis/moderate/d24",PASS
AAA6,full,math,"preliminary_signal/low/d8","preliminary_signal/low/d8","preliminary_signal/low/d8","preliminary_signal/low/d8",PASS
AAA7,full,math,"no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0","no_data/insufficient_data/d0",PASS
AAA8,full,math,"supported_diagnosis/moderate/d30","supported_diagnosis/moderate/d30","supported_diagnosis/moderate/d30","supported_diagnosis/moderate/d30",PASS
AAA9,full,math,"supported_diagnosis/moderate/d29","supported_diagnosis/moderate/d29","supported_diagnosis/moderate/d29","supported_diagnosis/moderate/d29",PASS
AAA10,full,english,"supported_diagnosis/moderate/d26","supported_diagnosis/moderate/d26","supported_diagnosis/moderate/d26","supported_diagnosis/moderate/d26",PASS
AAA11,full,hebrew,"supported_diagnosis/moderate/d14","supported_diagnosis/moderate/d14","supported_diagnosis/moderate/d14","supported_diagnosis/moderate/d14",PASS
AAA12,full,science,"supported_diagnosis/moderate/d14","supported_diagnosis/moderate/d14","supported_diagnosis/moderate/d14","supported_diagnosis/moderate/d14",PASS
