row_number,id,audience,source_file,source_line,report_surface,report_section,subject_if_known,grade_if_known,class_or_student_context_if_known,data_state_if_known,engine_meaning_plain_he,before_in_report_context,suggested_replacement_placeholder,after_in_report_context_placeholder,context_confidence,notes
26,TS-HE-00893,school_manager,lib/school-portal/school-ui.he.js,241,school_admin_ui,data_health,,ה׳,מנהל/ת בית ספר — סקירת בית ספר,thin_data,אין מספיק נתונים לקביעת מסקנה.,"בממשק ניהול בית הספר | מצב נתונים
שכבה לדוגמה: ה׳
הקשר: מנהל/ת בית ספר — סקירת בית ספר
מצב נתונים: thin_data
כפי שמופיע היום: אין מספיק נתונים",,ימולא לאחר אישור נוסח,high,
27,TS-HE-01104,teacher,lib/teacher-portal/teacher-ui.he.js,25,report_general,data_health,,ה׳,,thin_data,הודעה על מצב נתונים דל או חסר בדוח.,"בממשק המורה | מצב נתונים
שכבה לדוגמה: ה׳
מצב נתונים: thin_data
כפי שמופיע היום: לא היו מפגשי תרגול בתקופה",,ימולא לאחר אישור נוסח,high,matched scenario: mixed_date_range
28,TS-HE-01107,teacher,lib/teacher-portal/teacher-ui.he.js,28,report_general,activity,,ה׳,,no_data,המערכת מודיעה שאין מספיק נתוני תרגול בתקופה — לא ניתן להסיק מסקנה חזקה.,"בממשק המורה | פעילות
שכבה לדוגמה: ה׳
מצב נתונים: no_data
כפי שמופיע היום: לא הייתה פעילות בתקופה",,ימולא לאחר אישור נוסח,high,
29,TS-HE-01108,teacher,lib/teacher-portal/teacher-ui.he.js,29,report_general,data_health,,ה׳,,thin_data,אין מספיק נתונים לקביעת מסקנה.,"בממשק המורה | מצב נתונים
שכבה לדוגמה: ה׳
מצב נתונים: thin_data
כפי שמופיע היום: אין מספיק נתונים לניתוח",,ימולא לאחר אישור נוסח,high,matched scenario: teacher_dashboard_active
30,TS-HE-01115,teacher,lib/teacher-portal/teacher-ui.he.js,45,report_general,status_labels,,ה׳,,weak_result,המערכת מסמנת שיש צורך בפעולה מיידית של המורה.,"בממשק המורה | תוויות סטטוס
שכבה לדוגמה: ה׳
מצב נתונים: weak_result
כפי שמופיע היום: דורש התערבות מיידית",,ימולא לאחר אישור נוסח,high,
31,TS-HE-01119,teacher,lib/teacher-portal/teacher-ui.he.js,52,report_general,status_labels,,כיתה דורשת,כיתה — כיתה ה׳ (28 תלמידים),weak_result,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק המורה | תוויות סטטוס
שכבה לדוגמה: כיתה דורשת
הקשר: כיתה — כיתה ה׳ (28 תלמידים)
מצב נתונים: weak_result
כפי שמופיע היום: הכיתה דורשת התערבות מיידית",,ימולא לאחר אישור נוסח,high,matched scenario: teacher_dashboard_active
32,TS-HE-01123,teacher,lib/teacher-portal/teacher-ui.he.js,59,report_general,data_health,,ה׳,,thin_data,אין מספיק נתונים לקביעת מסקנה.,"בממשק המורה | מצב נתונים
שכבה לדוגמה: ה׳
מצב נתונים: thin_data
כפי שמופיע היום: אין מספיק נתונים",,ימולא לאחר אישור נוסח,high,matched scenario: teacher_dashboard_active
33,TS-HE-01124,teacher,lib/teacher-portal/teacher-ui.he.js,60,report_general,status_labels,,כיתה דורשת,כיתה — כיתה ה׳ (28 תלמידים),weak_result,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בממשק המורה | תוויות סטטוס
שכבה לדוגמה: כיתה דורשת
הקשר: כיתה — כיתה ה׳ (28 תלמידים)
מצב נתונים: weak_result
כפי שמופיע היום: הכיתה דורשת התערבות מיידית",,ימולא לאחר אישור נוסח,high,matched scenario: teacher_dashboard_active
34,TS-HE-01160,teacher,lib/teacher-portal/teacher-ui.he.js,372,report_general,general,,ה׳,,weak_result,המערכת מסמנת שיש צורך בפעולה מיידית של המורה.,"בממשק המורה | אזור כללי
שכבה לדוגמה: ה׳
מצב נתונים: weak_result
כפי שמופיע היום: דורש התערבות מיידית",,ימולא לאחר אישור נוסח,high,
35,TS-HE-01269,teacher,pages/teacher/class/[classId].js,342,report_general,data_health,,ה׳,תלמיד בודד — [תלמיד],thin_data,הודעה על מצב נתונים דל או חסר בדוח.,"בממשק המורה | מצב נתונים
שכבה לדוגמה: ה׳
הקשר: תלמיד בודד — [תלמיד]
מצב נתונים: thin_data
כותרת במסך: קבוצות עבודה מוצעות
כפי שמופיע היום: אין מספיק תלמידים עם נתונים להרכבת קבוצות.",,ימולא לאחר אישור נוסח,high,
36,TS-HE-01270,teacher,pages/teacher/class/[classId].js,343,report_general,data_health,,ה׳,,thin_data,אין מספיק נתונים לקביעת מסקנה.,"בממשק המורה | מצב נתונים
שכבה לדוגמה: ה׳
מצב נתונים: thin_data
כותרת במסך: קבוצות עבודה מוצעות
כפי שמופיע היום: אין מספיק נתונים להרכבת קבוצות.",,ימולא לאחר אישור נוסח,high,matched scenario: teacher_dashboard_active
37,TS-HE-01429,teacher,pages/teacher/student/[studentId].js,238,student_report,data_health,חשבון,ה׳,תלמיד בודד — [תלמיד],thin_data,אין מספיק נתונים לקביעת מסקנה.,"בדוח תלמיד | מצב נתונים
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: תלמיד בודד — [תלמיד]
מצב נתונים: thin_data
כותרת במסך: המלצות לי כמורה
כפי שמופיע היום: אין מספיק נתונים לניתוח",,ימולא לאחר אישור נוסח,high,matched scenario: teacher_dashboard_active
38,TS-HE-01437,teacher,pages/teacher/student/[studentId].js,381,student_report,data_health,חשבון,ה׳,תלמיד בודד — [תלמיד],thin_data,אין מספיק נתונים לקביעת מסקנה.,"בדוח תלמיד | מצב נתונים
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: תלמיד בודד — [תלמיד]
מצב נתונים: thin_data
כותרת במסך: חוזקות
כפי שמופיע היום: אין מספיק נתונים להצגת חוזקות.",,ימולא לאחר אישור נוסח,high,matched scenario: teacher_dashboard_active
39,TS-HE-01645,mixed_or_unclear,utils/diagnostic-labels-he.js,278,guidance_diagnostic,general,,ה׳,,thin_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בבלוק הכוונה/אבחון | אזור כללי
שכבה לדוגמה: ה׳
מצב נתונים: thin_data
כפי שמופיע היום: קריאת השאלה לא הייתה מסודרת",,ימולא לאחר אישור נוסח,high,
40,TS-HE-01646,mixed_or_unclear,utils/diagnostic-labels-he.js,279,guidance_diagnostic,general,,ה׳,,thin_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בבלוק הכוונה/אבחון | אזור כללי
שכבה לדוגמה: ה׳
מצב נתונים: thin_data
כפי שמופיע היום: קריאת השאלה לא הייתה מסודרת",,ימולא לאחר אישור נוסח,high,
41,TS-HE-01755,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,203,guidance_diagnostic,general,,ה׳,,thin_data,הטקסט מוצג למורה או למנהל/ת בית ספר כחלק מדוח או ממשק ניהול.,"בבלוק הכוונה/אבחון | אזור כללי
שכבה לדוגמה: ה׳
מצב נתונים: thin_data
כפי שמופיע היום: לבדוק קודם כל שלב מציאת מכנה משותף בלי לדלג ישר לתוצאה הסופית.",,ימולא לאחר אישור נוסח,high,
42,TS-HE-00941,teacher,lib/teacher-portal/teacher-activity-report-export-labels.js,213,activity_export,export_labels,חשבון,ה׳,פעילות כיתתית — תרגול מודרך בחשבון,normal_data,תווית בקובץ ייצוא שמורה/מנהל רואים.,"בייצוא דוח פעילות (Excel/PDF) | תוויות ייצוא
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: פעילות כיתתית — תרגול מודרך בחשבון
מצב נתונים: normal_data
כפי שמופיע היום: פעילות …",,ימולא לאחר אישור נוסח,medium,template placeholders substituted with examples
43,TS-HE-00946,teacher,lib/teacher-portal/teacher-activity-report-export-labels.js,266,activity_export,export_labels,חשבון,ה׳,פעילות כיתתית — תרגול מודרך בחשבון,normal_data,תווית בקובץ ייצוא שמורה/מנהל רואים.,"בייצוא דוח פעילות (Excel/PDF) | תוויות ייצוא
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: פעילות כיתתית — תרגול מודרך בחשבון
מצב נתונים: normal_data
כפי שמופיע היום: פעילות …",,ימולא לאחר אישור נוסח,medium,template placeholders substituted with examples
44,TS-HE-00955,teacher,lib/teacher-portal/teacher-activity-report-export.js,111,activity_export,export_labels,חשבון,ה׳,פעילות כיתתית — תרגול מודרך בחשבון,normal_data,תווית בקובץ ייצוא שמורה/מנהל רואים.,"בייצוא דוח פעילות (Excel/PDF) | תוויות ייצוא
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: פעילות כיתתית — תרגול מודרך בחשבון
מצב נתונים: normal_data
כפי שמופיע היום: דוח-פעילות-…",,ימולא לאחר אישור נוסח,medium,template placeholders substituted with examples
45,TS-HE-00956,teacher,lib/teacher-portal/teacher-activity-report-export.js,126,activity_export,export_labels,חשבון,ה׳,פעילות כיתתית — תרגול מודרך בחשבון,normal_data,תווית בקובץ ייצוא שמורה/מנהל רואים.,"בייצוא דוח פעילות (Excel/PDF) | תוויות ייצוא
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: פעילות כיתתית — תרגול מודרך בחשבון
מצב נתונים: normal_data
כפי שמופיע היום: דוח-פעילות-…",,ימולא לאחר אישור נוסח,medium,template placeholders substituted with examples
46,TS-HE-00987,teacher,lib/teacher-portal/teacher-activity-report-export.js,337,activity_export,export_labels,חשבון,ה׳,פעילות כיתתית — תרגול מודרך בחשבון,normal_data,תווית בקובץ ייצוא שמורה/מנהל רואים.,"בייצוא דוח פעילות (Excel/PDF) | תוויות ייצוא
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: פעילות כיתתית — תרגול מודרך בחשבון
מצב נתונים: normal_data
כפי שמופיע היום: אפשרות …",,ימולא לאחר אישור נוסח,medium,template placeholders substituted with examples
47,TS-HE-01038,teacher,lib/teacher-portal/teacher-activity-report-export.js,706,activity_export,export_labels,חשבון,ה׳,פעילות כיתתית — תרגול מודרך בחשבון,normal_data,הדוח מנסה להסביר למורה את מקור הקושי או את כיוון הפעולה המקצועית.,"בייצוא דוח פעילות (Excel/PDF) | תוויות ייצוא
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: פעילות כיתתית — תרגול מודרך בחשבון
מצב נתונים: normal_data
כפי שמופיע היום: ניתוח שאלות",,ימולא לאחר אישור נוסח,high,
48,TS-HE-01039,teacher,lib/teacher-portal/teacher-activity-report-export.js,713,activity_export,export_labels,חשבון,ה׳,פעילות כיתתית — תרגול מודרך בחשבון,normal_data,הדוח מנסה להסביר למורה את מקור הקושי או את כיוון הפעולה המקצועית.,"בייצוא דוח פעילות (Excel/PDF) | תוויות ייצוא
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: פעילות כיתתית — תרגול מודרך בחשבון
מצב נתונים: normal_data
כפי שמופיע היום: ניתוח מיומנויות",,ימולא לאחר אישור נוסח,high,
49,TS-HE-01049,teacher,lib/teacher-portal/teacher-activity-report-pdf.js,65,activity_report,activity,חשבון,ה׳,פעילות כיתתית — תרגול מודרך בחשבון,normal_data,הדוח מנסה להסביר למורה את מקור הקושי או את כיוון הפעולה המקצועית.,"בדוח פעילות כיתתית | פעילות
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: פעילות כיתתית — תרגול מודרך בחשבון
מצב נתונים: normal_data
כפי שמופיע היום: ניתוח שאלות",,ימולא לאחר אישור נוסח,high,
50,TS-HE-01050,teacher,lib/teacher-portal/teacher-activity-report-pdf.js,66,activity_report,activity,חשבון,ה׳,פעילות כיתתית — תרגול מודרך בחשבון,normal_data,הדוח מנסה להסביר למורה את מקור הקושי או את כיוון הפעולה המקצועית.,"בדוח פעילות כיתתית | פעילות
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: פעילות כיתתית — תרגול מודרך בחשבון
מצב נתונים: normal_data
כפי שמופיע היום: ניתוח מיומנויות",,ימולא לאחר אישור נוסח,high,
51,TS-HE-01088,teacher,lib/teacher-portal/teacher-activity-report-pdf.js,209,activity_report,activity,חשבון,ה׳,פעילות כיתתית — תרגול מודרך בחשבון,normal_data,הדוח מנסה להסביר למורה את מקור הקושי או את כיוון הפעולה המקצועית.,"בדוח פעילות כיתתית | פעילות
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: פעילות כיתתית — תרגול מודרך בחשבון
מצב נתונים: normal_data
כפי שמופיע היום: ניתוח שאלות",,ימולא לאחר אישור נוסח,high,
52,TS-HE-01089,teacher,lib/teacher-portal/teacher-activity-report-pdf.js,215,activity_report,activity,חשבון,ה׳,פעילות כיתתית — תרגול מודרך בחשבון,normal_data,הדוח מנסה להסביר למורה את מקור הקושי או את כיוון הפעולה המקצועית.,"בדוח פעילות כיתתית | פעילות
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
הקשר: פעילות כיתתית — תרגול מודרך בחשבון
מצב נתונים: normal_data
כפי שמופיע היום: ניתוח מיומנויות",,ימולא לאחר אישור נוסח,high,
53,TS-HE-01121,teacher,lib/teacher-portal/teacher-ui.he.js,54,report_general,status_labels,,כיתה דורשת,כיתה — כיתה ה׳ (28 תלמידים),normal_data,הדוח מנסה להסביר למורה את מקור הקושי או את כיוון הפעולה המקצועית.,"בממשק המורה | תוויות סטטוס
שכבה לדוגמה: כיתה דורשת
הקשר: כיתה — כיתה ה׳ (28 תלמידים)
מצב נתונים: normal_data
כפי שמופיע היום: הכיתה דורשת מעקב ותרגול ממוקד",,ימולא לאחר אישור נוסח,high,matched scenario: teacher_dashboard_active
54,TS-HE-01126,teacher,lib/teacher-portal/teacher-ui.he.js,62,report_general,status_labels,,כיתה דורשת,כיתה — כיתה ה׳ (28 תלמידים),normal_data,הדוח מנסה להסביר למורה את מקור הקושי או את כיוון הפעולה המקצועית.,"בממשק המורה | תוויות סטטוס
שכבה לדוגמה: כיתה דורשת
הקשר: כיתה — כיתה ה׳ (28 תלמידים)
מצב נתונים: normal_data
כפי שמופיע היום: הכיתה דורשת מעקב ותרגול ממוקד",,ימולא לאחר אישור נוסח,high,matched scenario: teacher_dashboard_active
55,TS-HE-01131,teacher,lib/teacher-portal/teacher-ui.he.js,71,report_general,subject_scope,חשבון,ה׳,,weak_result,הדוח מנסה להסביר למורה את מקור הקושי או את כיוון הפעולה המקצועית.,"בממשק המורה | היקף מקצועות
מקצוע לדוגמה: חשבון
שכבה לדוגמה: ה׳
מצב נתונים: weak_result
כפי שמופיע היום: יש קושי במקצוע — נדרש תרגול אבחוני לזיהוי נושא מדויק",,ימולא לאחר אישור נוסח,high,
56,TS-HE-01132,teacher,lib/teacher-portal/teacher-ui.he.js,73,report_general,subject_scope,חשבון,כיתה מציגה,כיתה — כיתה ה׳ (28 תלמידים),weak_result,הדוח מנסה להסביר למורה את מקור הקושי או את כיוון הפעולה המקצועית.,"בממשק המורה | היקף מקצועות
מקצוע לדוגמה: חשבון
שכבה לדוגמה: כיתה מציגה
הקשר: כיתה — כיתה ה׳ (28 תלמידים)
מצב נתונים: weak_result
כפי שמופיע היום: הכיתה מציגה קושי במקצוע — מומלץ חיזוק כיתתי אבחוני",,ימולא לאחר אישור נוסח,high,matched scenario: teacher_class_report
