row_number,review_file,id,source_file,source_line,report_surface,report_section,subject_if_known,topic_if_known,scenario_if_known,engine_meaning_plain_he,before_in_report_context,after_in_report_context,context_confidence,notes
16,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00483,pages/learning/parent-report.js,3104,short_report,data_health,,,,המנוע אומר שעדיין אין מספיק תרגול כדי להסיק מסקנה ברורה.,"דוח קצר — מצב נתונים
לפני החלפה: יש נתוני תרגול בתקופה שנבחרה, אבל עדיין אין מספיק בסיס ברור מהתרגולים ברמת ההמלצות — כדאי להמשיך בתרגול ולעקוב שוב לאחר מכן.","דוח קצר — מצב נתונים
אחרי החלפה: יש נתוני תרגול בתקופה שנבחרה, אבל עדיין אין מספיק מידע מספיק ברור מהתרגולים ברמת ההמלצות — כדאי להמשיך בתרגול ולעקוב שוב לאחר מכן.",medium,
17,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00484,pages/learning/parent-report.js,3105,short_report,data_health,,,zero_data_math_q0,המנוע אומר שעדיין אין מספיק תרגול כדי להסיק מסקנה ברורה.,"דוח קצר — מצב נתונים
לפני החלפה: עדיין אין מספיק נתונים לתמונה ברורה מהתרגולים","דוח קצר — מצב נתונים
אחרי החלפה (ללא שינוי מוצע): עדיין אין מספיק נתונים לתמונה ברורה מהתרגולים",high,
18,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00531,utils/contracts/narrative-contract-v1.js,26,report_builder,general,,,normal_data_hebrew_q20,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כללי
לפני החלפה: light: נכון לעכשיו","בונה דוח — כללי
אחרי החלפה (ללא שינוי מוצע): light: נכון לעכשיו",high,Source may feed parent report — confirm render path
19,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00532,utils/contracts/narrative-contract-v1.js,26,report_builder,general,,,,המנוע מנסה להפוך את הנתונים להמלצה קצרה וברורה להורה.,"בונה דוח — כללי
לפני החלפה: light: כדאי להמשיך לעקוב","בונה דוח — כללי
אחרי החלפה (ללא שינוי מוצע): light: כדאי להמשיך לעקוב",high,Source may feed parent report — confirm render path
20,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00533,utils/contracts/narrative-contract-v1.js,27,report_builder,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כללי
לפני החלפה: mandatory: בשלב זה","בונה דוח — כללי
אחרי החלפה (ללא שינוי מוצע): mandatory: בשלב זה",high,
21,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00534,utils/contracts/narrative-contract-v1.js,27,report_builder,general,,,zero_data_math_q0,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כללי
לפני החלפה: mandatory: עדיין מוקדם לקבוע","בונה דוח — כללי
אחרי החלפה (ללא שינוי מוצע): mandatory: עדיין מוקדם לקבוע",high,Source may feed parent report — confirm render path
22,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00535,utils/contracts/narrative-contract-v1.js,31,report_builder,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כללי
לפני החלפה: בטוח לחלוטין","בונה דוח — כללי
אחרי החלפה (ללא שינוי מוצע): בטוח לחלוטין",high,Source may feed parent report — confirm render path
23,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00536,utils/contracts/narrative-contract-v1.js,32,report_builder,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כללי
לפני החלפה: בוודאות מלאה","בונה דוח — כללי
אחרי החלפה (ללא שינוי מוצע): בוודאות מלאה",high,Source may feed parent report — confirm render path
24,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00537,utils/contracts/narrative-contract-v1.js,33,report_builder,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כללי
לפני החלפה: ללא ספק בכלל","בונה דוח — כללי
אחרי החלפה (ללא שינוי מוצע): ללא ספק בכלל",high,Source may feed parent report — confirm render path
25,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00538,utils/contracts/narrative-contract-v1.js,34,report_builder,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כללי
לפני החלפה: חד משמעית","בונה דוח — כללי
אחרי החלפה (ללא שינוי מוצע): חד משמעית",high,Source may feed parent report — confirm render path
26,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00539,utils/contracts/narrative-contract-v1.js,49,report_builder,topic_card,,שברים,weak_topic_math_q20,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כרטיס נושא | נושא לדוגמה: שברים
אזור בדוח: topic_card
לפני החלפה: הנושא","בונה דוח — כרטיס נושא | נושא לדוגמה: שברים
אזור בדוח: topic_card
אחרי החלפה (ללא שינוי מוצע): הנושא",medium,Source may feed parent report — confirm render path
27,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00540,utils/contracts/narrative-contract-v1.js,152,report_builder,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כללי
לפני החלפה: בדני יש עדיין מעט מדי תרגול בתקופה שנבחרה כדי לדעת איך זה באמת הולך.","בונה דוח — כללי
אחרי החלפה: ב… יש עדיין מעט מדי תרגול בתקופה שנבחרה כדי לדעת איך זה באמת הולך.",medium,
28,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00541,utils/contracts/narrative-contract-v1.js,153,report_builder,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כללי
לפני החלפה: בדני רואים בינתיים רק מעט ניסיונות — זה בסדר; נוסיף עוד קצת ונחזור לזה.","בונה דוח — כללי
אחרי החלפה: ב… רואים בינתיים רק מעט ניסיונות — זה בסדר; נוסיף עוד קצת ונחזור לזה.",medium,
29,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00542,utils/contracts/narrative-contract-v1.js,154,report_builder,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כללי
לפני החלפה: בדני עדיין מעט תרגול בתקופה שנבחרה, ולכן נשארים עם ניסוח זהיר.","בונה דוח — כללי
אחרי החלפה: ב… עדיין מעט תרגול בתקופה שנבחרה, ולכן נשארים עם ניסוח זהיר.",medium,
30,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00543,utils/contracts/narrative-contract-v1.js,158,report_builder,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כללי
לפני החלפה: בדני בתקופה שנבחרה יש [מספר שאלות] שאלות, עם דיוק של כ־[דיוק]%.","בונה דוח — כללי
אחרי החלפה: ב… בתקופה שנבחרה יש … שאלות, עם דיוק של כ־…%.",medium,
31,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00544,utils/contracts/narrative-contract-v1.js,159,report_builder,general,,,,המנוע אומר שעדיין אין מספיק תרגול כדי להסיק מסקנה ברורה.,"בונה דוח — כללי
לפני החלפה: בדני נאספו [מספר שאלות] שאלות בתקופה, ורמת הדיוק סביב [דיוק]%.","בונה דוח — כללי
אחרי החלפה: ב… נאספו … שאלות בתקופה, ורמת הדיוק סביב …%.",medium,
32,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00545,utils/contracts/narrative-contract-v1.js,160,report_builder,general,,,,המנוע אומר שעדיין אין מספיק תרגול כדי להסיק מסקנה ברורה.,"בונה דוח — כללי
לפני החלפה: בדני נאספו [מספר שאלות] שאלות בתקופה, עם דיוק ממוצע של כ־[דיוק]%.","בונה דוח — כללי
אחרי החלפה: ב… נאספו … שאלות בתקופה, עם דיוק ממוצע של כ־…%.",medium,
33,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00546,utils/contracts/narrative-contract-v1.js,167,report_builder,general,,,zero_data_math_q0,המנוע מנסה להפוך את הנתונים להמלצה קצרה וברורה להורה.,"בונה דוח — כללי
לפני החלפה: ברשימת נקודות בדוח: «עדיין מוקדם לקבוע כאן כיוון ברור — נמשיך לעקוב אחרי התרגול.».","בונה דוח — כללי
אחרי החלפה (ללא שינוי מוצע): ברשימת נקודות בדוח: «עדיין מוקדם לקבוע כאן כיוון ברור — נמשיך לעקוב אחרי התרגול.».",high,
34,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00547,utils/contracts/narrative-contract-v1.js,168,report_builder,general,,,zero_data_math_q0,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — executive summary
לפני החלפה: ברשימת נקודות בדוח: «זה מוקדם לנסח סיכום סופי; נוסיף עוד קצת תרגול ונראה איך זה נשמר.».","בונה דוח — executive summary
אחרי החלפה (ללא שינוי מוצע): ברשימת נקודות בדוח: «זה מוקדם לנסח סיכום סופי; נוסיף עוד קצת תרגול ונראה איך זה נשמר.».",high,
35,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00548,utils/contracts/narrative-contract-v1.js,169,report_builder,data_health,,,zero_data_math_q0,המנוע אומר שעדיין אין מספיק תרגול כדי להסיק מסקנה ברורה.,"בונה דוח — מצב נתונים
לפני החלפה: ברשימת נקודות בדוח: «עדיין אין מספיק נתונים לקבוע כיוון ברור — נמשיך לאט ובזהירות.».","בונה דוח — מצב נתונים
אחרי החלפה (ללא שינוי מוצע): ברשימת נקודות בדוח: «עדיין אין מספיק נתונים לקבוע כיוון ברור — נמשיך לאט ובזהירות.».",high,
36,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00549,utils/contracts/narrative-contract-v1.js,177,report_builder,general,,,weak_topic_math_q20,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כללי
לפני החלפה: ברשימת נקודות בדוח: «יש כאן מספיק תרגול כדי לראות דפוס, אבל הדיוק עדיין נמוך יחסית — זה מצב שדורש חיזוק ממוקד.».","בונה דוח — כללי
אחרי החלפה (ללא שינוי מוצע): ברשימת נקודות בדוח: «יש כאן מספיק תרגול כדי לראות דפוס, אבל הדיוק עדיין נמוך יחסית — זה מצב שדורש חיזוק ממוקד.».",high,Source may feed parent report — confirm render path
37,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00550,utils/contracts/narrative-contract-v1.js,178,report_builder,topic_card,,שברים,,המנוע אומר שעדיין אין מספיק תרגול כדי להסיק מסקנה ברורה.,"בונה דוח — כרטיס נושא | נושא לדוגמה: שברים
אזור בדוח: topic_card
לפני החלפה: ברשימת נקודות בדוח: «נאספו מספיק שאלות לתמונה ראשונית, אך התוצאות עדיין מצביעות על קושי — כדאי חיזוק ממוקד לפני שמסמנים את הנושא כיציב.».","בונה דוח — כרטיס נושא | נושא לדוגמה: שברים
אזור בדוח: topic_card
אחרי החלפה (ללא שינוי מוצע): ברשימת נקודות בדוח: «נאספו מספיק שאלות לתמונה ראשונית, אך התוצאות עדיין מצביעות על קושי — כדאי חיזוק ממוקד לפני שמסמנים את הנושא כיציב.».",medium,Source may feed parent report — confirm render path
38,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00551,utils/contracts/narrative-contract-v1.js,179,report_builder,general,,,weak_topic_science_q20,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כללי
לפני החלפה: ברשימת נקודות בדוח: «הנתון מראה פעילות בתקופה, אבל הדיוק נמוך יחסית — נשארים עם ניסוח זהיר ותרגול ממוקד.».","בונה דוח — כללי
אחרי החלפה (ללא שינוי מוצע): ברשימת נקודות בדוח: «הנתון מראה פעילות בתקופה, אבל הדיוק נמוך יחסית — נשארים עם ניסוח זהיר ותרגול ממוקד.».",high,Source may feed parent report — confirm render path
39,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00552,utils/contracts/narrative-contract-v1.js,183,report_builder,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כללי
לפני החלפה: ברשימת נקודות בדוח: «מתחילים לראות סימנים ראשונים לכיוון, ועדיין צריך עוד קצת תרגול לפני שקובעים כיוון אחד.».","בונה דוח — כללי
אחרי החלפה (ללא שינוי מוצע): ברשימת נקודות בדוח: «מתחילים לראות סימנים ראשונים לכיוון, ועדיין צריך עוד קצת תרגול לפני שקובעים כיוון אחד.».",high,
40,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00553,utils/contracts/narrative-contract-v1.js,184,report_builder,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כללי
לפני החלפה: ברשימת נקודות בדוח: «נשמע שיש כאן התחלה טובה, אבל עדיין עדיף לחזק עוד קצת לפני שקובעים כיוון ברור.».","בונה דוח — כללי
אחרי החלפה (ללא שינוי מוצע): ברשימת נקודות בדוח: «נשמע שיש כאן התחלה טובה, אבל עדיין עדיף לחזק עוד קצת לפני שקובעים כיוון ברור.».",high,
41,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00554,utils/contracts/narrative-contract-v1.js,185,report_builder,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — executive summary
לפני החלפה: ברשימת נקודות בדוח: «רואים כיוון ראשוני נעים, ועדיין מוקדם לסיכום חד.».","בונה דוח — executive summary
אחרי החלפה (ללא שינוי מוצע): ברשימת נקודות בדוח: «רואים כיוון ראשוני נעים, ועדיין מוקדם לסיכום חד.».",high,
42,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00555,utils/contracts/narrative-contract-v1.js,190,report_builder,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כללי
לפני החלפה: ברשימת נקודות בדוח: «יש כאן כיוון עבודה הגיוני, ונעדיף לראות את זה חוזר עוד פעם לפני שמחמירים בקביעת כיוון.».","בונה דוח — כללי
אחרי החלפה (ללא שינוי מוצע): ברשימת נקודות בדוח: «יש כאן כיוון עבודה הגיוני, ונעדיף לראות את זה חוזר עוד פעם לפני שמחמירים בקביעת כיוון.».",high,
43,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00556,utils/contracts/narrative-contract-v1.js,191,report_builder,general,,,,המנוע מנסה להפוך את הנתונים להמלצה קצרה וברורה להורה.,"בונה דוח — כללי
לפני החלפה: ברשימת נקודות בדוח: «הדוח נראה מתקדם לטובה, וכדאי לוודא שזה לא מקרה חד־פעמי.».","בונה דוח — כללי
אחרי החלפה (ללא שינוי מוצע): ברשימת נקודות בדוח: «הדוח נראה מתקדם לטובה, וכדאי לוודא שזה לא מקרה חד־פעמי.».",high,Source may feed parent report — confirm render path
44,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00557,utils/contracts/narrative-contract-v1.js,192,report_builder,topic_card,,שברים,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כרטיס נושא | נושא לדוגמה: שברים
לפני החלפה: ברשימת נקודות בדוח: «הכיוון חיובי יחסית; נשארים עם חיזוק קצר וברור לפני שקובעים שהנושא יציב.».","בונה דוח — כרטיס נושא | נושא לדוגמה: שברים
אחרי החלפה (ללא שינוי מוצע): ברשימת נקודות בדוח: «הכיוון חיובי יחסית; נשארים עם חיזוק קצר וברור לפני שקובעים שהנושא יציב.».",medium,
45,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00558,utils/contracts/narrative-contract-v1.js,197,report_builder,general,,,normal_data_english_q20,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כללי
לפני החלפה: ברשימת נקודות בדוח: «הכיוון נראה יציב לאורך התקופה — מספיק להמשיך בתרגול שגרתי.».","בונה דוח — כללי
אחרי החלפה (ללא שינוי מוצע): ברשימת נקודות בדוח: «הכיוון נראה יציב לאורך התקופה — מספיק להמשיך בתרגול שגרתי.».",high,
46,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00559,utils/contracts/narrative-contract-v1.js,198,report_builder,general,,,normal_data_math_q20,המנוע מנסה להפוך את הנתונים להמלצה קצרה וברורה להורה.,"בונה דוח — כללי
לפני החלפה: ברשימת נקודות בדוח: «נראה שהביצוע נשמר טוב יחסית לתקופה הזו, ונמשיך בעדינות לעקוב.».","בונה דוח — כללי
אחרי החלפה (ללא שינוי מוצע): ברשימת נקודות בדוח: «נראה שהביצוע נשמר טוב יחסית לתקופה הזו, ונמשיך בעדינות לעקוב.».",high,Source may feed parent report — confirm render path
47,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00560,utils/contracts/narrative-contract-v1.js,199,report_builder,general,,,,המנוע מנסה להסביר להורה את מצב התרגול או את ההמלצה בצורה פשוטה.,"בונה דוח — כללי
לפני החלפה: ברשימת נקודות בדוח: «יש כאן יציבות טובה יחסית בתוצאות; נמשיך לעודד ולבדוק מדי פעם שהכול נשמר.».","בונה דוח — כללי
אחרי החלפה: ברשימת נקודות בדוח: «יש כאן עקביות טובה יחסית בתוצאות; נמשיך לעודד ולבדוק מדי פעם שהכול נשמר.».",high,Source may feed parent report — confirm render path
48,parent-report-hebrew-owner-review-01-rows-001-050.xlsx,PR-HE-00561,utils/contracts/narrative-contract-v1.js,203,report_builder,general,,,,"המנוע משווה את התוצאות לאורך זמן, ולא מסתמך רק על תרגול אחד.","בונה דוח — כללי
לפני החלפה: ברשימת נקודות בדוח: «יש כאן יציבות טובה יחסית, ובלי לאבד קשב לאורך זמן — נמשיך מדי פעם לבדוק שהכול נשאר רגוע גם תחת לחץ.».","בונה דוח — כללי
אחרי החלפה: ברשימת נקודות בדוח: «יש כאן עקביות טובה יחסית, ובלי לאבד קשב לאורך זמן — נמשיך מדי פעם לבדוק שהכול נשאר רגוע גם תחת לחץ.».",high,Source may feed parent report — confirm render path
