row_number,id,audience,source_file,source_line,surface,section,decision_type,engine_meaning_plain_he,before_in_context,context_confidence,notes
11,SD-HE-01785,parent,utils/parent-copilot/truth-packet-v1.js,589,parent_copilot,progression,ai_answer,תשובת AI/עוזר שמנחה את ההורה מה לעשות או איך להבין את הנתונים.,"בעוזר ההורים (Copilot)
אזור: progression
סוג החלטה: ai_answer
כפי שמופיע: בדוח יש נושאים שעדיין בלי בסיס מספיק להחלטת קידום, בהם: ….",medium,placeholders substituted
12,SD-HE-01786,parent,utils/parent-copilot/truth-packet-v1.js,590,parent_copilot,progression,ai_answer,תשובת AI/עוזר שמנחה את ההורה מה לעשות או איך להבין את הנתונים.,"בעוזר ההורים (Copilot)
אזור: progression
סוג החלטה: ai_answer
כפי שמופיע: לפי הניסוחים המעוגנים, לא נחשפה עכשיו חסימת קידום חדה אצל כל הנקודות המדודות — עדיין חשוב לעקוב לפני שינוי רמה.",high,
13,SD-HE-01787,parent,utils/parent-copilot/truth-packet-v1.js,595,parent_copilot,progression,ai_answer,תשובת AI/עוזר שמנחה את ההורה מה לעשות או איך להבין את הנתונים.,"בעוזר ההורים (Copilot)
אזור: progression
סוג החלטה: ai_answer
כפי שמופיע: כשמסלול הקידום לא מתעדכן, זה בדרך כלל משקף שחלק מהניסוחים עדיין לא סוגרים מספיק — במיוחד סביב: ….",medium,placeholders substituted
14,SD-HE-01816,parent,utils/parent-copilot/truth-packet-v1.js,749,parent_copilot,general,ai_answer,תשובת AI/עוזר שמנחה את ההורה מה לעשות או איך להבין את הנתונים.,"בעוזר ההורים (Copilot)
אזור: general
סוג החלטה: ai_answer
כפי שמופיע: יש כרגע מעט נתוני תרגול, כלומר נפח הנתונים עדיין מצומצם ואין עדיין מספיק מידע למסקנה חזקה.",high,
15,SD-HE-01824,parent,utils/parent-copilot/truth-packet-v1.js,796,parent_copilot,general,ai_answer,תשובת AI/עוזר שמנחה את ההורה מה לעשות או איך להבין את הנתונים.,"בעוזר ההורים (Copilot)
אזור: general
סוג החלטה: ai_answer
כפי שמופיע: יש כרגע מעט נתוני תרגול בדוח — נפח הנתונים עדיין קטן יחסית, ולכן התמונה כללית עדיין חלקית; כדאי לצבור עוד קצת תרגול לפני מסקנה חדה.",high,
16,SD-HE-02039,mixed_or_unclear,utils/topic-next-step-phase2.js,683,recommendation_engine,recommendation,next_step,הכוונה לצעד הבא בתרגול או בנושא.,"בהמלצות מערכת
אזור: recommendation
סוג החלטה: next_step
כפי שמופיע: בהמלצת מערכת: תרגול קצר וחוזר — בלי ציפייה להעברה מהירה.",high,
17,SD-HE-02075,mixed_or_unclear,utils/topic-next-step-phase2.js,1194,recommendation_engine,recommendation,next_step,הכוונה לצעד הבא בתרגול או בנושא.,"בהמלצות מערכת
אזור: recommendation
סוג החלטה: next_step
כפי שמופיע: בהמלצת מערכת: חשש מקידום מוקדם",high,
18,SD-HE-00115,mixed_or_unclear,pages/learning/curriculum.js,64,decision_general,general,other,טקסט שעשוי להשפיע על החלטת משתמש במערכת.,"בממשק החלטות
אזור: general
סוג החלטה: other
כפי שמופיע: מיפוי לפי מבנה דף האנגלית באתר ומול מסגרת POP של אנגלית יסודי, עם הצלבה לעותק התוכנית (Curriculum2020.pdf) בתיקיית חומרי הלימוד. חתימת בעלים או ביקורת ידנית סופית מול כל פרק בתוכנית עדיין לא הושלמה — אין טענה לאישור משרד מלא או לכיסוי שורה־שורה של כל פרק.",high,
19,SD-HE-00178,student,pages/learning/english-master.js,265,student_learning,general,other,טקסט שעשוי להשפיע על החלטת משתמש במערכת.,"במסך תרגול תלמיד
אזור: general
סוג החלטה: other
כפי שמופיע: בדוק מה מתאים: I/You/We/They = are, He/She/It = is",high,
20,SD-HE-00187,student,pages/learning/english-master.js,381,student_learning,general,other,טקסט שעשוי להשפיע על החלטת משתמש במערכת.,"במסך תרגול תלמיד
אזור: general
סוג החלטה: other
כפי שמופיע: נבדוק מה מתאים לפי כללי הדקדוק: I/You/We/They = are, He/She/It = is.",high,
21,SD-HE-00188,student,pages/learning/english-master.js,415,student_learning,general,other,טקסט שעשוי להשפיע על החלטת משתמש במערכת.,"במסך תרגול תלמיד
אזור: general
סוג החלטה: other
כפי שמופיע: נפרק את המשפט לחלקים ונחשוב איך אומרים כל חלק באנגלית.",high,
22,SD-HE-00192,student,pages/learning/english-master.js,449,student_learning,general,other,טקסט שעשוי להשפיע על החלטת משתמש במערכת.,"במסך תרגול תלמיד
אזור: general
סוג החלטה: other
כפי שמופיע: בדוק שוב את כללי הדקדוק: I am, You/We/They are, He/She/It is.",high,
23,SD-HE-00194,student,pages/learning/english-master.js,455,student_learning,general,other,טקסט שעשוי להשפיע על החלטת משתמש במערכת.,"במסך תרגול תלמיד
אזור: general
סוג החלטה: other
כפי שמופיע: בדוק שוב: האם המילה שבחרת מתאימה לנושא המשפט? זכור: I/You/We/They = are, He/She/It = is.",high,
24,SD-HE-00195,student,pages/learning/english-master.js,458,student_learning,general,other,טקסט שעשוי להשפיע על החלטת משתמש במערכת.,"במסך תרגול תלמיד
אזור: general
סוג החלטה: other
כפי שמופיע: כנראה שטעית באיות (spelling). בדוק שוב אות-אחר-אות, שים לב ל־th / sh / ch ולסיום המילה (s / ed / ing).",high,
25,SD-HE-00212,student,pages/learning/english-master.js,3612,student_learning,general,other,טקסט שעשוי להשפיע על החלטת משתמש במערכת.,"במסך תרגול תלמיד
אזור: general
סוג החלטה: other
כפי שמופיע: לחץ על 💡 Hint כדי לקבל רמז, ועל ""📘 הסבר מלא"" כדי לראות פתרון צעד־אחר־צעד.",high,
26,SD-HE-00213,student,pages/learning/english-master.js,3613,student_learning,progression,progression,ניסוח שמציע שינוי רמה או המשך התקדמות.,"במסך תרגול תלמיד
אזור: progression
סוג החלטה: progression
כפי שמופיע: ניקוד גבוה, רצף תשובות נכון, כוכבים ו־Badges עוזרים לך לעלות רמה כשחקן.",high,
27,SD-HE-00239,student,pages/learning/geometry-master.js,3782,student_learning,progression,progression,ניסוח שמציע שינוי רמה או המשך התקדמות.,"במסך תרגול תלמיד
אזור: progression
סוג החלטה: progression
כפי שמופיע: ניקוד גבוה, רצף תשובות נכון, כוכבים ו־Badges עוזרים לך לעלות רמה כשחקן.",high,
28,SD-HE-00262,student,pages/learning/hebrew-master.js,4386,student_learning,general,other,טקסט שעשוי להשפיע על החלטת משתמש במערכת.,"במסך תרגול תלמיד
אזור: general
סוג החלטה: other
כפי שמופיע: לחץ על 💡 Hint כדי לקבל רמז, ועל ""📘 הסבר מלא"" כדי לראות פתרון צעד־אחר־צעד.",high,
29,SD-HE-00263,student,pages/learning/hebrew-master.js,4387,student_learning,progression,progression,ניסוח שמציע שינוי רמה או המשך התקדמות.,"במסך תרגול תלמיד
אזור: progression
סוג החלטה: progression
כפי שמופיע: ניקוד גבוה, רצף תשובות נכון, כוכבים ו־Badges עוזרים לך לעלות רמה כשחקן.",high,
30,SD-HE-00304,student,pages/learning/math-master.js,6095,student_learning,progression,progression,ניסוח שמציע שינוי רמה או המשך התקדמות.,"במסך תרגול תלמיד
אזור: progression
סוג החלטה: progression
כפי שמופיע: ניקוד גבוה, רצף תשובות נכון, כוכבים ו־Badges עוזרים לך לעלות רמה כשחקן.",high,
31,SD-HE-00328,student,pages/learning/moledet-geography-master.js,3740,student_learning,general,other,טקסט שעשוי להשפיע על החלטת משתמש במערכת.,"במסך תרגול תלמיד
אזור: general
סוג החלטה: other
כפי שמופיע: לחץ על 💡 Hint כדי לקבל רמז, ועל ""📘 הסבר מלא"" כדי לראות פתרון צעד־אחר־צעד.",high,
32,SD-HE-00329,student,pages/learning/moledet-geography-master.js,3741,student_learning,progression,progression,ניסוח שמציע שינוי רמה או המשך התקדמות.,"במסך תרגול תלמיד
אזור: progression
סוג החלטה: progression
כפי שמופיע: ניקוד גבוה, רצף תשובות נכון, כוכבים ו־Badges עוזרים לך לעלות רמה כשחקן.",high,
33,SD-HE-00345,student,pages/learning/science-master.js,642,student_learning,general,other,טקסט שעשוי להשפיע על החלטת משתמש במערכת.,"במסך תרגול תלמיד
אזור: general
סוג החלטה: other
כפי שמופיע: זכור את חלקי הצמח ותפקידם: שורש, גבעול, עלים, פרחים.",high,
34,SD-HE-00412,teacher,pages/teacher/class/[classId].js,342,decision_general,data_sufficiency,data_sufficiency,הודעה שהנתונים אינם מספיקים לקבלת החלטה.,"בממשק החלטות
אזור: data_sufficiency
סוג החלטה: data_sufficiency
כותרת: קבוצות עבודה מוצעות
כפי שמופיע: אין מספיק תלמידים עם נתונים להרכבת קבוצות.",high,
35,SD-HE-00413,teacher,pages/teacher/class/[classId].js,343,decision_general,data_sufficiency,data_sufficiency,הודעה שהנתונים אינם מספיקים לקבלת החלטה.,"בממשק החלטות
אזור: data_sufficiency
סוג החלטה: data_sufficiency
כותרת: קבוצות עבודה מוצעות
כפי שמופיע: אין מספיק נתונים להרכבת קבוצות.",high,
36,SD-HE-00587,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,136,diagnostic_engine,general,diagnostic_status,תווית סטטוס/אבחון שמסבירה מצב תלמיד/נושא.,"במנוע אבחון/ניתוח
אזור: general
סוג החלטה: diagnostic_status
כפי שמופיע: באבחון/ניתוח: לבודד משפטי שאלה קצרים עם do/does/is/are במקום הנכון.",high,
37,SD-HE-00593,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,151,diagnostic_engine,general,diagnostic_status,תווית סטטוס/אבחון שמסבירה מצב תלמיד/נושא.,"במנוע אבחון/ניתוח
אזור: general
סוג החלטה: diagnostic_status
כפי שמופיע: באבחון/ניתוח: לבחור -er/-est או more/most במשפט קצר.",high,
38,SD-HE-00595,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,156,diagnostic_engine,general,diagnostic_status,תווית סטטוס/אבחון שמסבירה מצב תלמיד/נושא.,"במנוע אבחון/ניתוח
אזור: general
סוג החלטה: diagnostic_status
כפי שמופיע: באבחון/ניתוח: לבחור בין will ל-going to בהקשר ברור.",high,
39,SD-HE-00597,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,161,diagnostic_engine,general,diagnostic_status,תווית סטטוס/אבחון שמסבירה מצב תלמיד/נושא.,"במנוע אבחון/ניתוח
אזור: general
סוג החלטה: diagnostic_status
כפי שמופיע: באבחון/ניתוח: לבדוק צורת perfect מול זמן פשוט באותו הקשר.",high,
40,SD-HE-00599,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,166,diagnostic_engine,general,diagnostic_status,תווית סטטוס/אבחון שמסבירה מצב תלמיד/נושא.,"במנוע אבחון/ניתוח
אזור: general
סוג החלטה: diagnostic_status
כפי שמופיע: באבחון/ניתוח: לבודד if/when עם צורת פועל מתאימה בגוף אחד.",high,
41,SD-HE-00613,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,208,diagnostic_engine,general,diagnostic_status,תווית סטטוס/אבחון שמסבירה מצב תלמיד/נושא.,"במנוע אבחון/ניתוח
אזור: general
סוג החלטה: diagnostic_status
כפי שמופיע: באבחון/ניתוח: לבודד משפטים עם I/he/they ולבחור צורת be מתאימה.",high,
42,SD-HE-00621,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,228,diagnostic_engine,general,diagnostic_status,תווית סטטוס/אבחון שמסבירה מצב תלמיד/נושא.,"במנוע אבחון/ניתוח
אזור: general
סוג החלטה: diagnostic_status
כפי שמופיע: באבחון/ניתוח: לבודד משפטי שאלה קצרים עם do/does/is/are במקום הנכון.",high,
43,SD-HE-00625,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,238,diagnostic_engine,general,diagnostic_status,תווית סטטוס/אבחון שמסבירה מצב תלמיד/נושא.,"במנוע אבחון/ניתוח
אזור: general
סוג החלטה: diagnostic_status
כפי שמופיע: באבחון/ניתוח: להבחין בין some/many/much במשפט קצר.",high,
44,SD-HE-00629,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,248,diagnostic_engine,general,diagnostic_status,תווית סטטוס/אבחון שמסבירה מצב תלמיד/נושא.,"במנוע אבחון/ניתוח
אזור: general
סוג החלטה: diagnostic_status
כפי שמופיע: באבחון/ניתוח: לבחור בין will ל-going to בהקשר ברור.",high,
45,SD-HE-00631,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,253,diagnostic_engine,general,diagnostic_status,תווית סטטוס/אבחון שמסבירה מצב תלמיד/נושא.,"במנוע אבחון/ניתוח
אזור: general
סוג החלטה: diagnostic_status
כפי שמופיע: באבחון/ניתוח: לבדוק perfect מול זמן פשוט באותו הקשר.",high,
46,SD-HE-00633,mixed_or_unclear,utils/fast-diagnostic-engine/probe-map-he.js,258,diagnostic_engine,general,diagnostic_status,תווית סטטוס/אבחון שמסבירה מצב תלמיד/נושא.,"במנוע אבחון/ניתוח
אזור: general
סוג החלטה: diagnostic_status
כפי שמופיע: באבחון/ניתוח: לבודד if/when עם צורת פועל מתאימה.",high,
47,SD-HE-00655,mixed_or_unclear,utils/fast-diagnostic-engine/run-fast-diagnosis-for-unit.js,160,diagnostic_engine,general,diagnostic_status,תווית סטטוס/אבחון שמסבירה מצב תלמיד/נושא.,"במנוע אבחון/ניתוח
אזור: general
סוג החלטה: diagnostic_status
כפי שמופיע: באבחון/ניתוח: ב… נראה דפוס עקבי (… טעויות בטווח; ריכוז דומה של סוג הקושי). ${tagLab ?",medium,placeholders substituted
48,SD-HE-00656,mixed_or_unclear,utils/fast-diagnostic-engine/run-fast-diagnosis-for-unit.js,165,diagnostic_engine,student_feedback,recommendation,המלצת פעולה על בסיס ניתוח למידה.,"במנוע אבחון/ניתוח
אזור: student_feedback
סוג החלטה: recommendation
כפי שמופיע: באבחון/ניתוח: השערה ראשונית ב…: חוזרות על אותו סוג טעות — כדאי לאמת בהמשך עם עוד דוגמאות. ${tagLab ?",medium,placeholders substituted
49,SD-HE-00657,mixed_or_unclear,utils/fast-diagnostic-engine/run-fast-diagnosis-for-unit.js,170,diagnostic_engine,general,diagnostic_status,תווית סטטוס/אבחון שמסבירה מצב תלמיד/נושא.,"במנוע אבחון/ניתוח
אזור: general
סוג החלטה: diagnostic_status
כפי שמופיע: באבחון/ניתוח: סימן ראשוני ב…${tagLab ?",medium,placeholders substituted
50,SD-HE-00729,mixed_or_unclear,utils/learning-patterns-analysis.js,841,recommendation_engine,data_sufficiency,data_sufficiency,הודעה שהנתונים אינם מספיקים לקבלת החלטה.,"בהמלצות מערכת
אזור: data_sufficiency
סוג החלטה: data_sufficiency
כפי שמופיע: בהמלצת מערכת: נתונים חלקיים לדפוס מסוים.",high,
51,SD-HE-00730,mixed_or_unclear,utils/learning-patterns-analysis.js,845,recommendation_engine,general,diagnostic_status,תווית סטטוס/אבחון שמסבירה מצב תלמיד/נושא.,"בהמלצות מערכת
אזור: general
סוג החלטה: diagnostic_status
כפי שמופיע: בהמלצת מערכת: יש עוד אזורים עם טעויות מפוזרות שלא הגיעו לסף דפוס שחוזר מספיק — האבחון בהם נשאר חלקי.",high,
52,SD-HE-00731,mixed_or_unclear,utils/learning-patterns-analysis.js,917,recommendation_engine,general,other,טקסט שעשוי להשפיע על החלטת משתמש במערכת.,"בהמלצות מערכת
אזור: general
סוג החלטה: other
כפי שמופיע: בהמלצת מערכת: ב… המידע עדיין חלקי — עדיף תרגול קל ובדיקה חוזרת, לא שינוי גדול מדי.",medium,placeholders substituted
53,SD-HE-00735,mixed_or_unclear,utils/learning-patterns-analysis.js,933,recommendation_engine,general,recommendation,המלצת פעולה על בסיס ניתוח למידה.,"בהמלצות מערכת
אזור: general
סוג החלטה: recommendation
כפי שמופיע: בהמלצת מערכת: ב… נראה שיש קושי בחלקים פשוטים יותר של הנושא — מומלץ להתחיל בתרגול קצר וממוקד.",medium,placeholders substituted
54,SD-HE-00752,mixed_or_unclear,utils/learning-patterns-analysis.js,1015,recommendation_engine,data_sufficiency,data_sufficiency,הודעה שהנתונים אינם מספיקים לקבלת החלטה.,"בהמלצות מערכת
אזור: data_sufficiency
סוג החלטה: data_sufficiency
כפי שמופיע: בהמלצת מערכת: בתקופה שנבחרה עדיין אין מספיק תרגול כדי לזהות מגמה ברורה במקצוע זה.",high,
55,SD-HE-00753,mixed_or_unclear,utils/learning-patterns-analysis.js,1016,recommendation_engine,data_sufficiency,data_sufficiency,הודעה שהנתונים אינם מספיקים לקבלת החלטה.,"בהמלצות מערכת
אזור: data_sufficiency
סוג החלטה: data_sufficiency
כפי שמופיע: בהמלצת מערכת: בתקופה שנבחרה עדיין אין מספיק תרגול כדי לדעת עד כמה הכיוון ברור במקצוע הזה.",high,
56,SD-HE-00756,mixed_or_unclear,utils/learning-patterns-analysis.js,1038,recommendation_engine,data_sufficiency,data_sufficiency,הודעה שהנתונים אינם מספיקים לקבלת החלטה.,"בהמלצות מערכת
אזור: data_sufficiency
סוג החלטה: data_sufficiency
כפי שמופיע: בהמלצת מערכת: בתקופה שנבחרה עדיין אין מספיק תרגול כדי לקבוע מה חשוב לתרגל קודם.",high,
57,SD-HE-00758,mixed_or_unclear,utils/learning-patterns-analysis.js,1051,recommendation_engine,data_sufficiency,data_sufficiency,הודעה שהנתונים אינם מספיקים לקבלת החלטה.,"בהמלצות מערכת
אזור: data_sufficiency
סוג החלטה: data_sufficiency
כפי שמופיע: בהמלצת מערכת: בתקופה שנבחרה עדיין אין מספיק תרגול כדי לזהות טעות שחוזרת או שינוי לאורך זמן.",high,
58,SD-HE-00759,mixed_or_unclear,utils/learning-patterns-analysis.js,1061,recommendation_engine,data_sufficiency,data_sufficiency,הודעה שהנתונים אינם מספיקים לקבלת החלטה.,"בהמלצות מערכת
אזור: data_sufficiency
סוג החלטה: data_sufficiency
כפי שמופיע: בהמלצת מערכת: בתקופה שנבחרה עדיין אין מספיק תרגול כדי לדעת אם העזרה שניתנה באמת עזרה.",high,
59,SD-HE-00760,mixed_or_unclear,utils/learning-patterns-analysis.js,1070,recommendation_engine,data_sufficiency,data_sufficiency,הודעה שהנתונים אינם מספיקים לקבלת החלטה.,"בהמלצות מערכת
אזור: data_sufficiency
סוג החלטה: data_sufficiency
כפי שמופיע: בהמלצת מערכת: בתקופה שנבחרה עדיין אין מספיק תרגול כדי להחליט מה הצעד הבא בתרגול.",high,
60,SD-HE-00761,mixed_or_unclear,utils/learning-patterns-analysis.js,1079,recommendation_engine,data_sufficiency,data_sufficiency,הודעה שהנתונים אינם מספיקים לקבלת החלטה.,"בהמלצות מערכת
אזור: data_sufficiency
סוג החלטה: data_sufficiency
כפי שמופיע: בהמלצת מערכת: בתקופה שנבחרה עדיין אין מספיק תרגול כדי לדעת אם מה שניסינו לאחרונה עזר.",high,
61,SD-HE-00762,mixed_or_unclear,utils/learning-patterns-analysis.js,1087,recommendation_engine,data_sufficiency,data_sufficiency,הודעה שהנתונים אינם מספיקים לקבלת החלטה.,"בהמלצות מערכת
אזור: data_sufficiency
סוג החלטה: data_sufficiency
כפי שמופיע: בהמלצת מערכת: בתקופה שנבחרה עדיין אין מספיק תרגול כדי לקבל החלטה בטוחה.",high,
62,SD-HE-00763,mixed_or_unclear,utils/learning-patterns-analysis.js,1094,recommendation_engine,data_sufficiency,data_sufficiency,הודעה שהנתונים אינם מספיקים לקבלת החלטה.,"בהמלצות מערכת
אזור: data_sufficiency
סוג החלטה: data_sufficiency
כפי שמופיע: בהמלצת מערכת: בתקופה שנבחרה עדיין אין מספיק תרגול כדי להבין מאיפה מתחיל הקושי.",high,
63,SD-HE-00770,mixed_or_unclear,utils/learning-patterns-analysis.js,1462,recommendation_engine,general,other,טקסט שעשוי להשפיע על החלטת משתמש במערכת.,"בהמלצות מערכת
אזור: general
סוג החלטה: other
כפי שמופיע: בהמלצת מערכת: לפי הנתונים שנאספו: … שורות נותנות כיוון ברור, … שורות נותנות כיוון חלקי, ו־… שורות עדיין עם מעט מידע; … נתונים ברורים יותר מתוך ….",medium,placeholders substituted
64,SD-HE-00954,parent,utils/parent-copilot/conversational-reply-class-he.js,146,parent_copilot,general,ai_answer,תשובת AI/עוזר שמנחה את ההורה מה לעשות או איך להבין את הנתונים.,"בעוזר ההורים (Copilot)
אזור: general
סוג החלטה: ai_answer
כפי שמופיע: לא בטוח",high,
65,SD-HE-01133,parent,utils/parent-copilot/intent-answer-composers.js,274,parent_copilot,general,ai_answer,תשובת AI/עוזר שמנחה את ההורה מה לעשות או איך להבין את הנתונים.,"בעוזר ההורים (Copilot)
אזור: general
סוג החלטה: ai_answer
כפי שמופיע: בטווח התקופה יש עדיין מעט מאוד תרגול — התמונה כללית עדיין חלקית.",high,
66,SD-HE-01134,parent,utils/parent-copilot/intent-answer-composers.js,280,parent_copilot,general,ai_answer,תשובת AI/עוזר שמנחה את ההורה מה לעשות או איך להבין את הנתונים.,"בעוזר ההורים (Copilot)
אזור: general
סוג החלטה: ai_answer
כפי שמופיע: מה שעובד יחסית טוב: ${strong.map((m) =>",high,
67,SD-HE-01136,parent,utils/parent-copilot/intent-answer-composers.js,287,parent_copilot,general,ai_answer,תשובת AI/עוזר שמנחה את ההורה מה לעשות או איך להבין את הנתונים.,"בעוזר ההורים (Copilot)
אזור: general
סוג החלטה: ai_answer
כפי שמופיע: מקומות שדורשים חיזוק: ${weak.map((m) =>",high,
68,SD-HE-01170,parent,utils/parent-copilot/intent-answer-composers.js,582,parent_copilot,data_sufficiency,ai_answer,תשובת AI/עוזר שמנחה את ההורה מה לעשות או איך להבין את הנתונים.,"בעוזר ההורים (Copilot)
אזור: data_sufficiency
סוג החלטה: ai_answer
כפי שמופיע: בטווח התקופה תורגל רק … (… שאלות) — אין מספיק נתונים להשוואה בין מקצועות.",medium,placeholders substituted
69,SD-HE-01176,parent,utils/parent-copilot/intent-answer-composers.js,623,parent_copilot,data_sufficiency,ai_answer,תשובת AI/עוזר שמנחה את ההורה מה לעשות או איך להבין את הנתונים.,"בעוזר ההורים (Copilot)
אזור: data_sufficiency
סוג החלטה: ai_answer
כפי שמופיע: בטווח התקופה תורגל רק … — אין מספיק נתונים להשוואה בין מקצועות.",medium,placeholders substituted
70,SD-HE-01187,parent,utils/parent-copilot/llm-orchestrator.js,137,parent_copilot,ai_prompt,ai_prompt,הנחיית מערכת ל-AI — משפיעה על סוג התשובה (לא תמיד גלוי למשתמש).,"בעוזר ההורים (Copilot)
אזור: ai_prompt
סוג החלטה: ai_prompt
כפי שמופיע: בלוק observation: התחל במשפט כמו 'המקצוע שבו נראו התוצאות הטובות ביותר הוא [שם המקצוע בעברית]', ואז במידת הצורך 'ובעיקר בנושא [שם הנושא]' — רק מה שמופיע ב-FACTS_JSON.observation.",high,
71,SD-HE-01193,parent,utils/parent-copilot/llm-orchestrator.js,141,parent_copilot,ai_prompt,ai_prompt,הנחיית מערכת ל-AI — משפיעה על סוג התשובה (לא תמיד גלוי למשתמש).,"בעוזר ההורים (Copilot)
אזור: ai_prompt
סוג החלטה: ai_prompt
כפי שמופיע: בלוק meaning: הסבר בקצרה למה זה חיובי לפי FACTS_JSON.interpretation. אפשר להזכיר אחוז דיוק אחד.",high,
72,SD-HE-01198,parent,utils/parent-copilot/llm-orchestrator.js,147,parent_copilot,ai_prompt,ai_prompt,הנחיית מערכת ל-AI — משפיעה על סוג התשובה (לא תמיד גלוי למשתמש).,"בעוזר ההורים (Copilot)
אזור: ai_prompt
סוג החלטה: ai_prompt
כפי שמופיע: בלוק observation: התחל בניסוח כמו 'הנושא שבו נראו התוצאות הטובות ביותר הוא...' או 'ב... נראו תוצאות טובות יחסית' — ציין 1–2 תחומים ספציפיים מה-FACTS_JSON.observation בלבד.",high,
