row_number,id,audience,source_file,source_line,surface,section,copy_type,meaning_plain_he,before_in_context,context_confidence,notes
31,SG-HE-01292,mixed_or_unclear,pages/learning/english-master.js,337,learning_screen,general,heading,טקסט בממשק הלמידה.,"במסך תרגול
אזור: general
סוג: heading
כפי שמופיע: I (אני) = am, You/We/They (אתה/אנחנו/הם) = are, He/She/It (הוא/היא/זה) = is.",high,
32,SG-HE-00672,mixed_or_unclear,data/legal/sitePolicies.he.js,195,policy,general,heading,טקסט מדיניות/הסכמה משפטי.,"במדיניות/הסכמה
אזור: general
סוג: heading
כפי שמופיע: במדיניות/הסכמה: תנאי שימוש בעברית לאתר LEO KIDS — חשבון הורה, תרגול, דוחות ומנויים עתידיים.",high,
33,SG-HE-00610,mixed_or_unclear,data/legal/sitePolicies.he.js,56,policy,general,heading,טקסט מדיניות/הסכמה משפטי.,"במדיניות/הסכמה
אזור: general
סוג: heading
כפי שמופיע: במדיניות/הסכמה: LEO KIDS הוא אתר תרגול ולמידה לילדים, עם אזור הורים לניהול חשבון ודוחות.",high,
34,SG-HE-00774,mixed_or_unclear,data/legal/sitePolicies.he.js,452,policy,help,heading,טקסט מדיניות/הסכמה משפטי.,"במדיניות/הסכמה
אזור: help
סוג: heading
כפי שמופיע: במדיניות/הסכמה: גילוי שימוש ב-AI ו-Copilot — הסבר דוחות, מגבלות, ומה AI לא עושה.",high,
35,SG-HE-00792,mixed_or_unclear,data/legal/sitePolicies.he.js,495,policy,general,heading,טקסט מדיניות/הסכמה משפטי.,"במדיניות/הסכמה
אזור: general
סוג: heading
כפי שמופיע: במדיניות/הסכמה: קטגוריות: נתוני דוח, ביצועים בתקופה, נושאים, המלצות — לפי השאלה.",high,
36,SG-HE-01309,mixed_or_unclear,pages/learning/english-master.js,447,learning_screen,general,heading,טקסט בממשק הלמידה.,"במסך תרגול
אזור: general
סוג: heading
כפי שמופיע: זכור: am משמש רק עם I (אני). He/She/It = is, You/We/They = are.",high,
37,SG-HE-00030,mixed_or_unclear,components/InstallAppButton.js,167,general_component,general,other,טקסט ממשק כללי שרואה המשתמש.,"ברכיב ממשק כללי
אזור: general
סוג: other
כפי שמופיע: בדפדפן Chrome/Edge: לחץ על אייקון ההתקנה בשורת הכתובת",high,
38,SG-HE-00144,mixed_or_unclear,components/dev-student-simulator/CustomBuilderPanel.jsx,45,general_component,general,heading,טקסט ממשק כללי שרואה המשתמש.,"ברכיב ממשק כללי
אזור: general
סוג: heading
כפי שמופיע: רק שורות נושא: פעיל + שאלות קובעות מה ייכלל ב־Apply.",high,
39,SG-HE-00569,mixed_or_unclear,data/help-center/videos-manifest.json,1184,help_center,help,other,טקסט במרכז העזרה.,"במרכז העזרה
אזור: help
סוג: other
כפי שמופיע: input[name=\""username\""], input[placeholder*=\""שם\""]",high,
40,SG-HE-00570,mixed_or_unclear,data/help-center/videos-manifest.json,1206,help_center,help,other,טקסט במרכז העזרה.,"במרכז העזרה
אזור: help
סוג: other
כפי שמופיע: input[name=\""username\""], input[placeholder*=\""שם\""]",high,
41,SG-HE-00554,mixed_or_unclear,data/help-center/screenshots-manifest-approved.json,149,help_center,help,heading,טקסט במרכז העזרה.,"במרכז העזרה
אזור: help
סוג: heading
כפי שמופיע: Demo account ADMIN / child ישראל ישראלי only.",high,
42,SG-HE-01304,mixed_or_unclear,pages/learning/english-master.js,402,learning_screen,general,heading,טקסט בממשק הלמידה.,"במסך תרגול
אזור: general
סוג: heading
כפי שמופיע: נכתוב אות-אחר-אות, ושמים לב לאיות (spelling).",high,
43,SG-HE-00032,mixed_or_unclear,components/InstallAppButton.js,168,general_component,navigation,other,טקסט ממשק כללי שרואה המשתמש.,"ברכיב ממשק כללי
אזור: navigation
סוג: other
כפי שמופיע: בדפדפן Firefox: לחץ על תפריט (☰) ובחר ""התקן""",high,
44,SG-HE-01281,mixed_or_unclear,pages/learning/english-master.js,257,learning_screen,general,other,טקסט בממשק הלמידה.,"במסך תרגול
אזור: general
סוג: other
כפי שמופיע: זכור: I am, You/We/They are, He/She/It is",high,
45,SG-HE-00130,mixed_or_unclear,components/ai-hybrid-internal-reviewer-panel.jsx,241,general_component,general,other,טקסט ממשק כללי שרואה המשתמש.,"ברכיב ממשק כללי
אזור: general
סוג: other
כותרת: סיכום Shadow (מקומי)
כפי שמופיע: כל היחידות לפי severity (כולל none)",high,
46,SG-HE-00131,mixed_or_unclear,components/ai-hybrid-internal-reviewer-panel.jsx,249,general_component,general,other,טקסט ממשק כללי שרואה המשתמש.,"ברכיב ממשק כללי
אזור: general
סוג: other
כפי שמופיע: רשומות shadow שנדגמו (session)",high,
47,SG-HE-02273,student,pages/student/arcade.js,724,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כותרת: מצב פיתוח — הצטרפות לפי roomId
כפי שמופיע: מצב פיתוח — הצטרפות לפי roomId",high,
48,SG-HE-00123,mixed_or_unclear,components/ai-hybrid-internal-reviewer-panel.jsx,192,general_component,general,heading,טקסט ממשק כללי שרואה המשתמש.,"ברכיב ממשק כללי
אזור: general
סוג: heading
כותרת: ביקורת פנימית — hybridRuntime
כפי שמופיע: ביקורת פנימית — hybridRuntime",high,
49,SG-HE-00122,mixed_or_unclear,components/ai-hybrid-internal-reviewer-panel.jsx,174,general_component,general,heading,טקסט ממשק כללי שרואה המשתמש.,"ברכיב ממשק כללי
אזור: general
סוג: heading
כותרת: ביקורת פנימית — AI Hybrid
כפי שמופיע: ביקורת פנימית — AI Hybrid",high,
50,SG-HE-02193,parent,pages/parent/rewards.js,219,mixed_or_unclear,empty_state,empty_state,הודעה כשאין תוכן להצגה.,"בממשק כללי
אזור: empty_state
סוג: empty_state
כותרת: חלוקה לפי מקצועות
כפי שמופיע: אין נתונים בטווח שנבחר.",high,
51,SG-HE-00343,mixed_or_unclear,data/help-center/content/parents.js,159,help_center,help,other,טקסט במרכז העזרה.,"במרכז העזרה
אזור: help
סוג: other
כפי שמופיע: שאלו על הדוח (Copilot)",high,
52,SG-HE-00562,mixed_or_unclear,data/help-center/videos-manifest.json,640,help_center,help,other,טקסט במרכז העזרה.,"במרכז העזרה
אזור: help
סוג: other
כפי שמופיע: שאלו על הדוח (Copilot)",high,
53,SG-HE-00125,mixed_or_unclear,components/ai-hybrid-internal-reviewer-panel.jsx,202,general_component,general,other,טקסט ממשק כללי שרואה המשתמש.,"ברכיב ממשק כללי
אזור: general
סוג: other
כותרת: ביקורת פנימית — hybridRuntime
כפי שמופיע: הצג JSON גולמי (משני)",high,
54,SG-HE-00306,mixed_or_unclear,data/help-center/content/parents.js,94,help_center,help,other,טקסט במרכז העזרה.,"במרכז העזרה
אזור: help
סוג: other
כפי שמופיע: ועד כיתה ו׳ — grade_6",high,
55,SG-HE-00126,mixed_or_unclear,components/ai-hybrid-internal-reviewer-panel.jsx,207,general_component,general,heading,טקסט ממשק כללי שרואה המשתמש.,"ברכיב ממשק כללי
אזור: general
סוג: heading
כותרת: סיכום Shadow (מקומי)
כפי שמופיע: סיכום Shadow (מקומי)",high,
56,SG-HE-01107,mixed_or_unclear,pages/help/index.js,20,help_center,help,other,טקסט במרכז העזרה.,"במרכז העזרה
אזור: help
סוג: other
כפי שמופיע: מרכז עזרה · LEO KIDS",high,
57,SG-HE-02190,parent,pages/parent/rewards.js,207,mixed_or_unclear,general,other,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: other
כפי שמופיע: סה״כ תרגילים בטווח",high,
58,SG-HE-00115,mixed_or_unclear,components/ai-hybrid-internal-reviewer-panel.jsx,115,general_component,general,heading,טקסט ממשק כללי שרואה המשתמש.,"ברכיב ממשק כללי
אזור: general
סוג: heading
כותרת: צעד בדיקה (probe)
כפי שמופיע: צעד בדיקה (probe)",high,
59,SG-HE-00120,mixed_or_unclear,components/ai-hybrid-internal-reviewer-panel.jsx,135,general_component,general,heading,טקסט ממשק כללי שרואה המשתמש.,"ברכיב ממשק כללי
אזור: general
סוג: heading
כותרת: אימות (validator)
כפי שמופיע: אימות (validator)",high,
60,SG-HE-00134,mixed_or_unclear,components/dev-student-simulator/CustomBuilderPanel.jsx,35,general_component,general,other,טקסט ממשק כללי שרואה המשתמש.,"ברכיב ממשק כללי
אזור: general
סוג: other
כפי שמופיע: מצב יישום (Apply)",high,
61,SG-HE-00304,mixed_or_unclear,data/help-center/content/parents.js,94,help_center,help,other,טקסט במרכז העזרה.,"במרכז העזרה
אזור: help
סוג: other
כפי שמופיע: כיתה א׳ — grade_1",high,
62,SG-HE-00305,mixed_or_unclear,data/help-center/content/parents.js,94,help_center,help,other,טקסט במרכז העזרה.,"במרכז העזרה
אזור: help
סוג: other
כפי שמופיע: כיתה ב׳ — grade_2",high,
63,SG-HE-00085,admin,components/admin/SchoolAssignForm.jsx,77,admin_ui,form,form_label,טקסט ממשק כללי שרואה המשתמש.,"בממשק ניהול
אזור: form
סוג: form_label
כפי שמופיע: בממשק ניהול: מזהה מורה (UUID)",high,
64,SG-HE-02158,parent,pages/parent/dashboard.js,610,dashboard,general,form_label,טקסט ממשק כללי שרואה המשתמש.,"בלוח בקרה
אזור: general
סוג: form_label
כפי שמופיע: בלוח בקרה: לדוגמה: noam123",high,
65,SG-HE-02189,parent,pages/parent/rewards.js,201,mixed_or_unclear,general,other,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: other
כפי שמופיע: סה״כ דקות בטווח",high,
66,SG-HE-00024,mixed_or_unclear,components/InstallAppButton.js,160,general_component,general,other,טקסט ממשק כללי שרואה המשתמש.,"ברכיב ממשק כללי
אזור: general
סוג: other
כפי שמופיע: בתחתית Safari",high,
67,SG-HE-00046,mixed_or_unclear,components/InstallAppPrompt.js,146,general_component,general,other,טקסט ממשק כללי שרואה המשתמש.,"ברכיב ממשק כללי
אזור: general
סוג: other
כותרת: התקן את LEO K
כפי שמופיע: בתחתית Safari",high,
68,SG-HE-00063,mixed_or_unclear,components/Layout.js,86,general_component,general,other,טקסט ממשק כללי שרואה המשתמש.,"ברכיב ממשק כללי
אזור: general
סוג: other
כפי שמופיע: לוגו LEO KIDS",high,
69,SG-HE-00124,mixed_or_unclear,components/ai-hybrid-internal-reviewer-panel.jsx,202,general_component,general,other,טקסט ממשק כללי שרואה המשתמש.,"ברכיב ממשק כללי
אזור: general
סוג: other
כותרת: ביקורת פנימית — hybridRuntime
כפי שמופיע: הסתר JSON",high,
70,SG-HE-00088,admin,components/admin/SchoolAssignForm.jsx,117,admin_ui,error,error_message,הודעת שגיאה למשתמש.,"בממשק ניהול
אזור: error
סוג: error_message
כפי שמופיע: בממשק ניהול: שגיאה",high,
71,SG-HE-00089,admin,components/admin/SchoolAssignForm.jsx,137,admin_ui,error,error_message,הודעת שגיאה למשתמש.,"בממשק ניהול
אזור: error
סוג: error_message
כפי שמופיע: בממשק ניהול: שגיאה",high,
72,SG-HE-00168,mixed_or_unclear,components/layout/DevCoinTopupNav.js,47,navigation,error,error_message,הודעת שגיאה למשתמש.,"בניווט
אזור: error
סוג: error_message
כפי שמופיע: שגיאה",high,
73,SG-HE-00206,student,components/student/StudentClassroomActivitiesPanel.jsx,19,general_component,general,other,טקסט ממשק כללי שרואה המשתמש.,"ברכיב ממשק כללי
אזור: general
סוג: other
כפי שמופיע: המשך",high,
74,SG-HE-01092,mixed_or_unclear,pages/gallery.js,148,homepage,form,tooltip,טקסט בדף הבית הציבורי.,"בדף הבית
אזור: form
סוג: tooltip
כפי שמופיע: הבא",high,
75,SG-HE-01072,guest,pages/contact.js,22,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כפי שמופיע: האתר כולל תרגול במקצועות כמו מתמטיקה, גיאומטריה, עברית, אנגלית, מדעים ומולדת/גאוגרפיה, בהתאם לשלבי הפיתוח והתוכן הזמין באתר.",high,
76,SG-HE-00756,mixed_or_unclear,data/legal/sitePolicies.he.js,401,policy,success,heading,טקסט מדיניות/הסכמה משפטי.,"במדיניות/הסכמה
אזור: success
סוג: heading
כפי שמופיע: במדיניות/הסכמה: סשנים, תשובות, דוחות, מטבעות ונתונים הקשורים לילד — בהתאם למה שנשמר במערכת.",high,
77,SG-HE-01187,mixed_or_unclear,pages/learning/curriculum.js,489,learning_lobby,general,explanation,טקסט בממשק הלמידה.,"בלובי למידה
אזור: general
סוג: explanation
כותרת: נושאים זמינים:
כפי שמופיע: בלובי למידה: תחושת מספר (כולל השלמת מספר / איזון פשוט — לא משוואות אלגבריות כנושא נפרד)",high,
78,SG-HE-00634,mixed_or_unclear,data/legal/sitePolicies.he.js,101,policy,general,heading,טקסט מדיניות/הסכמה משפטי.,"במדיניות/הסכמה
אזור: general
סוג: heading
כפי שמופיע: במדיניות/הסכמה: שותפי פרסום או אנליטיקה — רק אם/כאשר יופעלו, ובהתאם לעדכון מדיניות.",high,
79,SG-HE-00725,mixed_or_unclear,data/legal/sitePolicies.he.js,324,policy,general,heading,טקסט מדיניות/הסכמה משפטי.,"במדיניות/הסכמה
אזור: general
סוג: heading
כפי שמופיע: במדיניות/הסכמה: רמת היעד: AA — במידת האפשר ובהתאם ליכולות המערכת.",high,
80,SG-HE-00731,mixed_or_unclear,data/legal/sitePolicies.he.js,335,policy,general,other,טקסט מדיניות/הסכמה משפטי.,"במדיניות/הסכמה
אזור: general
סוג: other
כפי שמופיע: במדיניות/הסכמה: ניגודיות צבעים — בהתאם לעיצוב הקיים.",high,
81,SG-HE-02692,mixed_or_unclear,utils/curriculum-audit/math-official-source-map.js,77,learning_lobby,form,label,טקסט בממשק הלמידה.,"בלובי למידה
אזור: form
סוג: label
כפי שמופיע: בלובי למידה: דפוסים, סדרות, משוואות וביטויים",high,
82,SG-HE-02823,mixed_or_unclear,utils/curriculum-audit/math-official-subsection-catalog.js,524,learning_lobby,form,label,טקסט בממשק הלמידה.,"בלובי למידה
אזור: form
סוג: label
כפי שמופיע: בלובי למידה: ביטויים ומשוואות — פישוט והצבה",high,
83,SG-HE-02798,mixed_or_unclear,utils/curriculum-audit/math-official-subsection-catalog.js,392,learning_lobby,form,label,טקסט בממשק הלמידה.,"בלובי למידה
אזור: form
סוג: label
כפי שמופיע: בלובי למידה: משוואות וביטויים בכיתה ד׳",high,
84,SG-HE-02812,mixed_or_unclear,utils/curriculum-audit/math-official-subsection-catalog.js,463,learning_lobby,form,label,טקסט בממשק הלמידה.,"בלובי למידה
אזור: form
סוג: label
כפי שמופיע: בלובי למידה: ביטויים אלגבריים ומשוואות",high,
85,SG-HE-02404,mixed_or_unclear,utils/curriculum-audit/curriculum-topic-normalizer.js,113,learning_lobby,general,other,טקסט בממשק הלמידה.,"בלובי למידה
אזור: general
סוג: other
כפי שמופיע: בלובי למידה: משוואות וביטויים",high,
86,SG-HE-01349,mixed_or_unclear,pages/learning/english-master.js,2890,learning_screen,general,other,טקסט בממשק הלמידה.,"במסך תרגול
אזור: general
סוג: other
כפי שמופיע: שיאים מקומיים",high,
87,SG-HE-01458,mixed_or_unclear,pages/learning/geometry-master.js,3166,learning_screen,general,other,טקסט בממשק הלמידה.,"במסך תרגול
אזור: general
סוג: other
כפי שמופיע: שיאים מקומיים",high,
88,SG-HE-01625,mixed_or_unclear,pages/learning/hebrew-master.js,4125,learning_screen,general,other,טקסט בממשק הלמידה.,"במסך תרגול
אזור: general
סוג: other
כפי שמופיע: שיאים מקומיים",high,
89,SG-HE-01806,mixed_or_unclear,pages/learning/math-master.js,5830,learning_screen,general,other,טקסט בממשק הלמידה.,"במסך תרגול
אזור: general
סוג: other
כפי שמופיע: שיאים מקומיים",high,
90,SG-HE-01949,mixed_or_unclear,pages/learning/moledet-geography-master.js,3479,learning_screen,general,other,טקסט בממשק הלמידה.,"במסך תרגול
אזור: general
סוג: other
כפי שמופיע: שיאים מקומיים",high,
91,SG-HE-02085,mixed_or_unclear,pages/learning/science-master.js,3467,learning_screen,general,other,טקסט בממשק הלמידה.,"במסך תרגול
אזור: general
סוג: other
כפי שמופיע: שיאים מקומיים",high,
92,SG-HE-01205,mixed_or_unclear,pages/learning/curriculum.js,524,learning_lobby,general,other,טקסט בממשק הלמידה.,"בלובי למידה
אזור: general
סוג: other
כותרת: נושאים זמינים:
כפי שמופיע: בלובי למידה: משוואות",high,
93,SG-HE-01224,mixed_or_unclear,pages/learning/curriculum.js,558,learning_lobby,general,other,טקסט בממשק הלמידה.,"בלובי למידה
אזור: general
סוג: other
כותרת: נושאים זמינים:
כפי שמופיע: בלובי למידה: משוואות",high,
94,SG-HE-01244,mixed_or_unclear,pages/learning/curriculum.js,594,learning_lobby,general,other,טקסט בממשק הלמידה.,"בלובי למידה
אזור: general
סוג: other
כותרת: נושאים זמינים:
כפי שמופיע: בלובי למידה: משוואות",high,
95,SG-HE-01720,mixed_or_unclear,pages/learning/math-master.js,2628,learning_screen,general,other,טקסט בממשק הלמידה.,"במסך תרגול
אזור: general
סוג: other
כפי שמופיע: משוואות",high,
96,SG-HE-02755,mixed_or_unclear,utils/curriculum-audit/math-official-subsection-catalog.js,214,learning_lobby,form,label,טקסט בממשק הלמידה.,"בלובי למידה
אזור: form
סוג: label
כפי שמופיע: בלובי למידה: השוואות",high,
97,SG-HE-03048,mixed_or_unclear,utils/dev-student-simulator/ui-display-labels.js,47,mixed_or_unclear,form,other,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: form
סוג: other
כפי שמופיע: משוואות",high,
98,SG-HE-11115,mixed_or_unclear,utils/student-question-stem-sanitizer.js,121,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: \\(…(?:כיתה…[^)·•—]+|נושא…[^)·•—]+|……[^)·•—]+|תחום…[^)·•—]+)(?:…[·•—]…(?:כיתה…[^)·•—]+|נושא…[^)·•—]+|……[^)·•—]+|תחום…[^)·•—]+))*…\\)…",medium,placeholders substituted
99,SG-HE-10308,mixed_or_unclear,utils/math-explanations.js,511,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כפי שמופיע: 2. לדוגמה … = …… …… …….",medium,placeholders substituted
100,SG-HE-11116,mixed_or_unclear,utils/student-question-stem-sanitizer.js,130,mixed_or_unclear,general,explanation,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: explanation
כפי שמופיע: ^(?:…(?:כיתה…[אבגדהו]['׳]?|נושא…\\S+|תחום…\\S+|……(?:easy|medium|hard|קלה|בינונית|קשה|מאתגרת)|מושגים…\\([^)]+\\)))…(?::|[·•—|]…|…[-—]…)",medium,placeholders substituted
101,SG-HE-09652,mixed_or_unclear,utils/math-animations.js,1529,mixed_or_unclear,general,heading,טקסט ממשק כללי שרואה המשתמש.,"בממשק כללי
אזור: general
סוג: heading
כפי שמופיע: כדי שיהיה קל לחשב בעמודות, מדמיינים שמזיזים את הנקודה … מקומות ימינה (כופלים ב-…). מחשבים עם מספרים שלמים, ובסוף מחזירים את הנקודה … מקומות שמאלה.",medium,placeholders substituted
