רמה,גיל,ID,כותרת,אייקון,שאלה,רמז UI,כמה לבחור,תשובות נכונות,מצב תשובה,מדף,מסיחים,כותרת מרמזת,אייקון מרמז,שאלה מרמזת,תשובות מתאימות,תשובה נוספת על המדף,מתאים לגיל,פעולה מומלצת
קל,א׳–ב׳,easy-heavy-roll,כמעט לא מתגלגל,⚙️,בחרו 2 חפצים כבדים שקשה להזיז,🧾 בחרו 2 חפצים,2,פחית + מסמר + כפית מתכת,"validItems רחב (3 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, צמח, מים, שמש, עץ",לא,לא,לא,כן,לא,כן,להשאיר
קל,א׳–ב׳,easy-heavy-things,חפצים כבדים,⚖️,בחרו 2 חפצים כבדים מהמדף,🧾 בחרו 2 חפצים,2,מסמר + פחית + כפית מתכת,"validItems רחב (3 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, צמח, מים, שמש, עץ",לא,לא,לא,כן,לא,כן,להשאיר
קל,א׳–ב׳,easy-hide-in-shadow,מסתירים בצל,🌳,בחרו 2 חפצים ליצירת צל קריר,🧾 בחרו 2 חפצים,2,שמש + עץ,"validItems רחב (2 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים",לא,לא,לא,כן,לא,כן,להשאיר
קל,א׳–ב׳,easy-leaf-float,עלה צף,🍃,בחרו 2 חפצים לבדיקת ציפה קלה,🧾 בחרו 2 חפצים,2,מים + צמח,"validItems רחב (2 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, שמש, עץ",כן,לא,לא,חלקית,לא,כן,לשנות כותרת + לשנות תשובות
קל,א׳–ב׳,easy-light-things,חפצים קלים,🪶,בחרו 2 חפצים קלים מהמדף,🧾 בחרו 2 חפצים,2,עץ + צמח,"validItems רחב (2 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, מים, שמש",לא,לא,לא,כן,לא,כן,להשאיר
קל,א׳–ב׳,easy-light-three,האירו את החדר,☀️,בחרו 3 חפצים שקשורים לאור,🧾 בחרו 3 חפצים,3,שמש + מים + צמח,exactMatch (3 חובה),"אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, עץ",לא,כן,כן,חלקית,לא,כן,לשנות ניסוח + לשנות אייקון + לשנות תשובות
קל,א׳–ב׳,easy-light-through,מה שקוף לאור,✨,בחרו 2 חפצים שמאפשרים לאור לעבור,🧾 בחרו 2 חפצים,2,מים + שמש,exactMatch (2 חובה),"אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, עץ",כן,לא,כן,חלקית (שאלה מכוונת לחפצים),לא,כן,לשנות ניסוח + לשנות כותרת + לשנות תשובות
קל,א׳–ב׳,easy-magnet-metals,מצאו חפצים שנמשכים למגנט,🧲,בחרו 2 חפצים מתכתיים שהמגנט ימשוך,🧾 בחרו 2 חפצים,2,מסמר + כפית מתכת + פחית,"validItems רחב (3 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, צמח, מים, שמש, עץ",לא,לא,כן,חלקית,כן (מגנט),כן,לשנות ניסוח + לשנות תשובות + לבדוק תשובות חלופיות
קל,א׳–ב׳,easy-measure-wood,מדידה בעץ,📏,בחרו 2 חפצים למדידה פשוטה,🧾 בחרו 2 חפצים,2,עץ + מים,"validItems רחב (2 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, שמש",כן,לא,לא,חלקית,לא,כן,לשנות כותרת + לשנות תשובות
קל,א׳–ב׳,easy-metal-no-soak,מתכת שלא סופגת מים,🔩,בחרו 2 חפצים מתכתיים שלא סופגים מים,🧾 בחרו 2 חפצים,2,מסמר + פחית + כפית מתכת,"validItems רחב (3 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, צמח, מים, שמש, עץ",כן,כן,כן,חלקית,כן (מים),כן,לשנות ניסוח + לשנות כותרת + לשנות אייקון + לשנות תשובות + לבדוק תשובות חלופיות
קל,א׳–ב׳,easy-metal-three,אספו מתכות,🧲,בחרו 3 חפצים מתכתיים,🧾 בחרו 3 חפצים,3,מסמר + כפית מתכת + פחית,"validItems רחב (3 מותרים, בוחרים 3)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, צמח, מים, שמש, עץ",לא,לא,כן,חלקית,לא,כן,לשנות ניסוח + לשנות תשובות
קל,א׳–ב׳,easy-mix-water,ערבוב במים,🌀,בחרו 2 חפצים לערבוב במים,🧾 בחרו 2 חפצים,2,מים + עץ,"validItems רחב (2 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, שמש",כן,לא,כן,לא (כותרת מזכירה מים ומים בתשובה),לא,כן,לשנות ניסוח + לשנות כותרת + לשנות תשובות
קל,א׳–ב׳,easy-morning-garden,גינה בבוקר,🌻,בחרו 3 דברים לטיפול בגינה,🧾 בחרו 3 חפצים,3,צמח + מים + שמש,exactMatch (3 חובה),"אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, עץ",לא,לא,לא,כן,לא,כן,להשאיר
קל,א׳–ב׳,easy-nail-magnet-pair,מסמר ומגנט,🔩,בחרו 2 חפצים לבדיקת מסמר ומגנט,🧾 בחרו 2 חפצים,2,מגנט + מסמר,exactMatch (2 חובה),"אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, כפית מתכת, פחית, צמח, מים, שמש, עץ",כן,כן,כן,חלקית (שאלה מכוונת לחפצים),לא,כן,לשנות ניסוח + לשנות כותרת + לשנות אייקון + לשנות תשובות
קל,א׳–ב׳,easy-not-magnetic,מה לא נמשך למגנט,🚫,בחרו 2 חפצים שלא נמשכים למגנט,🧾 בחרו 2 חפצים,2,צמח + עץ + מים + שמש,"validItems רחב (4 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית",לא,לא,לא,כן,כן (מגנט),כן,לבדוק תשובות חלופיות
קל,א׳–ב׳,easy-plant-drink,עזרו לצמח לשתות,🌱,בחרו 2 דברים שיעזרו לצמח,🧾 בחרו 2 חפצים,2,צמח + מים + שמש,"validItems רחב (3 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, עץ",כן,כן,כן,חלקית,לא,כן,לשנות ניסוח + לשנות כותרת + לשנות אייקון + לשנות תשובות
קל,א׳–ב׳,easy-plant-soaks,מה סופג מים,🌱,בחרו 2 חפצים ששומרים או סופגים מים,🧾 בחרו 2 חפצים,2,צמח + עץ,"validItems רחב (2 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, מים, שמש",לא,כן,לא,חלקית,כן (מים),כן,לשנות ניסוח + לשנות אייקון + לשנות תשובות + לבדוק תשובות חלופיות
קל,א׳–ב׳,easy-plant-three,הזינו צמח,🌱,בחרו 3 דברים שהצמח צריך,🧾 בחרו 3 חפצים,3,צמח + מים + שמש,exactMatch (3 חובה),"אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, עץ",כן,כן,כן,חלקית,לא,כן,לשנות ניסוח + לשנות כותרת + לשנות אייקון + לשנות תשובות
קל,א׳–ב׳,easy-reflect,החזירו אור,🔦,בחרו 2 חפצים שקשורים לאור,🧾 בחרו 2 חפצים,2,שמש + מים,"validItems רחב (2 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, עץ",כן,לא,כן,חלקית,לא,כן,לשנות ניסוח + לשנות כותרת + לשנות תשובות
קל,א׳–ב׳,easy-science-kit,ערכת מדען,🔬,בחרו 3 כלים לניסוי מדעי,🧾 בחרו 3 חפצים,3,מגנט + מים + מסמר,exactMatch (3 חובה),"אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, כפית מתכת, פחית, צמח, שמש, עץ",לא,לא,לא,כן,לא,כן,להשאיר
קל,א׳–ב׳,easy-shadow,צרו צל,🌓,בחרו 2 חפצים שיוצרים צל,🧾 בחרו 2 חפצים,2,שמש + עץ,"validItems רחב (2 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים",לא,לא,לא,כן,לא,כן,להשאיר
קל,א׳–ב׳,easy-shiny-metal,מתכת מבריקה,✨,בחרו 2 חפצים מתכתיים מבריקים,🧾 בחרו 2 חפצים,2,מסמר + כפית מתכת + פחית,"validItems רחב (3 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, צמח, מים, שמש, עץ",כן,לא,כן,חלקית,לא,כן,לשנות ניסוח + לשנות כותרת + לשנות תשובות
קל,א׳–ב׳,easy-sink,בדקו מה שוקע במים,💧,בחרו 2 חפצים כבדים לבדיקה במים,🧾 בחרו 2 חפצים,2,מים + מסמר + כפית מתכת + פחית,"validItems רחב (4 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, צמח, שמש, עץ",כן,כן,כן,לא (כותרת מזכירה מים ומים בתשובה),לא,כן,לשנות ניסוח + לשנות כותרת + לשנות אייקון + לשנות תשובות
קל,א׳–ב׳,easy-spoon-in-water,כפית במים,🥄,בחרו 2 חפצים לבדיקת כפית מתכת במים,🧾 בחרו 2 חפצים,2,כפית מתכת + מים,"validItems רחב (2 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, פחית, צמח, שמש, עץ",כן,כן,כן,לא (כותרת מזכירה מים ומים בתשובה),"כן (מסמר, פחית)",כן,לשנות ניסוח + לשנות כותרת + לשנות אייקון + לשנות תשובות + לבדוק תשובות חלופיות
קל,א׳–ב׳,easy-stable-tower,מגדל יציב,🏗️,בחרו 2 חפצים לבניית מגדל יציב,🧾 בחרו 2 חפצים,2,עץ + פחית + מסמר,"validItems רחב (3 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, כפית מתכת, צמח, מים, שמש",לא,לא,לא,כן,כן (צמח),כן,לבדוק תשובות חלופיות
קל,א׳–ב׳,easy-sun-and-water,שמש ומים,🌤️,בחרו 2 דברים שמשפיעים על גידול הצמח,🧾 בחרו 2 חפצים,2,שמש + מים + צמח,"validItems רחב (3 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, עץ",כן,לא,כן,לא (כותרת מזכירה מים ומים בתשובה; כותרת מזכירה שמש ושמש בתשובה),לא,כן,לשנות ניסוח + לשנות כותרת + לשנות תשובות
קל,א׳–ב׳,easy-sun-for-plant,אור לצמח,☀️,בחרו 2 דברים שהצמח צריך לאור,🧾 בחרו 2 חפצים,2,צמח + שמש,"validItems רחב (2 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, מים, עץ",כן,כן,כן,חלקית,לא,כן,לשנות ניסוח + לשנות כותרת + לשנות אייקון + לשנות תשובות
קל,א׳–ב׳,easy-unstable-tower,מגדל לא יציב,📐,בחרו 2 חפצים שלא מתאימים למגדל יציב,🧾 בחרו 2 חפצים,2,צמח + מים,"validItems רחב (2 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, שמש, עץ",כן,לא,כן,חלקית,לא,כן,לשנות ניסוח + לשנות כותרת + לשנות תשובות
קל,א׳–ב׳,easy-warm-metal-sun,שמש מחממת מתכת,🌡️,בחרו 2 חפצים לניסוי חום עדין,🧾 בחרו 2 חפצים,2,שמש + מסמר,"validItems רחב (2 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, כפית מתכת, פחית, צמח, מים, עץ",כן,לא,כן,לא (כותרת מזכירה שמש ושמש בתשובה),"כן (כפית מתכת, פחית)",כן,לשנות ניסוח + לשנות כותרת + לשנות תשובות + לבדוק תשובות חלופיות
קל,א׳–ב׳,easy-warm-water,המיסו את הקרח,🧊,בחרו 2 דברים שיעזרו לקרח להימס,🧾 בחרו 2 חפצים,2,שמש + מים,"validItems רחב (2 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, עץ",לא,לא,לא,חלקית (שואל על קרח אבל אין קרח במדף),לא,כן,לשנות תשובות
קל,א׳–ב׳,easy-water-fit,בחרו חפצים שמתאימים למים,💧,בחרו 2 חפצים לניסוי עם מים,🧾 בחרו 2 חפצים,2,מים + עץ + צמח + פחית,"validItems רחב (4 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, שמש",כן,כן,כן,לא (כותרת מזכירה מים ומים בתשובה),לא,כן,לשנות ניסוח + לשנות כותרת + לשנות אייקון + לשנות תשובות
קל,א׳–ב׳,easy-water-the-plant,השקיית צמח,💧,בחרו 2 דברים להשקיית הצמח,🧾 בחרו 2 חפצים,2,צמח + מים,"validItems רחב (2 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, שמש, עץ",כן,כן,כן,חלקית,לא,כן,לשנות ניסוח + לשנות כותרת + לשנות אייקון + לשנות תשובות
קל,א׳–ב׳,easy-wind-light,רוח מזיזה קל,💨,בחרו 2 חפצים קלים שהרוח עלולה להזיז,🧾 בחרו 2 חפצים,2,צמח + עץ,"validItems רחב (2 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, מים, שמש",לא,לא,לא,כן,לא,כן,להשאיר
קל,א׳–ב׳,easy-wood-float-test,עץ על המים,🪵,בחרו 2 חפצים לניסוי עם עץ ומים,🧾 בחרו 2 חפצים,2,עץ + מים,"validItems רחב (2 מותרים, בוחרים 2)","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, מים, שמש, עץ","אדום, צהוב, כחול, מגנט, מסמר, כפית מתכת, פחית, צמח, שמש",כן,כן,כן,לא (כותרת מזכירה מים ומים בתשובה),לא,כן,לשנות ניסוח + לשנות כותרת + לשנות אייקון + לשנות תשובות
בינוני,ג׳–ד׳,medium-battery-bulb-pair,הדליקו נורה,💡,בחרו 3 חפצים שיסגרו מעגל וידליקו נורה,🧾 בחרו 3 חפצים,3,סוללה + חוט + נורה,exactMatch (3 חובה),"סוללה, נורה, חוט, מגנט, מסמר, צמח, מים, שמש, קרח, קערה","מגנט, מסמר, צמח, מים, שמש, קרח, קערה",כן,כן,כן,חלקית,לא,כן,לשנות ניסוח + לשנות כותרת + לשנות אייקון + לשנות תשובות
בינוני,ג׳–ד׳,medium-bowl-water-two,קערה עם מים,🥣,בחרו 2 חפצים לניסוי בקערה,🧾 בחרו 2 חפצים,2,קערה + מים + קרח,"validItems רחב (3 מותרים, בוחרים 2)","סוללה, נורה, חוט, מגנט, מסמר, צמח, מים, שמש, קרח, קערה","סוללה, נורה, חוט, מגנט, מסמר, צמח, שמש",כן,כן,כן,לא (כותרת מזכירה מים ומים בתשובה),לא,כן,לשנות ניסוח + לשנות כותרת + לשנות אייקון + לשנות תשובות
בינוני,ג׳–ד׳,medium-bulb-needs-circuit,נורה צריכה מעגל,💡,בחרו 2 חפצים שהנורה לא נדלקת בלעדיהם,🧾 בחרו 2 חפצים,2,סוללה + חוט,exactMatch (2 חובה),"סוללה, נורה, חוט, מגנט, מסמר, צמח, מים, שמש, קרח, קערה","נורה, מגנט, מסמר, צמח, מים, שמש, קרח, קערה",לא,לא,לא,כן,כן (נורה),כן,לבדוק תשובות חלופיות
בינוני,ג׳–ד׳,medium-circuit-three,מעגל עם נורה,💡,בחרו 3 חפצים להדלקת נורה,🧾 בחרו 3 חפצים,3,סוללה + נורה + חוט,exactMatch (3 חובה),"סוללה, נורה, חוט, מגנט, מסמר, צמח, מים, שמש, קרח, קערה","מגנט, מסמר, צמח, מים, שמש, קרח, קערה",כן,כן,כן,חלקית,לא,כן,לשנות ניסוח + לשנות כותרת + לשנות אייקון + לשנות תשובות
בינוני,ג׳–ד׳,medium-clear-shadow,צרו צל ברור,🌓,בחרו 3 חפצים שייצרו צל,🧾 בחרו 3 חפצים,3,שמש + צמח + קערה,exactMatch (3 חובה),"סוללה, נורה, חוט, מגנט, מסמר, צמח, מים, שמש, קרח, קערה","סוללה, נורה, חוט, מגנט, מסמר, מים, קרח",לא,לא,לא,כן,לא,כן,להשאיר
בינוני,ג׳–ד׳,medium-dark-shadow,צל כהה,🌑,בחרו 3 חפצים לצל כהה וברור,🧾 בחרו 3 חפצים,3,שמש + צמח + קערה,exactMatch (3 חובה),"סוללה, נורה, חוט, מגנט, מסמר, צמח, מים, שמש, קרח, קערה","סוללה, נורה, חוט, מגנט, מסמר, מים, קרח",לא,לא,לא,כן,לא,כן,להשאיר
בינוני,ג׳–ד׳,medium-filter-bowl,סינון בקערה,🔍,בחרו 3 חפצים לסינון לכלוך גדול,🧾 בחרו 3 חפצים,3,קערה + מים + מסמר,exactMatch (3 חובה),"סוללה, נורה, חוט, מגנט, מסמר, צמח, מים, שמש, קרח, קערה","סוללה, נורה, חוט, מגנט, צמח, שמש, קרח",כן,לא,לא,חלקית,לא,כן,לשנות כותרת + לשנות תשובות
בינוני,ג׳–ד׳,medium-float-two,מה יצוף במים?,💧,בחרו 2 חפצים לבדיקת ציפה,🧾 בחרו 2 חפצים,2,מים + קרח,"validItems רחב (2 מותרים, בוחרים 2)","סוללה, נורה, חוט, מגנט, מסמר, צמח, מים, שמש, קרח, קערה","סוללה, נורה, חוט, מגנט, מסמר, צמח, שמש, קערה",כן,כן,לא,לא (כותרת מזכירה מים ומים בתשובה),לא,כן,לשנות ניסוח + לשנות כותרת + לשנות אייקון + לשנות תשובות
בינוני,ג׳–ד׳,medium-ice-bowl-three,קרח בקערה,🧊,בחרו 3 חפצים להמסת קרח בקערה,🧾 בחרו 3 חפצים,3,קרח + קערה + שמש,exactMatch (3 חובה),"סוללה, נורה, חוט, מגנט, מסמר, צמח, מים, שמש, קרח, קערה","סוללה, נורה, חוט, מגנט, מסמר, צמח, מים",כן,כן,כן,חלקית,לא,כן,לשנות ניסוח + לשנות כותרת + לשנות אייקון + לשנות תשובות
בינוני,ג׳–ד׳,medium-ice-floats,קרח צף,🧊,בחרו 2 חפצים לבדיקת ציפת קרח,🧾 בחרו 2 חפצים,2,קרח + מים + קערה,"validItems רחב (3 מותרים, בוחרים 2)","סוללה, נורה, חוט, מגנט, מסמר, צמח, מים, שמש, קרח, קערה","סוללה, נורה, חוט, מגנט, מסמר, צמח, שמש",כן,כן,כן,חלקית,לא,כן,לשנות ניסוח + לשנות כותרת + לשנות אייקון + לשנות תשובות
בינוני,ג׳–ד׳,medium-ice-melt-two,המסת קרח,🧊,בחרו 2 חפצים להמסת קרח,🧾 בחרו 2 חפצים,2,קרח + שמש + קערה,"validItems רחב (3 מותרים, בוחרים 2)","סוללה, נורה, חוט, מגנט, מסמר, צמח, מים, שמש, קרח, קערה","סוללה, נורה, חוט, מגנט, מסמר, צמח, מים",כן,כן,כן,חלקית,לא,כן,לשנות ניסוח + לשנות כותרת + לשנות אייקון + לשנות תשובות
