file,old,new,reason
hebrew-g4/pages/page-173.txt,"איזו שפה מתאימה — ""הספרנית אמרה בחיוך"" או ""לפי נתונים נשאלו מאה ספרים""?","איזו שפה מתאימה — ""הספרנית אמרה בחיוך"" או ""לפי הנתונים נקראו מאה ספרים""?",תיקון משפט לא הגיוני
hebrew-g4/pages/page-174.txt,"""לפי נתונים נשאלו מאה ספרים"" — עובדות ומספרים, מתאים לדיווח.","""לפי הנתונים נקראו מאה ספרים"" — עובדות ומספרים, מתאים לדיווח.",תיקון משפט לא הגיוני
hebrew-g5/pages/page-137.txt,"איזו מילה מתאימה — רצינו לצאת, ___ ירד גשם?","איזו מילה מתאימה — רצינו לצאת, אבל ירד גשם?",הסרת קו תחתון ותיקון קשר לוגי
hebrew-g5/pages/page-137.txt,גשם מונע יציאה — סיבה תוצאה.,גשם מנע את היציאה — יש ניגוד למה שרצינו.,תיקון הסבר
hebrew-g5/pages/page-137.txt,לכן או לעומת זאת? כאן ניגוד למה שרצינו.,"המילה ""אבל"" מתאימה כאן, כי היא מציגה ניגוד.",תיקון בחירה
hebrew-g5/pages/page-137.txt,לכן — בגלל הגשם לא יצאנו. (או: אבל — גם טוב),"אפשר לומר גם: ירד גשם, לכן לא יצאנו. זה משפט אחר.",הפרדה בין לכן לבין אבל
hebrew-g5/pages/page-137.txt,לכן / אבל — קשר סיבה.,אבל — קשר של ניגוד.,תיקון מושג והסרת slash
hebrew-g5/pages/page-179.txt,זו טיעון.,זה טיעון.,תיקון זכר/נקבה
hebrew-g6/pages/page-006.txt,"יש דמות — רועי — ויש אירוע (קרא, הסכים, החליט). → סממן של סיפור.","יש דמות — רועי — ויש אירוע: קרא, הסכים, החליט. זה סממן של סיפור.",הסרת חץ ושיפור הקראה
hebrew-g6/pages/page-006.txt,"יש גם טענה: ""מיחזור חוסך משאבים"". → סממן של דעה.","יש גם טענה: ""מיחזור חוסך משאבים"". זה סממן של דעה.",הסרת חץ ושיפור הקראה
hebrew-g6/pages/page-006.txt,זה מזג בין סיפור קצר ודעה — לא מידע יבש בלבד. קטע מידע יבש היה כולל רק עובדות בלי דמות.,זה שילוב של סיפור קצר ודעה — לא מידע יבש בלבד. קטע מידע יבש היה כולל רק עובדות בלי דמות.,תיקון מילה שגויה
hebrew-g6/pages/page-045.txt,"""הכיתה טיפלה בגינה כל השנה.",הכיתה טיפלה בגינה כל השנה.,תיקון גרשיים לא סגורים
hebrew-g6/pages/page-045.txt,"הם שתלו עגבניות, עישבו עשבים והשקו בימים חמים.","הם שתלו עגבניות, ניכשו עשבים והשקו בימים חמים.",תיקון ניסוח
hebrew-g6/pages/page-061.txt,"""הפרויקט בגינה הצליח מעבר לציפיות.",הפרויקט בגינה הצליח מעבר לציפיות.,תיקון גרשיים לא סגורים
hebrew-g6/pages/page-061.txt,"המורה חייכה — ""זו רק ההתחלה"".","המורה חייכה ואמרה: ""זו רק ההתחלה.""",תיקון ציטוט
hebrew-g6/pages/page-062.txt,"""זה רק ההתחלה"" — ציטוט עם תקווה ושמחה, טון מעודד.","""זו רק ההתחלה"" — ציטוט עם תקווה ושמחה, טון מעודד.",תיקון זכר/נקבה
hebrew-g6/pages/page-181.txt,"טענה — ""אני חושב שיעורי בית ארוכים מדי ולחצים מאוד"".","טענה — ""אני חושב ששיעורי הבית ארוכים מדי ומלחיצים מאוד"".",תיקון ניסוח
hebrew-g6/pages/page-181.txt,"נימוק 1 — ""תלמידים לומדים שעות ביום הספר — מגיעים עייפים הביתה"".","נימוק 1 — ""תלמידים לומדים שעות בבית הספר — ומגיעים עייפים הביתה"".",תיקון שגיאת כתיב
hebrew-g6/pages/page-181.txt,תשובה לדוגמה: טענה — שיעורי בית ארוכים מדי. נימוקים — עייפות ובריאות. סיום — קצר יעיל יותר.,תשובה לדוגמה: טענה — שיעורי הבית ארוכים מדי. נימוקים — עייפות ובריאות. סיום — שיעורי בית קצרים יעילים יותר.,שיפור סיכום
hebrew-g2/pages/page-020.txt,"סימן שאלה → קוראים עם קול עולה, כמו שאלה אמיתית. לא כמו הודעה שטוחה.","סימן שאלה — קוראים עם קול עולה, כמו שאלה אמיתית. לא כמו הודעה שטוחה.",הסרת חץ
hebrew-g2/pages/page-034.txt,שם עצם = מי או מה? → ספר (דבר).,שם עצם = מי או מה? למשל: ספר (דבר).,הסרת חץ
hebrew-g2/pages/page-034.txt,"פועל = מה קורה? → מונח (פעולה, מצב).",פועל = מה קורה? למשל: מונח (פעולה או מצב).,הסרת חץ
hebrew-g2/pages/page-048.txt,"ילדות — הרבה ילדות, לא ילדה אחת → רבים.","ילדות — הרבה ילדות, לא ילדה אחת — לכן זו צורת רבים.",הסרת חץ
hebrew-g2/pages/page-062.txt,עיקר = מי עשה מה? → אמא אפתה עוגה.,עיקר = מי עשה מה? למשל: אמא אפתה עוגה.,הסרת חץ
hebrew-g2/pages/page-158.txt,תודה → תגובה נחמדה.,תודה — זו תגובה נחמדה.,הסרת חץ
hebrew-g2/pages/page-160.txt,שמענו תודה → מחפשים תגובה נחמדה ומתאימה.,שמענו תודה — לכן מחפשים תגובה נחמדה ומתאימה.,הסרת חץ
hebrew-g3/pages/page-216.txt,הסדר הנכון: בבקשה → עזרה → תודה.,"הסדר הנכון: קודם בקשה, אחר כך קבלת עזרה, ובסוף תודה.",הסרת חץ
hebrew-g5/pages/page-034.txt,"דנה — הרימה יד, אוהבת טבע → רוצה טיול.","דנה — הרימה יד ואוהבת טבע, לכן היא רוצה טיול.",הסרת חץ
hebrew-g5/pages/page-034.txt,יוסי — מעדיף יום שקט בספרייה → לא רוצה טיול.,"יוסי — מעדיף יום שקט בספרייה, לכן הוא לא רוצה טיול.",הסרת חץ
hebrew-g5/pages/page-076.txt,הסדר: הסבר → הגעה ליער → מציאת שביל.,"הסדר: הסבר, הגעה ליער, ואז מציאת שביל.",הסרת חץ
hebrew-g5/pages/page-167.txt,"מכתב רשמי → ""בכבוד רב"".","במכתב רשמי מתאים לכתוב: ""בכבוד רב"".",הסרת חץ
hebrew-g6/pages/page-069.txt,→ היא = המורה.,היא = המורה.,הסרת חץ
hebrew-g6/pages/page-069.txt,→ הם = התלמידים.,הם = התלמידים.,הסרת חץ
hebrew-g6/pages/page-083.txt,"הנושא ""הכיתה"" (יחיד נקבה) ↔ הפועל ""מציגה"" (יחיד נקבה) — התאמה מושלמת.","הנושא ""הכיתה"" הוא יחיד נקבה, וגם הפועל ""מציגה"" הוא יחיד נקבה — התאמה מושלמת.",הסרת סימן דו־כיווני
hebrew-g6/pages/page-086.txt,ילדים → משחקים.,ילדים — משחקים.,הסרת חץ
hebrew-g6/pages/page-086.txt,ספר → נפל.,ספר — נפל.,הסרת חץ
hebrew-g6/pages/page-087.txt,קבוצה (יחיד) → נוסעת.,קבוצה היא יחיד — לכן הפועל הוא נוסעת.,הסרת חץ
hebrew-g6/pages/page-101.txt,"מתוקן: ""הכלבים רצים בגינה"" — כלבים (רבים) → רצים.","מתוקן: ""הכלבים רצים בגינה"" — כלבים הם רבים, ולכן הפועל הוא רצים.",הסרת חץ
hebrew-g6/pages/page-107.txt,"""הילדים אוכלים"" — ילדים → אוכלים.","""הילדים אוכלים"" — ילדים הם רבים, ולכן הפועל הוא אוכלים.",הסרת חץ
hebrew-g6/pages/page-107.txt,"""הספרים על השולחן"" — ספרים → ""נמצאים"", לא ""נמצא"".","""הספרים על השולחן"" — ספרים הם רבים, ולכן אומרים ""נמצאים"", לא ""נמצא"".",הסרת חץ
hebrew-g6/pages/page-108.txt,"שגוי: ""התלמידות כותב עבודה"" — תלמידות (רבים) → כותבות.","שגוי: ""התלמידות כותב עבודה"" — תלמידות הן רבות, ולכן הפועל הוא כותבות.",הסרת חץ
hebrew-g6/pages/page-111.txt,תלמידים → משחקים — מתאים!,תלמידים — משחקים. זה מתאים!,הסרת חץ
hebrew-g6/pages/page-115.txt,"""הספרים על המדף נמצאים שם"" — ספרים → נמצאים.","""הספרים על המדף נמצאים שם"" — ספרים הם רבים, ולכן אומרים נמצאים.",הסרת חץ
hebrew-g6/pages/page-115.txt,"""המורים מחכים בכיתה"" — מורים → מחכים.","""המורים מחכים בכיתה"" — מורים הם רבים, ולכן אומרים מחכים.",הסרת חץ
hebrew-g6/pages/page-136.txt,כלבים (רבים) → רצים.,"כלבים הם רבים, ולכן אומרים רצים.",הסרת חץ
hebrew-g1/pages/page-178.txt,קָם / קָמָה — קמתי.,קָם או קָמָה — קמתי.,הסרת slash
hebrew-g2/pages/page-142.txt,"משפט 1 — מה זה (גדול/קטן, צבע)","משפט 1 — מה זה: גדול או קטן, ומה הצבע.",הסרת slash ושיפור הקראה
hebrew-g2/pages/page-151.txt,בוקר טוב / שלום.,אפשר לומר: בוקר טוב או שלום.,הסרת slash
hebrew-g4/pages/page-075.txt,איזו מילה מתאימה — יבש / חלק / חם?,"איזו מילה מתאימה — יבש, חלק או חם?",הסרת slash
hebrew-g4/pages/page-086.txt,"שימו לב לאותיות דומות — כ/ק, ת/ט, מ/ם בסוף מילה.","שימו לב לאותיות דומות — כ וק, ת וט, מ רגילה ומם סופית.",הסרת slash
hebrew-g4/pages/page-101.txt,פועל מתאים לכל זמן — פותחת / פתחה / תפתח.,"פועל מתאים לכל זמן — פותחת, פתחה או תפתח.",הסרת slash
hebrew-g4/pages/page-110.txt,איזו מילה פועל ואיזו שם — מתארת / תיאור?,איזו מילה היא פועל ואיזו מילה היא שם — מתארת או תיאור?,הסרת slash
hebrew-g4/pages/page-111.txt,מתארת / תיאור — פועל או שם?,מתארת או תיאור — פועל או שם?,הסרת slash
hebrew-g4/pages/page-117.txt,(יושב / עומד על),בחרו: יושב או עומד על.,הסרת slash
hebrew-g4/pages/page-135.txt,"שמח / עליז / מאושר — קרוב, אבל לא תמיד אותו טון.","שמח, עליז ומאושר — מילים קרובות, אבל לא תמיד באותו טון.",הסרת slash
hebrew-g4/pages/page-137.txt,(מדויק / יפה / גדול),"בחרו: מדויק, יפה או גדול.",הסרת slash
hebrew-g4/pages/page-145.txt,(שקט / נוח / רגוע מול סוער),"בחרו: שקט, נוח, או רגוע מול סוער.",הסרת slash
hebrew-g4/pages/page-151.txt,התלמידים ___ את הספר — קראו בקול / טרפו / שכחו.,"התלמידים — איזו מילה מתאימה: קראו בקול, טרפו או שכחו?",הסרת slash וקו תחתון
hebrew-g4/pages/page-152.txt,איזו מילה מתאימה — רשמי / מצחיק / ישן?,"איזו מילה מתאימה — רשמי, מצחיק או ישן?",הסרת slash
hebrew-g4/pages/page-159.txt,איזו מילה מעולם הלימוד מתאימה — סיכום / משחק?,איזו מילה מעולם הלימוד מתאימה — סיכום או משחק?,הסרת slash
hebrew-g5/pages/page-110.txt,(רץ / רצים / רצה),"בחרו: רץ, רצים או רצה.",הסרת slash
hebrew-g5/pages/page-117.txt,אתמול ___ (למד / לומד) דני שיעור חדש.,אתמול דני — איזו צורה מתאימה: למד או לומד?,הסרת slash וקו תחתון
hebrew-g5/pages/page-117.txt,היום הוא ___ (סוקר / סקר) את המחברת.,היום הוא — איזו צורה מתאימה: סוקר או סקר?,הסרת slash וקו תחתון
hebrew-g6/pages/page-013.txt,"גוף — אספו מידע, כתבו על זרימה/דגים/זיהום.","גוף — אספו מידע, כתבו על זרימה, דגים וזיהום.",הסרת slash
hebrew-g6/pages/page-065.txt,הוא / היא — אדם או דבר שהוזכר.,הוא או היא — אדם או דבר שהוזכר.,הסרת slash
hebrew-g6/pages/page-065.txt,זה / זו — דבר קרוב.,זה או זו — דבר קרוב.,הסרת slash
hebrew-g6/pages/page-079.txt,"האם הם מתאימים — יחיד/רבים, זכר/נקבה?","האם הם מתאימים — יחיד או רבים, זכר או נקבה?",הסרת slash
hebrew-g6/pages/page-118.txt,כן — בכל שלושת המשפטים הנושא ברבים והפועל/שם תואר ברבים. ההתאמה נכונה.,"כן — בכל שלושת המשפטים הנושא ברבים, וגם הפועל או שם התואר ברבים. ההתאמה נכונה.",הסרת slash
hebrew-g6/pages/page-172.txt,שלושה — כלי כתיבה/לימוד.,שלושה — כלי כתיבה ולימוד.,הסרת slash
hebrew-g1/pages/page-179.txt,בַּבֹּקֶר דָּנִי ___ — קָם או יָשֵׁן?,בַּבֹּקֶר דָּנִי — איזו מילה מתאימה: קָם או יָשֵׁן?,הסרת קו תחתון לשמע
hebrew-g1/pages/page-180.txt,בַּבֹּקֶר לִיאוֹר ___ — קָם אוֹ יָשֵׁן?,בַּבֹּקֶר לִיאוֹר — איזו מילה מתאימה: קָם אוֹ יָשֵׁן?,הסרת קו תחתון לשמע
hebrew-g1/pages/page-181.txt,בַּבֹּקֶר לִיאוֹר ___ — קָם אוֹ יָשֵׁן?,בַּבֹּקֶר לִיאוֹר — איזו מילה מתאימה: קָם אוֹ יָשֵׁן?,הסרת קו תחתון לשמע
hebrew-g2/pages/page-054.txt,הילדות ___ בגינה.,הילדות — איזו מילה משלימה את המשפט?,הסרת קו תחתון לשמע
hebrew-g2/pages/page-055.txt,הילדות ___ בגינה — שרה או שרות?,הילדות — איזו מילה מתאימה: שרה או שרות?,הסרת קו תחתון לשמע
hebrew-g2/pages/page-095.txt,יוסי היה עייף ו___ מיד.,יוסי היה עייף — איזו מילה מתאימה: ישן או שר?,הסרת קו תחתון לשמע
hebrew-g2/pages/page-101.txt,בבוקר נכנסתי ל___ וישבתי ליד החבר.,בבוקר נכנסתי למקום שבו יושבים ליד חברים.,הסרת קו תחתון לשמע
hebrew-g2/pages/page-102.txt,ה___ כתבה על הלוח.,מי כתבה על הלוח?,הסרת קו תחתון לשמע
hebrew-g2/pages/page-103.txt,ה___ לימדה אותנו לקרוא.,מי לימדה אותנו לקרוא?,הסרת קו תחתון לשמע
hebrew-g2/pages/page-104.txt,ה___ לימדה אותנו לקרוא — מורה או עץ?,מי לימדה אותנו לקרוא — מורה או עץ?,הסרת קו תחתון לשמע
hebrew-g3/pages/page-065.txt,אחרי הבחינה היה ___ — מחפשים רגש שמתאים.,אחרי הבחינה היה רגש מסוים — מחפשים רגש שמתאים.,הסרת קו תחתון לשמע
hebrew-g3/pages/page-066.txt,לאה קיבלה ציון טוב ו___.,לאה קיבלה ציון טוב — מה הרגישה או עשתה?,הסרת קו תחתון לשמע
hebrew-g3/pages/page-068.txt,"אחרי המשחק ניצחנו, כולנו ___ וחייכנו.","אחרי המשחק ניצחנו, כולנו — איזו מילה חסרה לפני ""וחייכנו""?",הסרת קו תחתון לשמע
hebrew-g3/pages/page-108.txt,דני ___ ספר בכל ערב.,"דני — איזו מילה מתאימה לפני ""ספר בכל ערב""?",הסרת קו תחתון לשמע
hebrew-g3/pages/page-110.txt,שירה ___ מול החלון.,"שירה — איזו מילה מתאימה לפני ""מול החלון""?",הסרת קו תחתון לשמע
hebrew-g3/pages/page-124.txt,המורים ___ את השיעור.,"המורים — איזו מילה מתאימה לפני ""את השיעור""?",הסרת קו תחתון לשמע
hebrew-g3/pages/page-131.txt,ישבנו ___ כיסאות בגינה.,"ישבנו — איזו השלמה מתאימה לפני ""כיסאות בגינה""?",הסרת קו תחתון לשמע
hebrew-g3/pages/page-187.txt,סיימתי שיעורים. ___ יצאתי לשחק.,"סיימתי שיעורים. איזו מילה מתאימה לפני ""יצאתי לשחק""?",הסרת קו תחתון לשמע
hebrew-g3/pages/page-187.txt,איזה מילה לסדר — ואז או לכן?,איזו מילה מתאימה לסדר — ואז או לכן?,תיקון עברית
hebrew-g3/pages/page-188.txt,סיימתי שיעורים. ___ יצאתי לשחק.,"סיימתי שיעורים. איזו מילה מתאימה לפני ""יצאתי לשחק""?",הסרת קו תחתון לשמע
hebrew-g3/pages/page-199.txt,האם אפשר ___ לצאת לחבר?,"האם אפשר, בבקשה, לצאת לחבר?",הסרת קו תחתון לשמע
hebrew-g3/pages/page-201.txt,"תודה על העזרה, ועוד פעם ___.","תודה על העזרה, ועוד פעם — איזו מילה מתאימה?",הסרת קו תחתון לשמע
hebrew-g3/pages/page-208.txt,דעתי ___ כי ___.,"התחילו במילים: ""דעתי היא..."" והוסיפו ""כי..."".",הסרת קו תחתון לשמע
hebrew-g3/pages/page-208.txt,מה שייכים לשיח — דעתי וכי?,מה שייך לשיח — דעה וסיבה?,תיקון עברית
hebrew-g4/pages/page-075.txt,"אחרי הגשם הגדול, השביל בפארק היה ___ ומסוכן לריצה.","אחרי הגשם הגדול, השביל בפארק היה — איזו מילה מתאימה?",הסרת קו תחתון לשמע
hebrew-g4/pages/page-096.txt,בספרייה חמש ילדות ___ ספרים על טבע.,בספרייה חמש ילדות — איזו צורה מתאימה: קורא או קוראות?,הסרת קו תחתון לשמע
hebrew-g4/pages/page-096.txt,(בחרו:,בחרו:,תיקון סוגר שבור
hebrew-g4/pages/page-102.txt,התלמידים ___ (לצייר) שלטים לשמירת הים.,התלמידים — איזו צורה מתאימה מהשורש לצייר?,הסרת קו תחתון לשמע
hebrew-g4/pages/page-102.txt,אתמול ___ (לסיים) את העבודה.,אתמול — איזו צורה מתאימה מהשורש לסיים?,הסרת קו תחתון לשמע
hebrew-g4/pages/page-103.txt,בשבוע הבא הכיתה ___ (לבקר) במוזיאון.,בשבוע הבא הכיתה — איזו צורה מתאימה מהשורש לבקר?,הסרת קו תחתון לשמע
hebrew-g4/pages/page-103.txt,בשנה שעברה הם ___ (לבקר) שם פעמיים.,בשנה שעברה הם — איזו צורה מתאימה מהשורש לבקר?,הסרת קו תחתון לשמע
hebrew-g4/pages/page-117.txt,התלמיד ___ על כיסא בפינת הקריאה.,"התלמיד — איזו מילה מתאימה לפני ""על כיסא בפינת הקריאה""?",הסרת קו תחתון לשמע
hebrew-g4/pages/page-137.txt,העיתונאית כתבה תיאור ___ של הנחל.,"העיתונאית כתבה תיאור — איזו מילה מתאימה: מדויק, יפה או גדול?",הסרת קו תחתון לשמע
hebrew-g4/pages/page-145.txt,הכתבה מתארת ים שקט בבוקר וסערה אחר הצהריים — ים ___ .,הכתבה מתארת ים שקט בבוקר וסערה אחר הצהריים — איזו מילה מתארת את הים אחר הצהריים?,הסרת קו תחתון לשמע
hebrew-g4/pages/page-150.txt,המדריך במוזיאון נתן הסבר ___ על הממיות — עם תאריכים ושמות מקומות.,המדריך במוזיאון נתן הסבר מפורט על הממיות — עם תאריכים ושמות מקומות.,הסרת קו תחתון לשמע
hebrew-g4/pages/page-152.txt,העיתונאית ביקשה ראיון ___ עם מנהל השמורה — לא סתם שיחה קצרה בלי הכנה.,"העיתונאית ביקשה ראיון — איזו מילה מתאימה: רשמי, מצחיק או ישן?",הסרת קו תחתון לשמע
hebrew-g5/pages/page-110.txt,הכלבים ___ בגינה.,הכלבים — איזו מילה מתאימה?,הסרת קו תחתון לשמע
hebrew-g5/pages/page-138.txt,"יש הרבה סוגי עצים ביער. ___, אורן ואלון.",יש הרבה סוגי עצים ביער. איזו מילה מתאימה לפני הדוגמאות: אורן ואלון?,הסרת קו תחתון לשמע
hebrew-g5/pages/page-151.txt,מה מתאים — שמר ___?,מה מתאים עם הפועל שמר?,הסרת קו תחתון לשמע
hebrew-g5/pages/page-194.txt,השלימו נימוק: ___ .,בחרו נימוק מתאים.,הסרת קו תחתון לשמע
hebrew-g6/pages/page-179.txt,טענה: _______________,טענה אפשרית: מיחזור בבית הספר חשוב.,הסרת קו תחתון לשמע
hebrew-g6/pages/page-179.txt,נימוק: _______________,נימוק נוסף: מיחזור חוסך משאבים.,הסרת קו תחתון לשמע
hebrew-g6/pages/page-180.txt,טענה: _______________,כתבו טענה ברורה.,הסרת קו תחתון לשמע
hebrew-g6/pages/page-180.txt,נימוק 1: _______________,כתבו נימוק ראשון.,הסרת קו תחתון לשמע
hebrew-g6/pages/page-180.txt,נימוק 2: _______________,כתבו נימוק שני.,הסרת קו תחתון לשמע
hebrew-g6/pages/page-200.txt,עמדה: _______________,"עמדה אפשרית: כן, כדאי.",הסרת קו תחתון לשמע
hebrew-g6/pages/page-200.txt,נימוק: _______________,נימוק אפשרי: תלמידים לומדים אחרי בית הספר.,הסרת קו תחתון לשמע
