internalTag,subjects,taxonomyIds,topicsOrSubskillsHe,evidenceSource,classifierProducer,producerActive,hasTaxonomy,parentSafeLabelHe,canPrimaryFinding,canSecondaryFinding,canFactualOnly,alwaysBlocked,consistentStrongNoTaxonomy,riskInternalTagExposure,notes
community_error,moledet-geography,MG-07,מוסדות|תפקיד מוסד,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
community_values_confusion,moledet-geography,MG-06,אוכלוסין|סיבהתוצאה,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
comparison_error,history,HI-04,דמיון והבדל|השוואה,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
concept_confusion,science|history,S-01|HI-01,סיווג|תכונה מול תהליך|יסודות|מושגים היסטוריים,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
conceptual_error,,,,,,false,false,נראה שיש בלבול ביסודי בחומר,false,false,true,false,factual_enrich_allowed_when_consistent_strong_and_gap_or_strengthen,false,
conceptual_misunderstanding,,,,,,false,false,נראה שיש בלבול ביסודי בחומר,false,false,true,false,factual_enrich_allowed_when_consistent_strong_and_gap_or_strengthen,false,
cultural_influence_confusion,history,HI-07,מורשת|תרבות ומורשת,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
culture_heritage_error,history,HI-07,מורשת|תרבות ומורשת,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
decimal_place_error,math,M-06,מקום|עיגול/השוואה,misconception_tag,math-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
denominator_only_compare,math,M-04,ייצוג|חלק כלל,misconception_tag,math-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
direction_error,moledet-geography,MG-01,מפה|סולם,distractor_family,moledet-typed-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
division_fact_error,math,M-13,חילוק|יציבות פרוצדורלית ברמת הנושא,distractor_family,,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_active_producer|no_parent_safe_hebrew|taxonomy_without_active_producer
earth_space_error,science,S-06,גרף|קריאת ציר,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
ecosystem_confusion,science,S-07,יחסים|מערכת אקולוגית ויחסים בין יצורים,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
environment_error,science,S-07,יחסים|מערכת אקולוגית ויחסים בין יצורים,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
equation_sign_error,math,M-19,משוואות|יציבות פרוצדורלית ברמת הנושא,distractor_family,math-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
evidence_claim_error,history,HI-08,ראיות|הבנת מקור היסטורי פשוט,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
experiment_design_error,science,S-02,ניסוי|משתנה מבודד,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
fact_error,math,M-03,כפל|עובדת כפל,misconception_tag,math-mcq-infer,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
fact_recall_gap,history,HI-01,יסודות|מושגים היסטוריים,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
figure_role_confusion,history,HI-05,תפקיד|דמויות ותפקידן,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
forgot_divide_by_2,geometry,G-08,שטח|בסיס×גובה÷2,misconception_tag,geometry-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
formula_error,geometry,G-08,שטח|בסיס×גובה÷2,misconception_tag,geometry-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
formula_selection_error,geometry,G-06,היקף|המרת יחידות,misconception_tag,mcq-distractor-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
fraction_compare_error,math,M-04,ייצוג|חלק כלל,misconception_tag,math-mcq-infer,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
fraction_concept_error,,,,,,false,false,ייתכן שיש בלבול ביסודי בנושא השברים,false,false,true,false,factual_enrich_allowed_when_consistent_strong_and_gap_or_strengthen,false,
fraction_operation_error,math,M-05,חיבור|המראה,misconception_tag,math-mcq-infer,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
fraction_reciprocal_error,math,M-05,חיבור|המראה,misconception_tag,,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_active_producer|no_parent_safe_hebrew|taxonomy_without_active_producer
fraction_simplification_error,math,M-05,חיבור|המראה,misconception_tag,,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_active_producer|no_parent_safe_hebrew|taxonomy_without_active_producer
gender_number_agreement,hebrew,H-02,התאמה|מגדר/מספר,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
geography_feature_error,moledet-geography,MG-05,אקלים|מפת אקלים,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
governance_error,history,HI-06,מוסדות|שלטון ומוסדות,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
grammar_agreement_error,hebrew,H-02,התאמה|מגדר/מספר,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
grammar_error,english,E-02,זמנים|סממן זמן,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
guessing_or_unstable,,,,,,false,false,התשובות נראות פחות יציבות ולפעמים מנומסות,false,false,true,false,factual_enrich_allowed_when_consistent_strong_and_gap_or_strengthen,false,
habitat_confusion,science,S-08,היגיון|מקור לטענה,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
height_base_confusion,geometry,G-03,מקבילית|גובה,misconception_tag,geometry-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
heritage_confusion,moledet-geography,MG-04,ציר|סדר אירועים,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
historical_concept_error,history,HI-01,יסודות|מושגים היסטוריים,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
historical_connection_error,history,HI-09,עבר והווה|קשר בין עבר להווה,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
historical_inference_error,history,HI-03,סיבה ותוצאה,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
homeland_identity_error,moledet-geography,MG-04,ציר|סדר אירועים,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
homograph_error,hebrew,H-05,הקשר|הומופון,distractor_family,hebrew-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
homophone_confusion,hebrew,H-05,הקשר|הומופון,distractor_family,hebrew-typed-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
inference_error,hebrew,H-04,עובדה|חיפוש,distractor_family,question-bank-static,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
inference_gap,,,,,,false,false,ייתכן שהקושי קשור להסקת מסקנות מהמידע,false,false,true,false,factual_enrich_allowed_when_consistent_strong_and_gap_or_strengthen,false,
institution_confusion,history,HI-06,מוסדות|שלטון ומוסדות,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
instruction_misread,,,,,,false,false,חלק מהטעויות נראות קשורות להבנת ההוראה,false,false,true,false,factual_enrich_allowed_when_consistent_strong_and_gap_or_strengthen,false,
inverse_operation_error,math,M-10|M-19,יחס|הופכיות|משוואות|יציבות פרוצדורלית ברמת הנושא,distractor_family,math-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
landform_confusion,moledet-geography,MG-05,אקלים|מפת אקלים,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
legend_confusion,moledet-geography,MG-08,נוף|סימבולים,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
listening_comprehension_error,,,,,question-bank-static,false,false,,false,false,false,true,stays_generic_topic_finding_label_unknown,true,producer_without_taxonomy_rule|no_parent_safe_hebrew
location_error,moledet-geography,MG-02,כיוון|צפון מוחלט,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
main_idea_error,hebrew,H-04,עובדה|חיפוש,distractor_family,question-bank-static,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
map_reading_error,moledet-geography,MG-01,מפה|סולם,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
map_symbol_error,moledet-geography,MG-08,נוף|סימבולים,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
material_change_error,science,S-05,יחידות|המרת יחידות,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
material_property_error,science,S-04,מצבי צבירה|שימור מסה,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
math_compare_relation_error,math,M-11,השוואת מספרים|יציבות פרוצדורלית ברמת הנושא,distractor_family,math-mcq-infer,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
math_decimal_place_shift_error,math,M-15,מספרים עשרוניים|יציבות פרוצדורלית ברמת הנושא,distractor_family,math-mcq-infer,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
math_divisibility_classification_error,math,M-21,סימני התחלקות|יציבות פרוצדורלית ברמת הנושא,distractor_family,math-mcq-infer,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
math_division_operation_error,math,M-13,חילוק|יציבות פרוצדורלית ברמת הנושא,distractor_family,math-mcq-infer,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
math_equation_inverse_error,math,M-19,משוואות|יציבות פרוצדורלית ברמת הנושא,distractor_family,math-mcq-infer,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
math_estimation_strategy_error,math,M-25,אומדן|יציבות פרוצדורלית ברמת הנושא,distractor_family,math-mcq-infer,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
math_gcd_smaller_input_error,math,M-26,גורמים וכפולות|יציבות פרוצדורלית ברמת הנושא,distractor_family,math-mcq-infer,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
math_identity_property_error,math,M-24,תכונות אפס ואחד|יציבות פרוצדורלית ברמת הנושא,distractor_family,math-mcq-infer,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
math_operation_order_error,math,M-20,סדר פעולות|יציבות פרוצדורלית ברמת הנושא,distractor_family,math-mcq-infer,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
math_percentage_base_error,math,M-17,אחוזים|יציבות פרוצדורלית ברמת הנושא,distractor_family,math-mcq-infer,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
math_power_as_multiplication_error,math,M-23,חזקות|יציבות פרוצדורלית ברמת הנושא,distractor_family,math-mcq-infer,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
math_prime_composite_classification_error,math,M-22,ראשוניים ופריקים|יציבות פרוצדורלית ברמת הנושא,distractor_family,math-mcq-infer,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
math_ratio_order_error,math,M-18,יחס|יציבות פרוצדורלית ברמת הנושא,distractor_family,math-mcq-infer,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
math_remainder_error,math,M-14,חילוק עם שארית|יציבות פרוצדורלית ברמת הנושא,distractor_family,math-mcq-infer,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
math_scale_operation_error,math,M-12,קנה מידה|יציבות פרוצדורלית ברמת הנושא,distractor_family,math-mcq-infer,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
math_sequence_step_error,math,M-16,סדרות|יציבות פרוצדורלית ברמת הנושא,distractor_family,math-mcq-infer,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
meaning_error,hebrew,H-01,הקשר|נרדפת,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
mirror_error,math,M-05,חיבור|המראה,misconception_tag,math-mcq-infer,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
mul_instead_of_add,math,M-27,חיבור|בחירת פעולה,misconception_tag,math-mcq-infer,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
mul_instead_of_div,math,M-10|M-13,יחס|הופכיות|חילוק|יציבות פרוצדורלית ברמת הנושא,distractor_family,math-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
multi_step_failure,math,M-08,מודל|רבשלבי,misconception_tag,math-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
multiplication_fact_error,math,M-03,כפל|עובדת כפל,misconception_tag,math-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
number_sense_error,math,M-01,מבנה|פירוק 10+1,misconception_tag,math-mcq-infer,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
numerator_only_compare,math,M-04,ייצוג|חלק כלל,misconception_tag,math-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
numerator_only_operation,math,M-05,חיבור|המראה,misconception_tag,,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_active_producer|no_parent_safe_hebrew|taxonomy_without_active_producer
omitted_addend,math,M-08,מודל|רבשלבי,misconception_tag,math-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
omitted_step,math,M-08,מודל|רבשלבי,misconception_tag,math-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
operand_reversal,math,M-09,חיסור|השלמה לעשר,misconception_tag,math-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
operation_selection_error,,,,,,false,false,הילד לא תמיד בוחר את הפעולה המתאימה לשאלה,false,false,true,false,factual_enrich_allowed_when_consistent_strong_and_gap_or_strengthen,false,
oral_comprehension_error,hebrew,H-08,ניסוח|פורמליות,distractor_family,question-bank-static,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
organ_function_error,science,S-03,מערכות|מיקום/זרימה,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
parallel_perpendicular_confusion,geometry,G-01,מרובעים|תכונות מלבן/מקבילית,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
parallelogram_area_error,geometry,G-03,מקבילית|גובה,misconception_tag,geometry-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
partial_comparison_error,history,HI-04,דמיון והבדל|השוואה,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
past_present_link_error,history,HI-09,עבר והווה|קשר בין עבר להווה,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
percentage_base_error,math,M-17,אחוזים|יציבות פרוצדורלית ברמת הנושא,distractor_family,math-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
perimeter_area_confusion,geometry,G-06,היקף|המרת יחידות,misconception_tag,geometry-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
perimeter_formula_error,geometry,G-06,היקף|המרת יחידות,misconception_tag,geometry-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
phonics_gap,,,,,,false,false,ייתכן שהקושי קשור לקריאה ולפיענוח האותיות,false,false,true,false,factual_enrich_allowed_when_consistent_strong_and_gap_or_strengthen,false,
phonics_minimal_pair_error,english,E-08,פונמי|minimal pairs,distractor_family,english-question-generator,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
phrasal_verb_error,english,E-05,שימוש|preposition,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
physical_chemical_confusion,science,S-05,יחידות|המרת יחידות,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
place_value_error,math,M-01|M-06,מבנה|פירוק 10+1|מקום|עיגול/השוואה,misconception_tag,math-numeric-classifier,true,true,ייתכן שיש בלבול בערך המקומי של הספרות,true,true,true,false,factual_enrich_allowed_when_consistent_strong_and_gap_or_strengthen,false,
planet_confusion,science,S-06,גרף|קריאת ציר,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
preposition_error,english,E-04,התאמה|כינוי לנושא,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
preposition_phrase_error,english,E-05,שימוש|preposition,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
prerequisite_gap,,,,,,false,false,אולי חסר בסיס קטן שכדאי לחזק לפני שממשיכים,false,false,true,false,factual_enrich_allowed_when_consistent_strong_and_gap_or_strengthen,false,
procedural_error,,,,,,false,false,הילד בוחר דרך פתרון שלא מתאימה לשאלה,false,false,true,false,factual_enrich_allowed_when_consistent_strong_and_gap_or_strengthen,false,
procedure_break,,,,,,false,false,בלבול בסדר הפעולות או בשלבי הפתרון,false,false,true,false,factual_enrich_allowed_when_consistent_strong_and_gap_or_strengthen,false,
protractor_reading_error,geometry,G-02,מדידה|קריאת מד זווית,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
punctuation_error,hebrew,H-07,ניסוח|חיבור משפטים,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
pythagorean_relation_error,geometry,G-09,משפט פיתגורס|זיהוי היתר והפעלת a²+b²=c²,distractor_family,geometry-numeric-classifier,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
quadrilateral_confusion,geometry,G-01,מרובעים|תכונות מלבן/מקבילית,distractor_family,mcq-distractor-classifier,false,true,,false,false,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew|taxonomy_without_active_producer
reading_comprehension_error,hebrew,H-04,עובדה|חיפוש,distractor_family,mcq-option-evidence-tagging,true,true,,true,true,false,false,stays_generic_topic_finding_label_unknown,true,no_parent_safe_hebrew
