internalTag,producerActive,taxonomyId,labelExists,labelHe,describesObservedFact,claimsUnprovenCause,clinicalOrDidacticLanguage,fitsSubjectTopic,canPresentWithCount,status,producerStatus,aliasOf,notes
gender_number_agreement,false,H-02,false,,false,false,false,true,false,inactive,inactive,,
geography_feature_error,false,MG-05,false,,false,false,false,true,false,duplicate_alias,inactive,landform_confusion,
governance_error,false,HI-06,false,,false,false,false,true,false,inactive,inactive,,
grammar_agreement_error,true,H-02,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
grammar_error,true,H-06|E-02,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
guessing_or_unstable,false,,true,התשובות נראות פחות יציבות ולפעמים מנומסות,false,false,false,false,false,needs_rewrite,inactive,,
habitat_confusion,false,S-08,false,,false,false,false,true,false,inactive,inactive,,
height_base_confusion,true,G-03,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
heritage_confusion,false,MG-04,false,,false,false,false,true,false,duplicate_alias,inactive,homeland_identity_error,
historical_concept_error,true,HI-01,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
historical_connection_error,true,HI-09,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
historical_inference_error,false,HI-03,false,,false,false,false,true,false,inactive,inactive,,
homeland_identity_error,true,MG-04,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
homograph_error,true,H-05,false,,false,false,false,true,false,duplicate_alias,PASS,homophone_confusion,alias_of:homophone_confusion
homophone_confusion,true,H-05,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
inference_error,false,H-04,false,,false,false,false,true,false,inactive,inactive,,
inference_gap,false,,true,ייתכן שהקושי קשור להסקת מסקנות מהמידע,false,false,false,false,false,needs_rewrite,inactive,,
institution_confusion,true,HI-06,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
instruction_misread,false,,true,חלק מהטעויות נראות קשורות להבנת ההוראה,false,false,false,false,false,needs_rewrite,inactive,,
inverse_operation_error,true,M-10|M-19,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
landform_confusion,true,MG-05,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
legend_confusion,false,MG-08,false,,false,false,false,true,false,inactive,inactive,,
listening_comprehension_error,false,,false,,false,false,false,false,false,inactive,inactive,,
location_error,true,MG-02,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
main_idea_error,false,H-04,false,,false,false,false,true,false,inactive,inactive,,
map_reading_error,true,MG-01,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
map_symbol_error,true,MG-08,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
material_change_error,false,S-05,false,,false,false,false,true,false,inactive,inactive,,
material_property_error,true,S-04,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
math_compare_relation_error,true,M-11,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
math_decimal_place_shift_error,true,M-15,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
math_divisibility_classification_error,true,M-21,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
math_division_operation_error,true,M-13,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
math_equation_inverse_error,true,M-19,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
math_estimation_strategy_error,true,M-25,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
math_gcd_smaller_input_error,true,M-26,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
math_identity_property_error,true,M-24,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
math_operation_order_error,true,M-20,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
math_percentage_base_error,true,M-17,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
math_power_as_multiplication_error,true,M-23,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
math_prime_composite_classification_error,true,M-22,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
math_ratio_order_error,true,M-18,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
math_remainder_error,true,M-14,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
math_scale_operation_error,true,M-12,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
math_sequence_step_error,true,M-16,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
meaning_error,false,H-01,false,,false,false,false,true,false,inactive,inactive,,
mirror_error,true,M-05,false,,false,false,false,true,false,duplicate_alias,PASS,common_denominator_error,alias_of:common_denominator_error
mul_instead_of_add,true,M-27,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
mul_instead_of_div,true,M-10|M-13,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
multi_step_failure,true,M-08,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
multiplication_fact_error,true,M-03,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
number_sense_error,true,M-01,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
numerator_only_compare,true,M-04,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
numerator_only_operation,false,M-05,false,,false,false,false,true,false,inactive,inactive,,
omitted_addend,true,M-08,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
omitted_step,true,M-08,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
operand_reversal,true,M-09,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
operation_selection_error,false,,true,הילד לא תמיד בוחר את הפעולה המתאימה לשאלה,false,false,false,false,false,needs_rewrite,inactive,,
oral_comprehension_error,false,H-08,false,,false,false,false,true,false,inactive,inactive,,
organ_function_error,false,S-03,false,,false,false,false,true,false,inactive,inactive,,
parallel_perpendicular_confusion,false,G-01,false,,false,false,false,true,false,inactive,inactive,,
parallelogram_area_error,true,G-03,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
partial_comparison_error,false,HI-04,false,,false,false,false,true,false,inactive,inactive,,
past_present_link_error,false,HI-09,false,,false,false,false,true,false,duplicate_alias,inactive,historical_connection_error,
percentage_base_error,true,M-17,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
perimeter_area_confusion,true,G-06,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
perimeter_formula_error,true,G-06,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
phonics_gap,false,,true,ייתכן שהקושי קשור לקריאה ולפיענוח האותיות,false,false,false,false,false,needs_rewrite,inactive,,
phonics_minimal_pair_error,true,E-08,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
phrasal_verb_error,true,E-05,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
physical_chemical_confusion,true,S-04|S-05,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
place_value_error,true,M-01|M-06,true,ייתכן שיש בלבול בערך המקומי של הספרות,false,false,false,true,false,needs_rewrite,PASS,,
planet_confusion,true,S-06,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
preposition_error,true,E-04,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
preposition_phrase_error,false,E-05,false,,false,false,false,true,false,inactive,inactive,,
prerequisite_gap,false,,true,אולי חסר בסיס קטן שכדאי לחזק לפני שממשיכים,false,false,false,false,false,needs_rewrite,inactive,,
procedural_error,false,,true,הילד בוחר דרך פתרון שלא מתאימה לשאלה,false,false,false,false,false,needs_rewrite,inactive,,
procedure_break,false,,true,בלבול בסדר הפעולות או בשלבי הפתרון,false,false,false,false,false,needs_rewrite,inactive,,
protractor_reading_error,false,G-02,false,,false,false,false,true,false,inactive,inactive,,
punctuation_error,true,H-07,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
pythagorean_relation_error,true,G-09,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
quadrilateral_confusion,false,G-01,false,,false,false,false,true,false,inactive,inactive,,
reading_comprehension_error,true,H-04,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
reading_comprehension_issue,false,,true,ייתכן שהקושי קשור להבנת השאלה או הטקסט,false,false,false,false,false,needs_rewrite,inactive,,
rectangle_diagonal,true,G-01,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
recurring_weakness,false,,true,חלק מהטעויות חוזרות באותו סוג פעילות,false,false,false,false,false,needs_rewrite,inactive,,
region_confusion,false,MG-02,false,,false,false,false,true,false,inactive,inactive,,
regroup_error,true,M-02,false,,false,false,false,true,false,duplicate_alias,PASS,carry_error,alias_of:carry_error
representation_error,false,M-01,false,,false,false,false,true,false,inactive,inactive,,
reverse_direction,true,M-09,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
rights_duties_confusion,false,MG-03,false,,false,false,false,true,false,duplicate_alias,inactive,citizenship_error,
rotation_direction_error,true,G-04,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
rounding_direction_error,true,M-06,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
rounding_wrong_direction,true,M-06,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
scale_error,false,MG-01,false,,false,false,false,true,false,inactive,inactive,,
sentence_structure_error,true,H-07|E-06,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
shape_property_confusion,true,G-01,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
social_structure_confusion,false,MG-07,false,,false,false,false,true,false,inactive,inactive,,
source_comprehension_error,true,HI-08,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
speaking_expression_error,true,H-08,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
speed_driven_error,false,,true,חלק מהטעויות הופיעו בזמן עבודה מהיר,false,false,false,false,false,needs_rewrite,inactive,,
speed_pressure,false,,true,חלק מהטעויות נראות קשורות למהירות,false,false,false,false,false,needs_rewrite,inactive,,
spelling_error,true,E-07,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
spelling_pattern_error,true,H-03,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
square_perimeter_compute,true,G-06,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
state_of_matter_error,false,S-04|S-05,false,,false,false,false,true,false,duplicate_alias,inactive,physical_chemical_confusion,
strategy_gap,false,,true,הילד לא תמיד בוחר את האסטרטגיה המתאימה לשאלה,false,false,false,false,false,needs_rewrite,inactive,,
sub_instead_of_add,true,M-27,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
sub_instead_of_div,false,M-10|M-13,false,,false,false,false,true,false,inactive,inactive,,
support_dependent_success,false,,true,הצלחה בעיקר כשיש ליווי או רמזים,false,false,false,false,false,needs_rewrite,inactive,,
symmetry_axis_confusion,false,G-07,false,,false,false,false,true,false,inactive,inactive,,
symmetry_error,true,G-07,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
synonym_confusion,false,H-01,false,,false,false,false,true,false,inactive,inactive,,
tense_confusion,false,H-06|E-02,false,,false,false,false,true,false,duplicate_alias,inactive,grammar_error,
tense_error,true,E-02,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
timeline_sequence_error,true,HI-02,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
transformation_error,true,G-04,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
translation_error,true,E-03,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
triangle_angle_sum_error,true,G-02,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
triangle_area_error,true,G-08,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
unit_conversion_error,false,M-07,false,,false,false,false,true,false,inactive,inactive,,
unit_error,true,M-07|G-06,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
values_error,true,MG-06,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
variable_control_error,true,S-02,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
verb_tense_error,true,H-06,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
vocabulary_context_error,true,H-01,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
vocabulary_gap,false,,true,ייתכן שחסרות מילים או מונחים שמקשים על הפתרון,false,false,false,false,false,needs_rewrite,inactive,,
vocabulary_meaning_error,true,E-01,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
volume_formula_error,true,G-05,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
volume_perimeter_confusion,true,G-05,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
word_choice_error,false,E-01,false,,false,false,false,true,false,inactive,inactive,,
word_order_error,false,E-03|E-06,false,,false,false,false,true,false,inactive,inactive,,
word_problem_reading,false,,true,ייתכן שהקושי קשור להבנת ניסוח השאלה,false,false,false,false,false,needs_rewrite,inactive,,
writing_error,true,E-07,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
writing_pattern_error,true,H-03,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
wrong_final_step,true,M-08,false,,false,false,false,true,false,no_safe_label_possible,NO_VALID_FIXTURE,,
wrong_operation_wp,true,M-08|M-10,false,,false,false,false,true,false,no_safe_label_possible,PASS,,
wrong_unit,false,M-07|G-06,false,,false,false,false,true,false,duplicate_alias,inactive,unit_error,
