subject,grade,topic,subskill,internalTag,classifierFileFunction,tagProducedByClassifierNotInjected,producerStatus,producedVia,taxonomyId,taxonomyMinWrong,taxonomyMinOccurrenceRatio,requiredTags,parentSafeLabel,enginePrimaryLabel,exampleCorrectAnswer,exampleWrongAnswer,patternCount,totalErrors,totalQuestions,ratioOfQuestions,ratioOfErrors,sessions,days,observedPatternLevel,evidenceStrength,patternLayer,engineDecision,ADC,parentFacingText,enrichApplied,blockPatternClaim,detectedPattern
math,g4,חילוק,פעולה שגויה,mul_instead_of_div,math-numeric-classifier|taxonomy-rule-runtime-matrix POSITIVE_NUMERIC,yes,PASS,supplemental_classifier_TEP,M-10,3,0.6,mul_instead_of_div|add_instead_of_mul|sub_instead_of_div|inverse_operation_error|wrong_operation_wp,,בחירת כפל במקום חילוק,5,245,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא חילוק יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
math,g4,מספרים עשרוניים,יציבות פרוצדורלית ברמת הנושא,math_decimal_place_shift_error,math-mcq-infer|utils/math-question-generator.js,yes,PASS,REAL_RUNTIME_classifier,M-15,3,0.6,math_decimal_place_shift_error,,הזזת הנקודה העשרונית למקום שגוי,7.9,79,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא מספרים עשרוניים יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
math,g5,אחוזים,יציבות פרוצדורלית ברמת הנושא,math_percentage_base_error,math-mcq-infer|utils/math-question-generator.js,yes,PASS,REAL_RUNTIME_classifier,M-17,3,0.6,math_percentage_base_error|percentage_base_error,,"בלבול בין האחוז, השלם והחלק",55,275,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא אחוזים יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
,,,,percentage_base_error,math-numeric-classifier|lib/learning/fuzzy-tolerance-core-ops.js,no,NO_VALID_FIXTURE,,M-17,3,0.6,math_percentage_base_error|percentage_base_error,,"בלבול בין האחוז, השלם והחלק",,,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא topic יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
math,g4,משוואות,יציבות פרוצדורלית ברמת הנושא,math_equation_inverse_error,math-mcq-infer|utils/math-question-generator.js,yes,PASS,REAL_RUNTIME_classifier,M-19,3,0.6,math_equation_inverse_error|inverse_operation_error|equation_sign_error,,שימוש לא נכון בפעולה הפוכה במשוואה,1253,3633,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא משוואות יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
,,,,equation_sign_error,math-numeric-classifier|lib/learning/fuzzy-tolerance-core-ops.js,no,NO_VALID_FIXTURE,,M-19,3,0.6,math_equation_inverse_error|inverse_operation_error|equation_sign_error,,שימוש לא נכון בפעולה הפוכה במשוואה,,,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא topic יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
,,,,inverse_operation_error,math-numeric-classifier|lib/learning/fuzzy-tolerance-core-ops.js,no,NO_VALID_FIXTURE,,M-10,3,0.6,mul_instead_of_div|add_instead_of_mul|sub_instead_of_div|inverse_operation_error|wrong_operation_wp,,בחירת כפל במקום חילוק,,,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא topic יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
,,,,rounding_direction_error,math-numeric-classifier|lib/learning/fuzzy-tolerance-core-ops.js,no,NO_VALID_FIXTURE,,M-06,3,0.6,rounding_wrong_direction|rounding_direction_error|calculation_off_by_one|place_value_error|decimal_place_error,,עיגול לכיוון הלא נכון,,,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא topic יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
math,,מקום,עיגול/השוואה,rounding_wrong_direction,math-numeric-classifier|lib/learning/classifiers/math-numeric-classifier.js,yes,PASS,REAL_RUNTIME_classifier,M-06,3,0.6,rounding_wrong_direction|rounding_direction_error|calculation_off_by_one|place_value_error|decimal_place_error,,עיגול לכיוון הלא נכון,3.14,3.2,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא מקום יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
math,,יחס,הופכיות,wrong_operation_wp,math-numeric-classifier|lib/learning/classifiers/math-numeric-classifier.js,yes,PASS,REAL_RUNTIME_classifier,M-08,3,0.67,omitted_addend|omitted_step|multi_step_failure|wrong_final_step|wrong_operation_wp,,קושי בחיבור בין שלבי הפתרון,20,96,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא יחס יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
math,,ניסוח,יחידות,unit_error,math-numeric-classifier|lib/learning/classifiers/math-numeric-classifier.js,yes,PASS,REAL_RUNTIME_classifier,M-07,3,0.6,unit_error|wrong_unit|unit_conversion_error,,בחירת יחידת מידה לא מתאימה,300,3,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא ניסוח יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
math,,מבנה,פירוק 10+1,place_value_error,math-numeric-classifier|lib/learning/classifiers/math-numeric-classifier.js,yes,PASS,REAL_RUNTIME_classifier,M-01,3,0.6,representation_error|place_value_error|number_sense_error,ייתכן שיש בלבול בערך המקומי של הספרות,קושי בפירוק מספרים ובהבנת ערך המקום,350,351,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,בנושא מבנה יש חלק שדורש חיזוק. ב-3 תשובות חזרה ייתכן שיש בלבול בערך המקומי של הספרות. מבוסס על 12 שאלות שנפתרו בנושא.,true,true,
math,g5,אחוזים,סטייה ב-1,calculation_off_by_one,math-numeric-classifier|fuzzy-tolerance-core-ops proveCoreOpsStructuralNearMiss,yes,PASS,supplemental_classifier_TEP,M-06,3,0.6,rounding_wrong_direction|rounding_direction_error|calculation_off_by_one|place_value_error|decimal_place_error,טעות חישוב של סטייה ב-1,עיגול לכיוון הלא נכון,20,21,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,בנושא אחוזים יש חלק שדורש חיזוק. ב-3 תשובות חזרה טעות חישוב של סטייה ב-1. מבוסס על 12 שאלות שנפתרו בנושא.,true,true,
math,g5,אחוזים,סטייה קרובה,calculation_near_miss,math-numeric-classifier|fuzzy-tolerance-core-ops proveCoreOpsStructuralNearMiss,yes,PASS,supplemental_classifier_TEP,,,0.6,,,,20,23,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא אחוזים יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
,,,,column_arithmetic_error,math-numeric-classifier|lib/learning/fuzzy-tolerance.js,no,NO_VALID_FIXTURE,,,,0.6,,,,,,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא topic יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
,,,,number_sense_error,math-mcq-infer|utils/math-question-generator.js:probe-params,no,NO_VALID_FIXTURE,,M-01,3,0.6,representation_error|place_value_error|number_sense_error,,קושי בפירוק מספרים ובהבנת ערך המקום,,,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא topic יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
math,,חיבור,נשיאה,carry_error,math-numeric-classifier|lib/learning/classifiers/math-numeric-classifier.js,yes,PASS,REAL_RUNTIME_classifier,M-02,3,0.5,carry_error|regroup_error|column_carry_error,,קושי בנשיאה בחיבור,85,75,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא חיבור יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
math,,חיבור,נשיאה,regroup_error,math-numeric-classifier|lib/learning/classifiers/math-numeric-classifier.js,yes,PASS,REAL_RUNTIME_classifier,M-02,3,0.5,carry_error|regroup_error|column_carry_error,,קושי בנשיאה בחיבור,85,75,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא חיבור יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
math,,חיבור,נשיאה,column_carry_error,math-numeric-classifier|lib/learning/classifiers/math-numeric-classifier.js,yes,PASS,REAL_RUNTIME_classifier,M-02,3,0.5,carry_error|regroup_error|column_carry_error,,קושי בנשיאה בחיבור,85,75,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא חיבור יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
math,g3,חיסור,הלוואה,borrow_error,math-numeric-classifier|math-numeric probe,yes,PASS,supplemental_classifier_TEP,M-09,3,0.6,add_instead_of_sub|reverse_direction|operand_reversal|borrow_error,,חיבור במקום חיסור או היפוך כיוון הפעולה,33,47,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא חיסור יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
,,,,fact_error,math-mcq-infer|utils/math-question-generator.js:probe-params,no,NO_VALID_FIXTURE,,M-03,4,0.5,fact_error|multiplication_fact_error,,טעויות חוזרות בעובדות כפל,,,4,7,16,0.25,0.5714,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא topic יש חלק שדורש חיזוק (16 שאלות, 56% דיוק). כדאי חיזוק ממוקד. מבוסס על 16 שאלות שנפתרו בנושא.",false,true,
math,,כפל,עובדת כפל,multiplication_fact_error,math-numeric-classifier|lib/learning/classifiers/math-numeric-classifier.js,yes,PASS,REAL_RUNTIME_classifier,M-03,4,0.5,fact_error|multiplication_fact_error,,טעויות חוזרות בעובדות כפל,35,30,4,7,16,0.25,0.5714,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא כפל יש חלק שדורש חיזוק (16 שאלות, 56% דיוק). כדאי חיזוק ממוקד. מבוסס על 16 שאלות שנפתרו בנושא.",false,true,
math,,ייצוג,חלק כלל,numerator_only_compare,math-numeric-classifier|lib/learning/classifiers/math-numeric-classifier.js,yes,PASS,REAL_RUNTIME_classifier,M-04,3,0.6,numerator_only_compare|denominator_only_compare|fraction_compare_error,,השוואת שברים לפי המונה בלבד,1/3,2/3,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא ייצוג יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
,,,,denominator_only_compare,math-numeric-classifier|lib/learning/classifiers/math-numeric-classifier.js,no,NO_VALID_FIXTURE,,M-04,3,0.6,numerator_only_compare|denominator_only_compare|fraction_compare_error,,השוואת שברים לפי המונה בלבד,,,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא topic יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
,,,,fraction_compare_error,math-mcq-infer|utils/math-question-generator.js:probe-params,no,NO_VALID_FIXTURE,,M-04,3,0.6,numerator_only_compare|denominator_only_compare|fraction_compare_error,,השוואת שברים לפי המונה בלבד,,,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא topic יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
math,,חיבור,המראה,mirror_error,math-mcq-infer|lib/learning/classifiers/math-numeric-classifier.js,yes,PASS,REAL_RUNTIME_classifier,M-05,3,0.6,mirror_error|common_denominator_error|fraction_operation_error|numerator_only_operation|fraction_reciprocal_error|fraction_simplification_error,,ביצוע שגוי של שלב בפעולה בשברים,7/12,2/7,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא חיבור יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
math,,חיבור,המראה,common_denominator_error,math-numeric-classifier|lib/learning/classifiers/math-numeric-classifier.js,yes,PASS,REAL_RUNTIME_classifier,M-05,3,0.6,mirror_error|common_denominator_error|fraction_operation_error|numerator_only_operation|fraction_reciprocal_error|fraction_simplification_error,,ביצוע שגוי של שלב בפעולה בשברים,7/12,2/7,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא חיבור יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
math,,חיבור,המראה,fraction_operation_error,math-mcq-infer|lib/learning/classifiers/math-numeric-classifier.js,yes,PASS,REAL_RUNTIME_classifier,M-05,3,0.6,mirror_error|common_denominator_error|fraction_operation_error|numerator_only_operation|fraction_reciprocal_error|fraction_simplification_error,,ביצוע שגוי של שלב בפעולה בשברים,7/12,2/7,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא חיבור יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
,,,,decimal_place_error,math-numeric-classifier|lib/learning/classifiers/math-numeric-classifier.js,no,NO_VALID_FIXTURE,,M-06,3,0.6,rounding_wrong_direction|rounding_direction_error|calculation_off_by_one|place_value_error|decimal_place_error,,עיגול לכיוון הלא נכון,,,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא topic יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
geometry,,שטח,בסיס×גובה÷2,forgot_divide_by_2,geometry-numeric-classifier|lib/learning/fuzzy-tolerance-geometry.js,yes,PASS,REAL_RUNTIME_classifier,G-08,3,0.6,forgot_divide_by_2|triangle_area_error|formula_error,,אי חלוקה ב-2 או בחירת גובה לא מתאים בשטח משולש,12,24,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא שטח יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
geometry,,היקף,המרת יחידות,perimeter_area_confusion,geometry-numeric-classifier|lib/learning/fuzzy-tolerance-geometry.js,yes,PASS,REAL_RUNTIME_classifier,G-06,3,0.6,perimeter_area_confusion|unit_error|perimeter_formula_error|formula_selection_error|square_perimeter_compute|circle_perimeter_compute,,שימוש לא נכון ביחידת מידה בהיקף,6,10,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא היקף יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
geometry,g4,היקף,נוסחת היקף,perimeter_formula_error,geometry-numeric-classifier|geometry-diagnostic-eval provePerimeterFormulaError,yes,PASS,supplemental_classifier_TEP,G-06,3,0.6,perimeter_area_confusion|unit_error|perimeter_formula_error|formula_selection_error|square_perimeter_compute|circle_perimeter_compute,,שימוש לא נכון ביחידת מידה בהיקף,16,8,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא היקף יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
,,,,volume_perimeter_confusion,geometry-numeric-classifier|lib/learning/fuzzy-tolerance-geometry.js,no,NO_VALID_FIXTURE,,G-05,3,0.6,volume_perimeter_confusion|volume_formula_error,,התעלמות מממד העומק,,,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא topic יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
geometry,g5,תיבה,מודל 3D,volume_formula_error,mcq-option-evidence-tagging|utils/geometry-question-generator.js,yes,PASS,REAL_RUNTIME_classifier,G-05,3,0.6,volume_perimeter_confusion|volume_formula_error,,התעלמות מממד העומק,NaN,לא תמיד,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא תיבה יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
,,,,height_base_confusion,geometry-numeric-classifier|lib/learning/fuzzy-tolerance-geometry.js,no,NO_VALID_FIXTURE,,G-03,3,0.6,height_base_confusion|area_formula_error|parallelogram_area_error,,בחירת צלע שאינה גובה,,,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא topic יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
geometry,g5,מקבילית,גובה,area_formula_error,mcq-option-evidence-tagging|utils/geometry-question-generator.js,yes,PASS,REAL_RUNTIME_classifier,G-03,3,0.6,height_base_confusion|area_formula_error|parallelogram_area_error,,בחירת צלע שאינה גובה,NaN,בדרך כלל לא,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא מקבילית יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
,,,,parallelogram_area_error,geometry-numeric-classifier|lib/learning/fuzzy-tolerance-geometry.js,no,NO_VALID_FIXTURE,,G-03,3,0.6,height_base_confusion|area_formula_error|parallelogram_area_error,,בחירת צלע שאינה גובה,,,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא topic יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
,,,,formula_error,geometry-numeric-classifier|lib/learning/fuzzy-tolerance-geometry.js,no,NO_VALID_FIXTURE,,G-08,3,0.6,forgot_divide_by_2|triangle_area_error|formula_error,,אי חלוקה ב-2 או בחירת גובה לא מתאים בשטח משולש,,,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא topic יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
,,,,triangle_area_error,geometry-numeric-classifier|lib/learning/fuzzy-tolerance-geometry.js,no,NO_VALID_FIXTURE,,G-08,3,0.6,forgot_divide_by_2|triangle_area_error|formula_error,,אי חלוקה ב-2 או בחירת גובה לא מתאים בשטח משולש,,,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא topic יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
geometry,g5,זוויות,סכום זוויות במשולש,triangle_angle_sum_error,geometry-numeric-classifier|taxonomy-rule-runtime-matrix / geometry-diagnostic-eval,yes,PASS,supplemental_classifier_TEP,G-02,3,0.6,angle_range_error|protractor_reading_error|triangle_angle_sum_error,,קריאה לא נכונה של זווית במד זווית,70,110,3,5,12,0.25,0.6,1,1,consistent,strong,,topic_needs_strengthening,collect_more_evidence,"בנושא זוויות יש חלק שדורש חיזוק (12 שאלות, 58% דיוק). כדאי חיזוק ממוקד. מבוסס על 12 שאלות שנפתרו בנושא.",false,true,
