student,subject,topic,q,accuracy,engineDecisionBefore,engineDecisionAfter,adcActionBefore,adcActionAfter,reason
AAA10,science,earth_space::grade:g5,5,40,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA10,science,environment::grade:g5,3,0,insufficient_data,insufficient_data,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA10,geometry,volume::grade:g5,15,60,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA10,geometry,angles::grade:g5,10,60,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA10,english,sentences::grade:g5,6,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA10,science,earth_space::grade:g5,5,40,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA10,science,materials::grade:g5,2,0,insufficient_data,insufficient_data,collect_more_evidence,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA10,science,environment::grade:g5,6,0,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA10,english,sentences::grade:g5,8,75,early_direction_only,early_direction_only,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA10,science,earth_space::grade:g5,5,40,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA10,science,materials::grade:g5,5,20,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA10,science,environment::grade:g5,6,0,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA10,english,sentences::grade:g5,8,75,early_direction_only,early_direction_only,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA10,science,earth_space::grade:g5,5,40,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA10,science,materials::grade:g5,5,20,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA10,science,environment::grade:g5,6,0,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA11,history,hellenism_jews::grade:g6,2,0,insufficient_data,insufficient_data,collect_more_evidence,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA11,science,environment::grade:g6,4,50,insufficient_data,insufficient_data,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA11,history,rome_jews::grade:g6,11,64,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA11,history,hellenism_jews::grade:g6,4,50,insufficient_data,insufficient_data,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA11,science,environment::grade:g6,7,57,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA11,history,rome_jews::grade:g6,16,69,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA11,history,hellenism_jews::grade:g6,4,50,insufficient_data,insufficient_data,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA11,history,classical_greece::grade:g6,5,40,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA11,geometry,area::grade:g6,20,90,mastery_stable,mastery_stable,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA11,english,sentences::grade:g6,20,90,mastery_stable,mastery_stable,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA11,english,grammar::grade:g6,20,90,mastery_stable,mastery_stable,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA11,science,environment::grade:g6,11,55,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
AAA11,hebrew,reading::grade:g6,20,90,mastery_stable,mastery_stable,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA11,history,hellenism_jews::grade:g6,6,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA11,history,classical_greece::grade:g6,7,43,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA11,math,fractions::grade:g6,27,89,partial_stable,partial_stable,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA11,geometry,area::grade:g6,20,90,mastery_stable,mastery_stable,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA11,english,sentences::grade:g6,20,90,mastery_stable,mastery_stable,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA11,english,grammar::grade:g6,26,88,partial_stable,partial_stable,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA11,science,environment::grade:g6,11,55,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
AAA11,hebrew,reading::grade:g6,20,90,mastery_stable,mastery_stable,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA11,history,hellenism_jews::grade:g6,7,71,early_direction_only,early_direction_only,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA11,history,classical_greece::grade:g6,7,43,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA12,moledet-geography,homeland::grade:g6,6,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA12,math,fractions::grade:g6,10,80,partial_stable,partial_stable,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA12,moledet-geography,homeland::grade:g6,12,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
AAA12,math,percentages::grade:g6,15,60,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA12,math,fractions::grade:g6,15,60,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA12,science,earth_space::grade:g6,9,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA12,hebrew,grammar::grade:g6,15,60,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA12,moledet-geography,homeland::grade:g6,12,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
AAA12,math,percentages::grade:g6,20,50,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
AAA12,math,fractions::grade:g6,20,50,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA12,science,earth_space::grade:g6,12,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA12,hebrew,grammar::grade:g6,20,50,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA12,moledet-geography,homeland::grade:g6,12,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
AAA12,math,percentages::grade:g6,20,50,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
AAA12,math,fractions::grade:g6,25,44,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA12,science,earth_space::grade:g6,15,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA12,hebrew,grammar::grade:g6,25,44,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA12,moledet-geography,homeland::grade:g6,12,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
AAA2,math,addition::grade:g1,5,60,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA2,hebrew,reading::grade:g1,4,25,insufficient_data,insufficient_data,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA2,math,addition::grade:g1,10,60,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
AAA2,science,plants::grade:g1,6,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA2,hebrew,reading::grade:g1,10,20,clear_topic_gap,clear_topic_gap,targeted_practice,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA2,hebrew,grammar::grade:g1,10,20,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA2,math,addition::grade:g1,15,60,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA2,science,plants::grade:g1,6,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA2,hebrew,reading::grade:g1,16,19,clear_topic_gap,clear_topic_gap,targeted_practice,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA2,science,plants::grade:g1,6,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA2,hebrew,reading::grade:g1,22,18,clear_topic_gap,clear_topic_gap,targeted_practice,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA2,math,addition::grade:g1,25,60,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
AAA2,science,plants::grade:g1,6,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA2,hebrew,reading::grade:g1,28,18,clear_topic_gap,clear_topic_gap,targeted_practice,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,math,subtraction::grade:g2,5,60,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,geometry,shapes_basic::grade:g2,6,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,english,grammar::grade:g2,5,60,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,math,addition::grade:g2,10,60,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,math,subtraction::grade:g2,10,60,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,geometry,shapes_basic::grade:g2,12,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,english,vocabulary::grade:g2,10,60,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
AAA3,english,grammar::grade:g2,10,60,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,hebrew,vocabulary::grade:g2,6,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,hebrew,reading::grade:g2,6,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,math,addition::grade:g2,15,60,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,math,multiplication::grade:g2,10,60,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,math,subtraction::grade:g2,15,60,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,geometry,shapes_basic::grade:g2,12,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,english,grammar::grade:g2,15,60,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,english,vocabulary::grade:g2,15,60,topic_needs_strengthening,topic_needs_strengthening,targeted_practice,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,hebrew,vocabulary::grade:g2,9,67,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,hebrew,reading::grade:g2,9,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,math,addition::grade:g2,20,60,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,math,multiplication::grade:g2,15,60,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,math,subtraction::grade:g2,20,60,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,geometry,shapes_basic::grade:g2,12,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,english,grammar::grade:g2,20,60,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,english,vocabulary::grade:g2,20,60,topic_needs_strengthening,topic_needs_strengthening,targeted_practice,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,hebrew,vocabulary::grade:g2,12,67,topic_needs_strengthening,topic_needs_strengthening,targeted_practice,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,hebrew,reading::grade:g2,12,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
AAA3,math,addition::grade:g2,25,60,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,math,multiplication::grade:g2,15,60,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,math,subtraction::grade:g2,20,60,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,geometry,shapes_basic::grade:g2,12,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,english,vocabulary::grade:g2,25,60,topic_needs_strengthening,topic_needs_strengthening,targeted_practice,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,english,grammar::grade:g2,20,60,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,hebrew,vocabulary::grade:g2,12,67,topic_needs_strengthening,topic_needs_strengthening,targeted_practice,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA3,hebrew,reading::grade:g2,15,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
AAA4,math,addition::grade:g2,5,40,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA4,math,subtraction::grade:g2,5,40,clear_topic_gap,clear_topic_gap,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA4,math,addition::grade:g2,10,30,clear_topic_gap,clear_topic_gap,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA4,math,subtraction::grade:g2,10,40,clear_topic_gap,clear_topic_gap,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA4,math,addition::grade:g2,15,33,clear_topic_gap,clear_topic_gap,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA4,math,subtraction::grade:g2,15,40,clear_topic_gap,clear_topic_gap,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA4,hebrew,reading::grade:g2,9,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA4,math,addition::grade:g2,21,48,clear_topic_gap,clear_topic_gap,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA4,math,subtraction::grade:g2,20,50,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA4,hebrew,reading::grade:g2,12,67,topic_needs_strengthening,topic_needs_strengthening,targeted_practice,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA4,math,addition::grade:g2,25,56,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA4,math,subtraction::grade:g2,20,50,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA4,hebrew,reading::grade:g2,12,67,topic_needs_strengthening,topic_needs_strengthening,targeted_practice,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA5,science,experiments::grade:g3,6,50,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA5,geometry,angles::grade:g3,6,17,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA5,science,experiments::grade:g3,11,55,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA5,moledet-geography,homeland::grade:g3,6,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA5,geometry,angles::grade:g3,12,17,clear_topic_gap,clear_topic_gap,targeted_practice,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA5,moledet-geography,homeland::grade:g3,9,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA5,math,multiplication::grade:g3,20,90,mastery_stable,mastery_stable,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA5,geometry,angles::grade:g3,18,17,clear_topic_gap,clear_topic_gap,targeted_practice,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA5,moledet-geography,community::grade:g3,12,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA5,moledet-geography,homeland::grade:g3,12,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
AAA5,math,multiplication::grade:g3,26,88,partial_stable,partial_stable,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA5,geometry,angles::grade:g3,18,17,clear_topic_gap,clear_topic_gap,targeted_practice,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA5,science,environment::grade:g3,3,33,insufficient_data,insufficient_data,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA5,moledet-geography,community::grade:g3,15,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
AAA5,moledet-geography,homeland::grade:g3,12,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
AAA6,math,addition::grade:g3,5,20,clear_topic_gap,clear_topic_gap,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA6,math,multiplication::grade:g3,5,20,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA6,english,vocabulary::grade:g3,5,20,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
AAA6,english,grammar::grade:g3,5,20,clear_topic_gap,clear_topic_gap,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA6,math,addition::grade:g3,10,20,clear_topic_gap,clear_topic_gap,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA6,math,multiplication::grade:g3,10,20,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA6,english,vocabulary::grade:g3,10,20,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
AAA6,english,grammar::grade:g3,10,20,clear_topic_gap,clear_topic_gap,targeted_practice,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA6,moledet-geography,homeland::grade:g3,12,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA6,math,addition::grade:g3,15,33,clear_topic_gap,clear_topic_gap,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA6,math,multiplication::grade:g3,15,33,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
AAA6,english,vocabulary::grade:g3,15,33,clear_topic_gap,clear_topic_gap,give_probe_questions,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
AAA6,english,grammar::grade:g3,15,33,clear_topic_gap,clear_topic_gap,targeted_practice,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA6,moledet-geography,homeland::grade:g3,12,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA6,math,multiplication::grade:g3,20,50,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
AAA6,math,addition::grade:g3,20,50,topic_needs_strengthening,topic_needs_strengthening,practice_more,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA6,english,vocabulary::grade:g3,20,50,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (2) from approved tags in snapshot patterns
AAA6,english,grammar::grade:g3,20,50,topic_needs_strengthening,topic_needs_strengthening,targeted_practice,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
AAA6,moledet-geography,homeland::grade:g3,12,67,topic_needs_strengthening,topic_needs_strengthening,give_probe_questions,collect_more_evidence,factualObservations added (1) from approved tags in snapshot patterns
