child,row,before,after
AAA7,1,"באנגלית — «מילים»: נפתרו 313 שאלות, הדיוק היה 25%, ושיעור הטעויות היה 75%. אין עדיין מספיק דוגמאות כדי לזהות טעות שחוזרת באופן ברור. עדיין אין מספיק מידע כדי לקבוע מה מקור הקושי. מה לתרגל: לבצע עוד כמה שאלות באותו נושא ובאותה רמה, כדי שהדוח יוכל לזהות דפוס אמין יותר.","באנגלית — «אוצר מילים - כיתה ד׳»: נפתרו 313 שאלות, הדיוק היה 25%, ושיעור הטעויות היה 75%. דפוס הטעות הבולט: בלבול בסדר הפעולות או בשלבי הפתרון. הנתונים מצביעים על נקודת ידע שעדיין לא יציבה. מה לתרגל: לחזור על שאלות דומות באותו נושא ובאותה רמת קושי, ולבקש מהילד להסביר בקול את שלבי הפתרון."
AAA7,2,"","במדעים — «גוף האדם - כיתה ד׳»: נפתרו 49 שאלות, הדיוק היה 65%, ושיעור הטעויות היה 35%. דפוס הטעות הבולט: בלבול בסדר הפעולות או בשלבי הפתרון. הנתונים מצביעים על נקודת ידע שעדיין לא יציבה. מה לתרגל: לחזור על שאלות דומות באותו נושא ובאותה רמת קושי, ולבקש מהילד להסביר בקול את שלבי הפתרון."
AAA7,explain,"","מה זוהה: מיקוד ב«אוצר מילים - כיתה ד׳». הנתונים: 313 שאלות, דיוק 25%, 75% טעויות. דפוס: בלבול בסדר הפעולות או בשלבי הפתרון. משמעות: יש נקודת ידע בנושא שעדיין לא יציבה. הדוח מזהה זאת לפי הדיוק ושיעור הטעויות, אבל לא מציג תת־בעיה פנימית אם המנוע לא זיהה אותה בפועל. הדיוק הנמוך חוזר"
AAA8,1,"בגאומטריה נראית תמונה חיובית יחסית: 16 שאלות ודיוק 88%. כדי להבין אם זו שליטה יציבה, כדאי לבדוק גם את הפירוט לפי נושאים.","באנגלית — «אוצר מילים - כיתה ד׳»: נפתרו 59 שאלות, הדיוק היה 59%, ושיעור הטעויות היה 41%. דפוס הטעות הבולט: בלבול בסדר הפעולות או בשלבי הפתרון. הנתונים מצביעים על נקודת ידע שעדיין לא יציבה. מה לתרגל: לחזור על שאלות דומות באותו נושא ובאותה רמת קושי, ולבקש מהילד להסביר בקול את שלבי הפתרון."
AAA8,2,"באנגלית — «מילים»: נפתרו 59 שאלות, הדיוק היה 59%, ושיעור הטעויות היה 41%. אין עדיין מספיק דוגמאות כדי לזהות טעות שחוזרת באופן ברור. עדיין אין מספיק מידע כדי לקבוע מה מקור הקושי. מה לתרגל: לבצע עוד כמה שאלות באותו נושא ובאותה רמה, כדי שהדוח יוכל לזהות דפוס אמין יותר.","במתמטיקה — «חיבור - כיתה ד׳»: נפתרו 17 שאלות, הדיוק היה 65%, ושיעור הטעויות היה 35%. דפוס הטעות הבולט: בלבול בסדר הפעולות או בשלבי הפתרון. הנתונים מצביעים על נקודת ידע שעדיין לא יציבה. מה לתרגל: לחזור על שאלות דומות באותו נושא ובאותה רמת קושי, ולבקש מהילד להסביר בקול את שלבי הפתרון."
AAA8,3,"","בגאומטריה — «שטח - כיתה ד׳»: נפתרו 16 שאלות, והדיוק היה 88%. שיעור הטעויות נמוך, ולכן הנושא נראה יציב כרגע. מומלץ לשמר אותו בתרגול קצר, ולא להסיק מזה שכל המקצוע כבר יציב."
AAA8,explain,"","מה זוהה: מיקוד ב«אוצר מילים - כיתה ד׳». הנתונים: 59 שאלות, דיוק 59%, 41% טעויות. דפוס: בלבול בסדר הפעולות או בשלבי הפתרון. משמעות: יש נקודת ידע בנושא שעדיין לא יציבה. הדוח מזהה זאת לפי הדיוק ושיעור הטעויות, אבל לא מציג תת־בעיה פנימית אם המנוע לא זיהה אותה בפועל. הדיוק הנמוך חוזר "
AAA9,1,"נראית מגמת שיפור בתקופה האחרונה, אבל צריך לבדוק אם היא נשמרת גם בהמשך. מומלץ להמשיך באותה רמה עוד מעט לפני שמסיקים שהנושא כבר יציב.","בעברית — «קריאה - כיתה ה׳»: נפתרו 187 שאלות, הדיוק היה 35%, ושיעור הטעויות היה 65%. דפוס הטעות הבולט: בלבול בסדר הפעולות או בשלבי הפתרון. הנתונים מצביעים על נקודת ידע שעדיין לא יציבה. מה לתרגל: לחזור על שאלות דומות באותו נושא ובאותה רמת קושי, ולבקש מהילד להסביר בקול את שלבי הפתרון."
AAA9,2,"במולדת וגאוגרפיה נראית תמונה חיובית יחסית: 22 שאלות ודיוק 91%. כדי להבין אם זו שליטה יציבה, כדאי לבדוק גם את הפירוט לפי נושאים.","במדעים — «גוף האדם - כיתה ה׳»: נפתרו 22 שאלות, הדיוק היה 64%, ושיעור הטעויות היה 36%. דפוס הטעות הבולט: בלבול בסדר הפעולות או בשלבי הפתרון. הנתונים מצביעים על נקודת ידע שעדיין לא יציבה. מה לתרגל: לחזור על שאלות דומות באותו נושא ובאותה רמת קושי, ולבקש מהילד להסביר בקול את שלבי הפתרון."
AAA9,3,"בעברית — «קריאה»: נפתרו 187 שאלות, הדיוק היה 35%, ושיעור הטעויות היה 65%. אין עדיין מספיק דוגמאות כדי לזהות טעות שחוזרת באופן ברור. עדיין אין מספיק מידע כדי לקבוע מה מקור הקושי. מה לתרגל: לבצע עוד כמה שאלות באותו נושא ובאותה רמה, כדי שהדוח יוכל לזהות דפוס אמין יותר.","במולדת וגאוגרפיה — «גאוגרפיה - כיתה ה׳»: נפתרו 22 שאלות, והדיוק היה 91%. שיעור הטעויות נמוך, ולכן הנושא נראה יציב כרגע. מומלץ לשמר אותו בתרגול קצר, ולא להסיק מזה שכל המקצוע כבר יציב."
AAA9,explain,"","מה זוהה: מיקוד ב«קריאה - כיתה ה׳». הנתונים: 187 שאלות, דיוק 35%, 65% טעויות. דפוס: בלבול בסדר הפעולות או בשלבי הפתרון. משמעות: יש נקודת ידע בנושא שעדיין לא יציבה. הדוח מזהה זאת לפי הדיוק ושיעור הטעויות, אבל לא מציג תת־בעיה פנימית אם המנוע לא זיהה אותה בפועל. הדיוק הנמוך חוזר מספי"
AAA10,1,"נראית מגמת שיפור בתקופה האחרונה, אבל צריך לבדוק אם היא נשמרת גם בהמשך. מומלץ להמשיך באותה רמה עוד מעט לפני שמסיקים שהנושא כבר יציב.","במתמטיקה — «חיבור - כיתה ה׳»: נפתרו 43 שאלות, הדיוק היה 56%, ושיעור הטעויות היה 44%. דפוס הטעות הבולט: בלבול מושגי שחוזר בנושא. הנתונים מצביעים על נקודת ידע שעדיין לא יציבה. מה לתרגל: לחזור על שאלות דומות באותו נושא ובאותה רמת קושי, ולבקש מהילד להסביר בקול את שלבי הפתרון."
AAA10,2,"בעברית נראית תמונה חיובית יחסית: 44 שאלות ודיוק 84%. כדי להבין אם זו שליטה יציבה, כדאי לבדוק גם את הפירוט לפי נושאים.","במדעים — «גוף האדם - כיתה ה׳»: נפתרו 307 שאלות, הדיוק היה 62%, ושיעור הטעויות היה 38%. דפוס הטעות הבולט: בלבול בסדר הפעולות או בשלבי הפתרון. הנתונים מצביעים על נקודת ידע שעדיין לא יציבה. מה לתרגל: לחזור על שאלות דומות באותו נושא ובאותה רמת קושי, ולבקש מהילד להסביר בקול את שלבי הפתרון."
AAA10,3,"במתמטיקה — «חיבור»: נפתרו 43 שאלות, הדיוק היה 56%, ושיעור הטעויות היה 44%. אין עדיין מספיק דוגמאות כדי לזהות טעות שחוזרת באופן ברור. עדיין אין מספיק מידע כדי לקבוע מה מקור הקושי. מה לתרגל: לבצע עוד כמה שאלות באותו נושא ובאותה רמה, כדי שהדוח יוכל לזהות דפוס אמין יותר.",""
AAA10,explain,"","מה זוהה: מיקוד ב«חיבור - כיתה ה׳». הנתונים: 43 שאלות, דיוק 56%, 44% טעויות. דפוס: בלבול מושגי שחוזר בנושא. משמעות: יש נקודת ידע בנושא שעדיין לא יציבה. הדוח מזהה זאת לפי הדיוק ושיעור הטעויות, אבל לא מציג תת־בעיה פנימית אם המנוע לא זיהה אותה בפועל. הדיוק הנמוך חוזר מספיק כדי לחשוד "
AAA11,1,"במתמטיקה נראית תמונה חיובית יחסית: 103 שאלות ודיוק 91%. כדי להבין אם זו שליטה יציבה, כדאי לבדוק גם את הפירוט לפי נושאים.","באנגלית — «אוצר מילים - כיתה ו׳»: נפתרו 65 שאלות, הדיוק היה 58%, ושיעור הטעויות היה 42%. דפוס הטעות הבולט: בלבול בסדר הפעולות או בשלבי הפתרון. הנתונים מצביעים על נקודת ידע שעדיין לא יציבה. מה לתרגל: לחזור על שאלות דומות באותו נושא ובאותה רמת קושי, ולבקש מהילד להסביר בקול את שלבי הפתרון."
AAA11,2,"באנגלית — «מילים»: נפתרו 65 שאלות, הדיוק היה 58%, ושיעור הטעויות היה 42%. אין עדיין מספיק דוגמאות כדי לזהות טעות שחוזרת באופן ברור. עדיין אין מספיק מידע כדי לקבוע מה מקור הקושי. מה לתרגל: לבצע עוד כמה שאלות באותו נושא ובאותה רמה, כדי שהדוח יוכל לזהות דפוס אמין יותר.","במדעים — «גוף האדם - כיתה ו׳»: נפתרו 168 שאלות, הדיוק היה 65%, ושיעור הטעויות היה 35%. דפוס הטעות הבולט: בלבול בסדר הפעולות או בשלבי הפתרון. הנתונים מצביעים על נקודת ידע שעדיין לא יציבה. מה לתרגל: לחזור על שאלות דומות באותו נושא ובאותה רמת קושי, ולבקש מהילד להסביר בקול את שלבי הפתרון."
AAA11,3,"","במתמטיקה — «חיבור - כיתה ו׳»: נפתרו 103 שאלות, והדיוק היה 91%. שיעור הטעויות נמוך, ולכן הנושא נראה יציב כרגע. מומלץ לשמר אותו בתרגול קצר, ולא להסיק מזה שכל המקצוע כבר יציב."
AAA11,explain,"","מה זוהה: מיקוד ב«אוצר מילים - כיתה ו׳». הנתונים: 65 שאלות, דיוק 58%, 42% טעויות. דפוס: בלבול בסדר הפעולות או בשלבי הפתרון. משמעות: יש נקודת ידע בנושא שעדיין לא יציבה. הדוח מזהה זאת לפי הדיוק ושיעור הטעויות, אבל לא מציג תת־בעיה פנימית אם המנוע לא זיהה אותה בפועל. הדיוק הנמוך חוזר "
AAA12,1,"באנגלית — «מילים»: נפתרו 30 שאלות, הדיוק היה 43%, ושיעור הטעויות היה 57%. אין עדיין מספיק דוגמאות כדי לזהות טעות שחוזרת באופן ברור. עדיין אין מספיק מידע כדי לקבוע מה מקור הקושי. מה לתרגל: לבצע עוד כמה שאלות באותו נושא ובאותה רמה, כדי שהדוח יוכל לזהות דפוס אמין יותר.","באנגלית — «אוצר מילים - כיתה ו׳»: נפתרו 30 שאלות, הדיוק היה 43%, ושיעור הטעויות היה 57%. דפוס הטעות הבולט: בלבול בסדר הפעולות או בשלבי הפתרון. הנתונים מצביעים על נקודת ידע שעדיין לא יציבה. מה לתרגל: לחזור על שאלות דומות באותו נושא ובאותה רמת קושי, ולבקש מהילד להסביר בקול את שלבי הפתרון."
AAA12,2,"","במדעים — «גוף האדם - כיתה ו׳»: נפתרו 20 שאלות, הדיוק היה 65%, ושיעור הטעויות היה 35%. דפוס הטעות הבולט: בלבול בסדר הפעולות או בשלבי הפתרון. הנתונים מצביעים על נקודת ידע שעדיין לא יציבה. מה לתרגל: לחזור על שאלות דומות באותו נושא ובאותה רמת קושי, ולבקש מהילד להסביר בקול את שלבי הפתרון."
AAA12,explain,"","מה זוהה: מיקוד ב«אוצר מילים - כיתה ו׳». הנתונים: 30 שאלות, דיוק 43%, 57% טעויות. דפוס: בלבול בסדר הפעולות או בשלבי הפתרון. משמעות: יש נקודת ידע בנושא שעדיין לא יציבה. הדוח מזהה זאת לפי הדיוק ושיעור הטעויות, אבל לא מציג תת־בעיה פנימית אם המנוע לא זיהה אותה בפועל. הדיוק הנמוך חוזר "
