id,category,file,line,exact_text,why_suspicious,visible_or_internal,likely_surface,severity,recommendation
HEA-013,punctuation_unicode_bidi,pages/learning/science-master.js,3447,\u200Fסגור,"תו RLM נסתר בכפתור",visible,learning_help_modal,medium,"לייצר קומפוננטה אחידה לטקסטים עם RTL"
HEA-014,punctuation_unicode_bidi,pages/learning/english-master.js,3830,\u200Fסגור,"תו RLM נסתר בכפתור",visible,learning_help_modal,medium,"לאחד עם שאר המסכים"
HEA-015,punctuation_unicode_bidi,pages/learning/hebrew-master.js,4351,\u200Fסגור,"תו RLM נסתר בכפתור",visible,learning_help_modal,medium,"לאחד עם שאר המסכים"
HEA-016,punctuation_unicode_bidi,pages/learning/parent-report.js,1271,טוען דוח...,"אליפסיס כשלוש נקודות בעוד במסך אחר משתמשים בתו יחיד",visible,parent_report_loading,low,"לאחד סגנון פיסוק לכל הודעות טעינה"
HEA-017,punctuation_unicode_bidi,pages/learning/parent-report-detailed.js,531,טוען דוח מקיף…,"אליפסיס בתו יחיד; אי-עקביות עם מסך דוח אחר",visible,parent_report_loading,low,"לאחד סגנון אליפסיס"
HEA-018,forbidden_unwanted,utils/curriculum-audit/official-curriculum-source-registry.js,79,משרד החינוך — מסמך PDF,"ניסוח רגיש להשקה אם מוצג כהבטחה רשמית",internal_content_source,curriculum_source_registry,medium,"לוודא שלא מופיע כטקסט שיווקי/התחייבות במוצר"
HEA-019,forbidden_unwanted,utils/curriculum-audit/official-curriculum-source-registry.js,380,תוכנית משרד החינוך/english Curriculum2020.pdf,"מונח רגיש + אנגלית בתוך נתיב מקור",internal_content_source,curriculum_source_registry,low,"לאמת הפרדה בין נתוני ייחוס לטקסטים גלויים"
HEA-020,forbidden_unwanted,data/hebrew-ministry-source-catalog.json,11,Grade 1 – Exposure Stage · Ministry of Education · English Curriculum 2020,"דגימת מקור באנגלית שעלולה לזלוג לכלי תוכן",internal_content_source,catalog_json,low,"לסמן כשדה מקור פנימי בלבד"
HEA-021,term_inconsistency,utils/parent-report-language/subject-evidence-policy.js,17,"math: [""חשבון"", ""מתמטיקה""]","אותו מקצוע עם שתי וריאציות במערכת אחת",visible_text_generation,parent_report_language,medium,"לקבוע וריאציית יעד אחת לתצוגה"
HEA-022,term_inconsistency,pages/index.js,77,מתמטיקה,"בעוד במסכי למידה/דוחות נפוץ ""חשבון""",visible,homepage,medium,"לקבוע מדיניות מונחים לפי קהל/משטח"
HEA-023,term_inconsistency,pages/learning/moledet-geography-master.js,2432,מולדת וגאוגרפיה,"איות אחד מתוך כמה וריאציות (עם/בלי י)",visible,learning_subject_title,medium,"לאחד לאיות מוסכם אחד"
HEA-024,term_inconsistency,pages/learning/index.js,42,מולדת וגיאוגרפיה,"וריאציית איות שונה מהמסך המקצועי",visible,learning_landing,medium,"לאחד לאותו איות כמו במסכי המקצוע"
HEA-025,term_inconsistency,utils/dev-student-simulator/ui-display-labels.js,24,מולדת / גיאוגרפיה,"שימוש בסלאש בנוסח נוסף של אותו מושג",internal_tooling,dev_student_simulator,low,"להשאיר רק וריאציית מוצר אחידה"
HEA-026,text_duplication,pages/learning/moledet-geography-master.js,811,התמונה גדולה מדי. נא לבחור תמונה עד 5MB,"אותו טקסט משוכפל ב-6 קבצי master; סיכון סטייה עתידית",visible,avatar_upload_alert,low,"לחלץ לקבוע טקסט אחיד משותף"
HEA-027,text_duplication,pages/learning/moledet-geography-master.js,2905,שם ילד/ה לא זמין,"אותו fallback משוכפל ב-6 מסכים",visible,player_name_aria,low,"לחלץ לקבוע טקסט נגישות משותף"
HEA-028,text_duplication,pages/learning/hebrew-master.js,2700,לא נכון 😔 התשובה הנכונה: ... ✅,"אותו נוסח בסיסי מופיע בכמה משחקים עם וריאציות קטנות",visible,answer_feedback,low,"להגדיר תבנית משוב משותפת"
HEA-029,internal_text,pages/learning/math-master.js,5983,TrackingDebugPanel,"רכיב debug מיובא במסך פרודקשן; תלוי דגל אך שטח סיכון קיים",internal_guarded,learning_master_pages,medium,"לאמת חסימה קשיחה לפרודקשן"
HEA-030,forbidden_unwanted,utils/parent-copilot/answer-composer.js,25,מעבר בית ספר,"ניסוח סביב בית ספר במסלול הורה; ייתכן לא רצוי לשפה השקתית",visible,parent_copilot_answer,medium,"דורש החלטת בעלים אם לשמר/להחליף ניסוח"
