id,output_sentence_or_template,file,line,source_function,input_data,gating_condition,fallback_condition,audience,visible_surface,risk,severity,recommendation
S011,"ב{displayName} בתקופה שנבחרה יש {q} שאלות, עם דיוק של כ {acc}%.","utils/contracts/narrative-contract-v1.js",158,"buildObservationSlot","question count + accuracy","q>0","Variant selected by seed","parent","Copilot/report narrative","Numbers traceable but can overfocus on raw accuracy if diagnostic vs learning mixed","MEDIUM","Ensure q/acc are diagnostic-visible values, not raw mixed evidence."
S012,"עדיין מוקדם לקבוע כאן כיוון ברור — נמשיך לעקוב אחרי התרגול.","utils/contracts/narrative-contract-v1.js",167,"buildInterpretationSlot","cannotConcludeYet or WE0","cannotConcludeYet=true or envelope WE0","Variant selected by seed","parent","Copilot/report narrative","Safe insufficient-data fallback","LOW","No action."
S013,"יש כאן מספיק תרגול כדי לראות דפוס, אבל הדיוק עדיין נמוך יחסית — זה מצב שדורש חיזוק ממוקד.","utils/contracts/narrative-contract-v1.js",177,"buildInterpretationSlot","q>=8 acc<=54","Envelope WE1","Variant selected by seed","parent","Copilot/report narrative","Relies on threshold 8; may conflict with server insights threshold 5","HIGH","Align all recommendation thresholds."
S014,"הכיוון נראה יציב לאורך התקופה — מספיק להמשיך בתרגול שגרתי.","utils/contracts/narrative-contract-v1.js",197,"buildInterpretationSlot","WE3 envelope","High enough evidence/confidence","Variant selected by seed","parent","Copilot/report narrative","Can sound firm if upstream confidence wrong","MEDIUM","Keep confidence provenance visible in packet tests."
S015,"Contract slots only fallback: observation/meaning/caution from narrative slots.","utils/parent-copilot/fallback-templates.js",11,"buildDeterministicFallbackAnswer","truthPacket.contracts.narrative.textSlots","Validator/LLM failure","If <2 blocks duplicates interpretation as observation","parent","Copilot chat","Safe fallback depends entirely on slot quality","MEDIUM","Test every contract envelope produces at least 2 safe blocks."
S016,"FORBIDDEN_PARENT_SURFACE_TOKENS includes truthPacket contractsV1 validatorFailCodes schemaVersion telemetry.trace.","utils/parent-copilot/guardrail-validator.js",49,"validateAnswerDraft / collectParentFacingOutputQualityIssues","joined answer text","Always after deterministic/LLM composition","Reject/fallback on violations","parent","Copilot chat","Good internal label protection; bypass risk if surface skips validator","MEDIUM","Require all parent AI surfaces to run same validator."
S017,"INELIGIBLE_HOME_ACTION_COMPOSED_RE blocks imperative home actions when recommendation not allowed.","utils/parent-copilot/guardrail-validator.js",87,"validateAnswerDraft","composed non-contract text","recommendationEligible=false","Reject/fallback","parent","Copilot chat","Regex may miss softer imperatives in meaning block","MEDIUM","Expand validation with semantic tests for soft advice."
S018,"GLOBAL_SCARCITY_CONTRADICTION_RE blocks global insufficient-data claims when report volume is high.","utils/parent-copilot/guardrail-validator.js",121,"validateAnswerDraft","joined composed text + global question count","report total >= strong floor","Reject/fallback","parent","Copilot chat","Good guard; scoped scarcity exceptions can be tricky","LOW","Keep scoped examples in tests."
S019,"{subject}: לא תורגל בתקופה שנבחרה","utils/parent-report-language/subject-evidence-policy.js",58,"zeroEvidenceSubjectLineHe","subjectLabel q=0","classifySubjectEvidenceTier=none","None","parent","Report coverage / Copilot zero evidence","Safe; no false problem statement","LOW","No action."
S020,"{subject}: {n} שאלות בתקופה שנבחרה — עדיין מעט מידע; כדאי להמשיך לתרגל ולבדוק שוב","utils/parent-report-language/subject-evidence-policy.js",66,"thinEvidenceSubjectLineHe","subjectLabel q 1..7","classifySubjectEvidenceTier=thin","None","parent","Report coverage","Safe but still recommends continued practice","LOW","Ensure not styled as diagnostic recommendation."
S021,"בתקופה שנבחרה לא נאספו נתוני תרגול ב{subjectLabel}, ולכן אי אפשר לקבוע כיוון לפי הדוח הנוכחי.","utils/parent-report-language/subject-evidence-policy.js",150,"zeroEvidenceSubjectCopilotHe","subjectLabel q=0","zero_evidence contract","None","parent","Copilot chat","Safe zero-evidence copy","LOW","No action."
S022,"כבר רואים כיוון ברור בנושא הזה.","utils/parent-report-language/confidence-parent-he.js",10,"confidenceLevelParentSummaryHe","confidence.level=high","Caller passes high confidence","Default fallback for unknown","parent","Detailed report confidence strip","Can sound firm; depends on confidence policy","MEDIUM","Display evidence count near confidence."
S023,"יש כיוון ראשוני בנושא הזה, אבל צריך עוד תרגולים כדי לוודא שהוא יציב.","utils/parent-report-language/confidence-parent-he.js",12,"confidenceLevelParentSummaryHe","confidence.level=moderate","Caller passes moderate","Default fallback for unknown","parent","Detailed report confidence strip","Safe hedge","LOW","No action."
S024,"עדיין מוקדם לקבוע בנושא הזה, ועוד תרגול יעזור להבין את התמונה.","utils/parent-report-language/confidence-parent-he.js",14,"confidenceLevelParentSummaryHe","confidence.level=low","Caller passes low","Default fallback for unknown","parent","Detailed report confidence strip","Safe hedge","LOW","No action."
S025,"עדיין לא ברור מה אפשר לקבוע בנושא הזה — נכון לעכשיו עדיף תרגול קצר ולבדוק שוב בהמשך.","utils/parent-report-language/confidence-parent-he.js",22,"confidenceLevelParentSummaryHe","unknown confidence","Default branch","Default itself","parent","Detailed report confidence strip","Fallback suggests action despite unknown confidence","MEDIUM","Owner decide if unknown should recommend practice or only say insufficient."
S026,"חוזק יציב","utils/parent-report-language/short-report-v2-copy.js",11,"tierStableStrengthHe","positive/stable unit","Caller decides tier","None","parent","Short report cards","Safe if positive gate correct","LOW","No action."
S027,"קושי שחוזר על עצמו","utils/parent-report-language/short-report-v2-copy.js",15,"tierWeaknessRecurringHe","weakness unit","wrongCountForRules threshold in caller","None","parent","Short report cards","Can sound diagnostic if evidence thin","MEDIUM","Show q/wrong count next to badge."
S028,"חיזוק עדין","utils/parent-report-language/short-report-v2-copy.js",19,"tierWeaknessSupportHe","weakness/support unit","Lower severity weakness","None","parent","Short report cards","Parent-friendly","LOW","No action."
S029,"עדיין אין מספיק פרטים כאן כדי להאריך — עדיף להמשיך בתרגול קצר ואז לחזור לניסוח.","utils/parent-report-language/short-report-v2-copy.js",27,"evidenceExampleBodyFallbackHe","missing evidence example","No details","Fallback body","parent","Report evidence card","Typo risk: להאריך likely should be להעריך","LOW","Owner copy review."
S030,"הנתונים עדיין חלקיים, ולכן כדאי לאסוף עוד מידע לפני שקובעים כיוון סופי.","utils/parent-report-language/short-report-v2-copy.js",40,"v2ShortOverviewCannotConcludeHe","cannotConclude row","Topic engine cannot conclude","None","parent","Short report overview","Safe","LOW","No action."
S031,"עדיין אין מוקד ברור — השבוע כדאי לתרגל מעט בכמה נושאים ולראות מה נשאר יציב.","utils/parent-report-language/v2-parent-copy.js",13,"executiveV2HomeFocusHe","empty topFocusAreasHe","No focus areas","Fallback when areas empty","parent","Detailed executive section","Fallback gives broad advice without evidence","MEDIUM","Label as general habit not recommendation."
S032,"מבט כולל: עדיין אין מספיק נושאים בתקופה שנבחרה כדי לבנות תמונה ביתית ברורה.","utils/parent-report-language/v2-parent-copy.js",64,"executiveV2OverallConfidenceHe","units=0","No units","None","parent","Detailed executive section","Safe insufficient-data copy","LOW","No action."
S033,"יש נושאים שכדאי לשים עליהם לב השבוע — אפשר לתאם עם המורה או עם מטפל אם זה רלוונטי.","utils/parent-report-language/v2-parent-copy.js",90,"executiveV2CautionNoteHe","p4Length>0","High priority P4","None","parent","Detailed executive section","Mentions מטפל; can feel clinical/escalating","MEDIUM","Owner review tone and escalation conditions."
S034,"התרגול בתקופה שנבחרה עדיין מצומצם — כדאי לקרוא את הסיכום בעיון ולהמשיך לאסוף תרגול.","utils/parent-report-language/v2-parent-copy.js",100,"executiveV2ReportReadinessHe","unitsLength<8","Low report readiness","None","parent","Detailed executive section","Safe","LOW","No action."
S035,"אין כרגע פעולה ביתית חד-משמעית — השבוע כדאי תרגול קצר וממוקד כדי להבהיר את הכיוון.","utils/parent-report-language/v2-parent-copy.js",103,"homePlanV2EmptyFallbackHe","empty home plan","No clear action","Fallback","parent","Detailed home plan","Still proposes action after saying no clear action","MEDIUM","Frame as general habit, not personal recommendation."
S036,"בנושא הזה עדיין לא קובעים כיוון חזק — קודם עוד תרגול ממוקד באותו נושא.","utils/parent-report-language/v2-parent-copy.js",156,"topicRecommendationV2CautionGatedHe","output gating blocks firm conclusion","cannotConclude/gated","None","parent","Detailed topic recommendation","Safe","LOW","No action."
S037,"בפעילות שנשלחה מההורה","utils/parent-report-language/grade-insight-he.js",15,"evidenceSourcePhraseHe","primaryEvidenceSource=parent_assigned_activity","Caller chooses to expose source","Empty for unknown source","parent","Copilot/report insight append","Source visibility not universal","MEDIUM","Show source consistently near recommendations."
S038,"בתרגול עצמאי","utils/parent-report-language/grade-insight-he.js",16,"evidenceSourcePhraseHe","primaryEvidenceSource=self_practice","Caller chooses to expose source","Empty for unknown source","parent","Copilot/report insight append","Source visibility not universal","MEDIUM","Show source consistently."
S039,"לאחר עבודה בספר","utils/parent-report-language/grade-insight-he.js",17,"evidenceSourcePhraseHe","primaryEvidenceSource=learning_book","Caller chooses to expose source","Empty for unknown source","parent","Copilot/report insight append","Book activity may be confused with diagnostic evidence","HIGH","Ensure book source has zero diagnostic weight and visible context."
S040,"התרגול בוצע מתחת לכיתה הרשומה, ולכן קושי כאן עשוי להעיד על צורך בחיזוק היסודות...","utils/parent-report-language/grade-insight-he.js",65,"gradeScopeMeaningHe","gradeRelation=lower needsSupport=true","Caller passes needsSupport","Empty for unknown relation","parent","Report/Copilot grade insight","Good context; can sound strong if evidence thin","MEDIUM","Require q/confidence display."
S041,"הילד הצליח גם מעל רמת הכיתה בנושא הזה — אפשר לשקול להעלות קושי...","utils/parent-report-language/grade-insight-he.js",75,"gradeScopeMeaningHe","gradeRelation=higher isStrength=true","Caller passes isStrength","Empty for unknown relation","parent","Report/Copilot grade insight","Actionable promotion; must be gated","MEDIUM","Only use when strength evidence threshold is met."
S042,"התרגול בוצע מעל רמת הכיתה הרשומה, כך שקושי כאן צפוי יותר ולא בהכרח מעיד על פער בתוכן הכיתה.","utils/parent-report-language/grade-insight-he.js",78,"gradeScopeMeaningHe","gradeRelation=higher needsSupport=true","Caller passes needsSupport","Empty for unknown relation","parent","Report/Copilot grade insight","Safe anti-overclaim wording","LOW","Add direct tests for higher+weak."
S043,"נראה שיש שליטה ב{topic}; כדאי לשקול להפנות חלק מזמן התרגול לנושא אחר...","utils/parent-report-language/grade-insight-he.js",98,"masteryReallocationHe","topicName + strong repeated practice","Caller decides; Copilot q>=24 in composer","Generic if topic missing","parent","Copilot progression/strength","May over-direct study allocation","MEDIUM","Keep q>=24 and add owner approval."
S044,"כדאי לתרגל חיסור במספרים קטנים בעזרת חפצים...","utils/parent-report-language/grade-aware-recommendation-templates.js",26,"GRADE_AWARE_RECOMMENDATION_TEMPLATES","taxonomy M-09 grade band g1_g2","Resolver match taxonomy+grade+slot","Null if no template","parent","Report recommendations","Approved targeted action","LOW","No action."
S045,"actionTextHe: null for M-04 g1_g2 formal fractions.","utils/parent-report-language/grade-aware-recommendation-templates.js",104,"GRADE_AWARE_RECOMMENDATION_TEMPLATES","taxonomy M-04 grade band g1_g2","Resolver returns null","May fall back to raw intervention unless omitted","parent","Report recommendations","Template gap can produce no rec or unapproved fallback","MEDIUM","Owner decide no-rec vs approved generic fallback."
S046,"M-03 default: no approved parent copy; use bucketOverrides ... or engine fallback.","utils/parent-report-language/grade-aware-recommendation-templates.js",156,"GRADE_AWARE_RECOMMENDATION_TEMPLATES","taxonomy M-03 default bands","No bucket override","Raw fallback possible","parent","Report recommendations","Engine fallback may be less parent-approved","HIGH","Prefer no recommendation over raw fallback unless approved."
S047,"ב{name} מומלץ להישאר בינתיים באותה רמה...","utils/parent-report-recommendation-consistency.js",129,"resolveUnitParentActionHe","canonicalState.recommendation.family=expand_cautiously","recommendation.allowed=true","Fallback to grade-aware/raw only after canonical","parent","Report recommendation","Good canonical strength/action text","LOW","No action."
S048,"ב{name} מומלץ להמשיך באותה רמה...","utils/parent-report-recommendation-consistency.js",137,"resolveUnitParentActionHe","canonicalState.recommendation.family=maintain","recommendation.allowed=true","Fallback to grade-aware/raw only after canonical","parent","Report recommendation","Safe if recommendation.allowed correct","LOW","No action."
S049,"actionState withhold/probe_only returns null parentActionHe.","utils/parent-report-recommendation-consistency.js",145,"resolveUnitParentActionHe","actionState=withhold or probe_only","Gate blocks recommendation","No action shown","parent","Report recommendation","Safe blocker against unsupported recommendations","LOW","Keep regression tests."
S050,"fallback uses unit.intervention.immediateActionHe or unit.probe.specificationHe.","utils/parent-report-recommendation-consistency.js",158,"resolveUnitParentActionHe","no gradeAware template, no noRaw guard","actionState not withhold/probe_only","fallback raw engine text","parent","Report recommendation","Raw intervention may not be owner-approved Hebrew","HIGH","Audit all raw fallback outputs; default to null for launch."
S051,"המערכת זיהתה קושי בפירוק מספר לעשרות ואחדות...","utils/parent-report-language/parent-diagnostic-explanations-he.js",35,"resolveApprovedParentDiagnosticExplanationV1","taxonomy M-01 diagnosis","status=approved + diagnosis exists","null when not approved","parent","Diagnostic explanation card","Approved but wording says system detected; strong phrasing","MEDIUM","Owner decide whether 'זיהתה' is acceptable."
S052,"Only approved catalog entries render; do not invent Hebrew at runtime.","utils/parent-report-language/parent-diagnostic-explanations-he.js",3,"resolveApprovedParentDiagnosticExplanationV1","lookupKey/taxonomyId","status must be approved","return null for unmapped/not approved","parent","Diagnostic explanation card","Strong safety design","LOW","Keep catalog approval workflow."
S053,"בחירת כפל לא מתאים לחילוק","utils/parent-report-language/parent-facing-pattern-label-he.js",10,"M10_ENGINE_PATTERN_HE","taxonomy M-10 raw pattern","Must be remapped","parentFacingM10PatternLabelHe","parent/internal","Should not be visible","Internal leakage blocker","BLOCKER","Add leak tests for every parent surface."
S054,"קושי בקישור בין כפל לחילוק","utils/parent-report-language/parent-facing-pattern-label-he.js",14,"parentFacingM10PatternLabelHe","M-10 division buckets","M10 and not thin/unclear","thinFallback if evidence unclear","parent","Pattern label","Safe parent-facing remap","LOW","No action."
S055,"קושי חוזר בחילוק — כדאי לחזק את הקשר לכפל","utils/parent-report-language/parent-facing-pattern-label-he.js",16,"parentFacingM10PatternLabelHe","M-10 thin/unclear evidence","conf low/contradictory/cannotConclude/q<10 etc.","Fallback label","parent","Pattern label","Says recurring difficulty even when thin/unclear","MEDIUM","Consider 'ייתכן קושי' wording for thin fallback."
S056,"יש טעויות שחוזרות כאן","utils/diagnostic-labels-he.js",18,"GENERIC_WEAKNESS_HE","missing specific label","last resort","None","parent","Weakness labels","May imply pattern without enough mapped evidence","MEDIUM","Use 'נושא שכדאי לבדוק שוב' for low-confidence fallback."
S057,"נושא שכדאי לבדוק שוב","utils/diagnostic-labels-he.js",271,"PARENT_TOPIC_FALLBACK_HE","unsafe/unknown taxonomy snippet","rewrite fallback","None","parent","Weakness labels","Safer than generic weakness","LOW","Prefer this for unknown mappings."
S058,"ראיות סותרות או נגד ראיה חזקה","utils/diagnostic-engine-v2/output-gating.js",147,"applyOutputGating","confidence=contradictory or counterEvidenceStrong","hardDeny","Gating reason array","internal/possibly parent if leaked","Trace/debug","Internal Hebrew could leak","MEDIUM","Do not render gating.reasons directly without parent copy layer."
S059,"נתונים לא מספיקים לפי מדיניות הביטחון","utils/diagnostic-engine-v2/output-gating.js",155,"applyOutputGating","confidence=insufficient_data","hardDeny","Gating reason array","internal/possibly parent if leaked","Trace/debug","Uses ביטחון (confidence) internal; product forbids confidence for child","MEDIUM","Map to parent copy before surface."
S060,"ביטחון נמוך — כדאי לאסוף עוד תרגול לפני אבחנה מלאה","utils/diagnostic-engine-v2/output-gating.js",184,"applyOutputGating","confidence=low","probeOnly/confidenceOnly","Gating reason array","internal/possibly parent if leaked","Trace/debug","Internal term אבחנה מלאה must not surface","HIGH","Block direct rendering of outputGating.reasons."
S061,"נראה שיש קושי ב{label}, בעיקר לפי התרגולים האחרונים.","lib/parent-server/parent-report-parent-facing.server.js",181,"buildParentInsightsHe","weakest subject accuracy < 60","allowStrongStudent and visible questions > 0","Generic insights fallback otherwise","parent","parentFacing.insights API","Threshold min subject answers is 5, lower than subject policy 8","HIGH","Align with subject evidence policy or show q."
S062,"הביצועים הכלליים בתקופה מצביעים על צורך בחיזוק נוסף.","lib/parent-server/parent-report-parent-facing.server.js",199,"buildParentInsightsHe","overallAccuracy <60 totalAnswers>=5","allowStrongStudent","None","parent","parentFacing.insights API","Generalizes across subjects at low total volume","HIGH","Raise threshold or make wording explicitly preliminary."
S063,"כדאי לשים לב ל{topicLine} — זה נושא שחוזר בתרגולים.","lib/parent-server/parent-report-parent-facing.server.js",226,"buildParentInsightsHe","weak topic diagnosticAnswers>=3 acc<60","allowsStrongParentTopicInsight","None","parent","parentFacing.insights API","Topic recommendation threshold 3 is very low","HIGH","Align with topic evidence thresholds."
S064,"מומלץ לשמור על תרגול קצר וקבוע כדי ליצור רצף למידה.","lib/parent-server/parent-report-parent-facing.server.js",231,"buildParentInsightsHe","no insights","Default fallback","None","parent","parentFacing.insights API","General advice safe but can appear as personalized recommendation","LOW","Label as general habit."
S065,"להתחיל מתרגול קצר של 5–10 דקות, פעם ביום, כדי לבנות הרגל נעים.","lib/parent-server/parent-report-parent-facing.server.js",299,"buildHomeRecommendationsHe","totalAnswers=0","No data","Default rec","parent","parentFacing.homeRecommendations","Safe habit, not evidence-based","LOW","Mark as general starter suggestion."
S066,"יש לשים לב לבעיות מילוליות — מומלץ לתרגל יחד לאט ולבדוק דרך פתרון.","lib/parent-server/parent-report-parent-facing.server.js",290,"buildHomeRecommendationsHe","weakTopic word problems","allowsStrongParentTopicInsight","None","parent","parentFacing.homeRecommendations","Can be shown with only 3 topic answers","HIGH","Require topic q>=8 or phrase as preliminary."
S067,"מהתרגול המועט שנאסף אפשר לקבל כיוון ראשוני בלבד.","utils/parent-report-ai/parent-report-ai-explainer.js",86,"getDeterministicParentReportExplanation","dataCoverage=thin","Deterministic fallback or no API key","AI path fallback","parent","Parent AI explanation","Safe thin-data caution","LOW","No action."
S068,"כיוון שכדאי לחזק בתרגול הביתי והשיעורי: {mainPracticeNeeds}","utils/parent-report-ai/parent-report-ai-explainer.js",106,"getDeterministicParentReportExplanation","mainPracticeNeeds present","Input builder includes practice needs","None","parent","Parent AI explanation","Can sound like recommendation if mainPracticeNeeds from weak data","MEDIUM","Ensure input builder excludes thin/withheld needs."
S069,"You only output valid minified JSON with a Hebrew text field.","utils/parent-report-ai/parent-report-ai-explainer.js",174,"callOpenAiParentExplanation","strict explainer prompt","API key present","deterministic fallback","parent","Parent AI explanation","System prompt in English; output constrained","LOW","No action."
S070,"מהתרגול של {studentName} בתקופה זו ניתן לקבל כיוון ראשוני בלבד...","utils/parent-report-ai-narrative/deterministic-fallback.js",45,"buildSummary","data coverage thin/low","Fallback or LLM disabled/failed","Deterministic fallback","parent","AI narrative block / PDF first paint","Safe thin-data wording","LOW","No action."
S071,"חשוב לזכור שהנתונים בתקופה זו מועטים — מדובר בכיוון ראשוני בלבד...","utils/parent-report-ai-narrative/deterministic-fallback.js",112,"buildCautionNote","thinDataWarnings overall","Fallback or required caution","Deterministic fallback","parent","AI narrative cautionNote","Safe caution","LOW","No action."
S072,"אם required_caution_note_he קיים חובה להעתיק אותו אות-באות ל-cautionNote.","utils/parent-report-ai-narrative/prompt.js",28,"buildNarrativePrompt","AI narrative input required_caution_note_he","LLM enabled","Validator fallback if failed","parent","AI narrative block","Strong safety rule","LOW","Test exact-copy behavior."
S073,"אסור לכלול מפתחות באנגלית כמו multiplication_table או reading_comprehension בטקסט הגלוי.","utils/parent-report-ai-narrative/prompt.js",26,"buildNarrativePrompt","AI narrative candidates/source ids","Always in prompt","Validator catches raw English keys","parent","AI narrative block","Good internal-label guard","LOW","No action."
S074,"summary/strengths/focusAreas/homeTips JSON from LLM.","utils/parent-report-ai-narrative/index.js",75,"buildParentReportAINarrative","Insight packet projection","LLM enabled and packet ready","deterministic fallback on any failure","parent","AI narrative block","AI can choose wording among allowed candidates","MEDIUM","Keep sourceId validation and owner review samples."
S075,"emotional/confidence language validator blocks ביטחון/bטחון/confidence.","utils/parent-report-ai-narrative/validate-narrative-output.js",208,"validateNarrativeOutput","all AI narrative text fields","Always before accepting AI","Fallback on failure","parent","AI narrative block","Good guard; note engine internal still uses ביטחון","LOW","Keep parent/internal separation."
