"id","visible_text","file","line","parent_surface","source_type","source_field_or_function","display_condition","required_data","risk","severity","recommendation"
"P026","מקצוע: {subject} · נושא: {topic} / סטטוס / תשובות / נכונות / ציון / התחלה / סיום","components/parent/ParentSentActivitiesPanel.jsx","98-109","Activity results modal","generated_from_payload","activity detail rendering","activity detail exists","subject,topic,status,answers,correct,score,dates","Does not explain whether activity affects report/diagnosis/rewards","medium","Add QA scenario to verify report linkage wording."
"P027","פירוט תשובות / שאלה {N}: נכון/לא נכון / אפשרויות / תשובה / תשובה נכונה","components/parent/ParentSentActivitiesPanel.jsx","115-154","Activity results modal","generated_from_payload","questions/attempts mapping","questions or attempts exist","question text, choices, selected/correct answers","RTL risk for mixed text/numbers","medium","Run RTL visual test with English/math/numeric answers."
"P028","חזרה לדוח מורה / לוח בקרה","components/parent/ParentReportExitNav.jsx","30,33","Report navigation","static","teacher source nav","source=teacher","remote.studentId","None","low","No action."
"P029","חזור לדוח הורים / חזרה לפורטל הורים","components/parent/ParentReportExitNav.jsx","51,55","Report navigation","static","parent source nav","source=parent/default","router","None","low","No action."
"P030","טוען דוח...","pages/learning/parent-report.js","1326","Short parent report","static","loading state","report loading","isLoading","None","low","No action."
"P031","נדרשת התחברות / אין גישה / שגיאת רשת / לא ניתן לטעון","pages/learning/parent-report.js","1102-1167,1339","Short parent report","error_state","remote report fetch/auth errors","API/auth failure","studentId,source,session","Some paths may show generic or server-provided text","medium","Verify all remote errors are Hebrew."
"P032","דוח להורים","pages/learning/parent-report.js","1383","Short parent report empty","static","empty report header","no summary data","report.summary","None","low","No action."
"P033","אין עדיין מספיק פעילות בתקופה שנבחרה. אחרי קצת תרגול יופיע כאן סיכום.","pages/learning/parent-report.js","1385-1387","Short parent report empty","empty_state","no report or zero questions/time","summary.totalQuestions=0,totalTimeMinutes=0","report summary","Can hide data fetch/localStorage truth failure","medium","Add QA case separating no activity from failed data source."
"P034","בחר תקופה:","pages/learning/parent-report.js","1392","Short parent report empty","static","empty-state range chooser","empty report screen","none","None","low","No action."
"P035","יום / שבוע / חודש / שנה / תאריכים מותאמים / מתאריך / עד תאריך / הצג","components/reporting/ReportDateRangeControl.jsx","67,77,86,96,106,113,126,146","Report date range","static","range control rendered","report range props","dates","RTL/LTR date input risk","medium","Run RTL/date visual check on screen and print."
"P036","זמן כולל / שאלות / דיוק כללי / רמה","pages/learning/parent-report.js","summary cards","Short report summary","generated_from_payload","report summary cards","report loaded","summary.totalTimeMinutes,totalQuestions,accuracy,level","Time can be estimated/fallback upstream","high","Verify displayed time truth and label estimated time if needed."
"P037","מצב הנתונים בדוח","components/parent/ParentReportDataHealthNote.jsx","35","Report data health","static","data health note","has thin/not-practiced/dataQuality/mixedGrade","diagnosticOverviewHe","Protective copy","low","Keep visible in PDF parity tests."
"P038","נתונים מצומצמים במקצועות: {thinEvidenceSubjectsHe.join(' · ')}","components/parent/ParentReportDataHealthNote.jsx","41","Report data health","generated_from_payload","thin evidence list","thinEvidenceSubjectsHe.length > 0","thinEvidenceSubjectsHe","Protective copy","low","Keep visible near recommendations."
"P039","{subjectLabel}: לא תורגל בתקופה שנבחרה","utils/parent-report-language/subject-evidence-policy.js","58-59","Data health/diagnostics","generated_from_payload","zeroEvidenceSubjectLineHe","questionCount=0","subjectQuestionCounts","Protects against false weakness claim","low","Verify shown wherever subject omitted."
"P040","{subjectLabel}: {n} שאלות בתקופה שנבחרה — עדיין מעט מידע; כדאי להמשיך לתרגל ולבדוק שוב","utils/parent-report-language/subject-evidence-policy.js","66-68","Data health/diagnostics","generated_from_payload","thinEvidenceSubjectLineHe","1 <= questionCount < 8","subjectQuestionCounts","Protective thin-data wording","low","Verify accompanies all thin recommendations."
"P041","סיכום חכם להורה / תובנה להורה","components/ParentReportInsight.jsx","143,155","Report AI insight","ai_generated","ParentReportInsight heading","explanation.ok","parentAiExplanation","Source can differ between AI and deterministic fallback","medium","Check UI/PDF timing for same payload."
"P042","מה הולך טוב / תחומים לחיזוק / טיפים לבית","components/ParentReportInsight.jsx","88,99,110","Report AI insight","generated_from_payload","StructuredBlock","structured explanation sections exist","summary,strengths,focusAreas,homeTips","Generated bullets can sound definitive","medium","Ensure cautionNote appears when evidence is thin."
"P043","סיכום נכתב על ידי מודל AI על בסיס נתוני הדוח, ועבר אימות בטיחות לפני הצגה.","components/ParentReportInsight.jsx","147","Report AI insight","ai_generated","sourceLabel","structuredSource/source is ai","explanation.structuredSource","May imply correctness rather than safety validation","medium","Consider QA/content review of wording."
"P044","סיכום זה נבנה אוטומטית מנתוני הדוח (גרסה דטרמיניסטית) ועבר אימות בטיחות לפני הצגה.","components/ParentReportInsight.jsx","148","Report AI insight","fallback","sourceLabel","structured deterministic fallback","explanation.source","May still imply validated correctness","medium","Review wording with AI/Copilot owner."
"P045","הודעות מהמורה / מה חשוב לדעת / מה מומלץ לעשות בבית","components/parent/ParentReportParentSections.jsx","82,119,132","Parent report sections","generated_from_payload","ParentReportParentSections","parentFacing has messages/insights/recs","parentFacing payload","Teacher/server body can carry unverified text","medium","Add provenance/QA for body text."
"P046","הבהרה חשובה","components/ParentReportImportantDisclaimer.js","13","Report and PDF disclaimer","static","disclaimer component","rendered in report","none","Protective copy","low","Verify appears in short and detailed PDF."
"P047","הדוח, ההמלצות והתובנות במסמך זה נגזרות מתוך נתוני התרגול והשימוש במערכת... אינם מהווים אבחון חינוכי...","components/ParentReportImportantDisclaimer.js","17-25","Report and PDF disclaimer","static","disclaimer body","rendered in report","none","Protective but not substitute for specific hedges","low","Do not rely on disclaimer instead of local wording."
"P048","מידע מועט בנושא — כדאי להמשיך בתרגול לפני שקובעים כיוון חד משמעי.","utils/parent-report-v2.js","896-897","Diagnostic evidence","fallback","INSUFFICIENT_EVIDENCE_LINE_HE","no evidence lines","row/unit evidence","Cautious fallback but hides why evidence missing","medium","Verify visible near any withheld recommendation."
"P049","ביצועים גבוהים ועקביים — נראה שליטה טובה בנושא.","utils/parent-report-v2.js","914-915","Strength","generated_from_payload","v2PositiveStrengthBodyHe","positive strength selected","unit state/accuracy","Can sound strong without explicit question count","medium","Require N/accuracy nearby in UI."
"P050","על סמך {q} שאלות בנושא, נראית שליטה יציבה עם דיוק של {acc}%.","utils/parent-report-v2.js","928-929","Strength","generated_from_payload","v2PositiveStrengthBodyFromUnitHe","volume questions > 0","evidenceTrace volume","Good because includes N; risk if q small","medium","Gate q before 'יציבה'."
"P051","עד כמה הנתונים מבוססים כרגע: מוגבלת/בינונית/טובה.","utils/parent-report-v2.js","894,981","Evidence strength","generated_from_payload","collectDiagnosticEvidenceLinesHe","evidenceStrength exists","contractsV1/evidence","Helpful evidence label","low","Verify not hidden in summary PDF."
"P052","בנושא {name}: עדיף עוד קצת תרגול לפני שקובעים כיוון סופי.","utils/parent-report-v2.js","1546-1603","Diagnostic summary","fallback","summarizeV2UnitsForSubject fallback","withhold/probe/no pattern","unit actionState","Cautious fallback","low","No action."
"P053","חלק מהתרגול בוצע בכיתה שונה מהכיתה הרשומה, ולכן הוא מוצג בנפרד.","utils/parent-report-v2.js","2457-2458","Grade/source health","generated_from_payload","mixedGradePracticeNoteHe","gradeRelation lower/higher exists","gradePracticeMeta","Important distinction may be visually weak","medium","Verify visible near grade-specific findings."
"P054","כבר רואים כיוון ברור בנושא הזה.","utils/parent-report-language/confidence-parent-he.js","9-10","Confidence summary","generated_from_payload","confidenceLevelParentSummaryHe","confidence=high","unit.confidence.level","Strong wording","medium","Require evidence count nearby."
"P055","יש כיוון ראשוני בנושא הזה, אבל צריך עוד תרגולים כדי לוודא שהוא יציב.","utils/parent-report-language/confidence-parent-he.js","11-12","Confidence summary","generated_from_payload","confidenceLevelParentSummaryHe","confidence=moderate","unit.confidence.level","Cautious wording","low","No action."
"P056","בתקופה שנבחרה עדיין מעט חומר לנושא — עוד קצת תרגול ייצר תמונה ברורה יותר.","utils/parent-report-language/confidence-parent-he.js","17-18","Confidence summary","generated_from_payload","confidenceLevelParentSummaryHe","confidence=insufficient_data","unit.confidence.level","Protective wording","low","No action."
"P057","הילד הצליח גם מעל רמת הכיתה בנושא הזה — אפשר לשקול להעלות קושי או להתקדם לנושא מתקדם יותר.","utils/parent-report-language/grade-insight-he.js","73-75","Grade insight","generated_from_payload","gradeScopeMeaningHe","higher/enrichment + isStrength","gradeRelation,evidenceScope,isStrength","Could be overconfident if evidence thin","high","Require question count and confidence near this sentence."
"P058","התרגול בוצע מעל רמת הכיתה הרשומה, כך שקושי כאן צפוי יותר ולא בהכרח מעיד על פער בתוכן הכיתה.","utils/parent-report-language/grade-insight-he.js","77-78","Grade insight","generated_from_payload","gradeScopeMeaningHe","higher + needsSupport","gradeRelation,needsSupport","Protective wording","low","No action."
"P059","התרגול בוצע מתחת לכיתה הרשומה, ולכן קושי כאן עשוי להעיד על צורך בחיזוק היסודות בנושא לפני שמתקדמים לרמת הכיתה.","utils/parent-report-language/grade-insight-he.js","63-65","Grade insight","generated_from_payload","gradeScopeMeaningHe","lower + needsSupport","gradeRelation,needsSupport","Can label foundation weakness strongly","medium","Require enough evidence and source display."
"P060","נראה שיש שליטה ב{topicName}; כדאי לשקול להפנות חלק מזמן התרגול לנושא אחר שדורש יותר תשומת לב.","utils/parent-report-language/grade-insight-he.js","98-102","Reallocation insight","generated_from_payload","masteryReallocationHe","caller selects mastery insight","topicName/mastery state","Could move parent away from topic too early","high","Verify caller gates on strong evidence."
"P061","לא הייתה פעילות תרגול בתקופה האחרונה — כדאי לעודד התחלה קצרה ונעימה.","lib/parent-server/parent-report-parent-facing.server.js","166-167","Parent report API payload","generated_from_payload","buildParentFacingInsights","totalAnswers=0 && totalSessions=0","summary totalAnswers,totalSessions","Good no-data distinction","low","No action."
"P062","יש עדיין מעט נתוני תרגול — מומלץ לשמור על תרגול קצר וקבוע.","lib/parent-server/parent-report-parent-facing.server.js","170-171,214-215","Parent report API payload","generated_from_payload","buildParentFacingInsights","totalAnswers < 15 or softened","totalAnswers,softenStudentInsights","Cautious wording","low","No action."
"P063","נראה שיש קושי ב{weakest.label}, בעיקר לפי התרגולים האחרונים.","lib/parent-server/parent-report-parent-facing.server.js","180-181","Parent report API payload","generated_from_payload","buildParentFacingInsights","weak subject threshold passes","weakest subject,question counts,accuracy","Sounds diagnostic; may be based on low volume","critical","Raise launch blocker until threshold/parity proven."
"P064","יש טעויות חוזרות ב{lab} — שווה לחזור עליהן בקצב איטי.","lib/parent-server/parent-report-parent-facing.server.js","188-190","Parent report API payload","generated_from_payload","buildParentFacingInsights","weak topic detected","topicLabel,evidence count","Can imply repeated weakness","high","Verify recurrence threshold and show N."
"P065","יש התקדמות יחסית ב{strongest.label} — כדאי לשמר את הרצף.","lib/parent-server/parent-report-parent-facing.server.js","207-208","Parent report API payload","generated_from_payload","buildParentFacingInsights","strongest subject detected","subject accuracy/questions","May imply trend without prior-period proof","high","Confirm detectImprovement/trend source or soften."
"P066","להקדיש 10 דקות ביום לתרגול קצר במתמטיקה... / לפתור כמה שאלות קלות... / מומלץ לשמור על תרגול קצר וקבוע...","lib/parent-server/parent-report-parent-facing.server.js","270-302","Home recommendations","template","buildParentFacingHomeRecommendations","weakest/totalAnswers paths","weakest subject,totalAnswers","Recommendation can appear from weak aggregate without topic evidence","medium","Show evidence/source beside recommendation."
"P067","נושא לחיזוק: {topicLabelHe} / מוקד לתרגול: {focusLabelHe}","lib/parent-server/parent-report-diagnostic-visible.server.js","181-183","Diagnostic visible payload","generated_from_payload","buildDiagnosticVisibleLines","diagnostic metadata eligible","topicLabelHe,focusLabelHe","Can label weakness strongly","high","Verify eligibility threshold and PDF visibility."
"P068","דוח מקיף לתקופה","pages/learning/parent-report-detailed.js","1539","Detailed report","static","document header","payload exists","payload","None","low","No action."
"P069","תקציר להדפסה / דוח מלא","pages/learning/parent-report-detailed.js","1542","Detailed report/PDF","pdf_rendered","displayMode label","displayMode summary/full","displayMode","Summary PDF differs from full UI","high","Add PDF parity check per mode."
"P070","טווח תאריכים: {start} – {end} | מצב תקופה: שבוע/חודש/תאריכים מותאמים","pages/learning/parent-report-detailed.js","1548-1551","Detailed report","generated_from_payload","periodInfo rendering","payload exists","pi.startDateLabelHe,endDateLabelHe,period","Date RTL risk","medium","Verify visual order in PDF."
"P071","מה עשינו בתקופה הזאת / כיסוי לפי מקצוע","pages/learning/parent-report-detailed.js","1558,1579","Detailed report","static","section titles","payload exists","payload","None","low","No action."
"P072","מקצועות שלא תורגלו בתקופה / מקצועות בולטים","pages/learning/parent-report-detailed.js","1605,1613","Detailed report","generated_from_payload","overallSnapshot lists","payload exists","lowExposureSubjectsHe,notableSubjectsHe","Protective if complete","low","Verify zero subjects included."
"P073","מקוצר: מילה לכל מקצוע / פירוט מקצועי נוסף","pages/learning/parent-report-detailed.js","1675,1683","Detailed summary mode","pdf_rendered","summary display mode","displayMode=summary","visibleSubjectProfiles,subjectContracts","Can hide evidence depth","high","Label summary as partial and compare with full PDF."
"P074","אין מקצועות עם מספיק נתונים להצגה בתקופה שנבחרה.","pages/learning/parent-report-detailed.js","1697,1847","Detailed report","empty_state","!visibleSubjectProfiles.length","no visible subject profiles","subjectQuestionCount filter","Can hide unpracticed subject list if elsewhere omitted","medium","Ensure data-health section remains visible."
"P075","מקצועות הלימוד / שאלות: {N} | דיוק: {ACC}%","pages/learning/parent-report-detailed.js","1710,1719-1720","Detailed report","generated_from_payload","subject profile header","subject profile visible","subjectQuestionCount,subjectAccuracy","Good numeric grounding","low","No action."
"P076","דוגמאות מהתרגול — לעיון ההורים, בלי צורך לעבור על הכול בבת אחת.","pages/learning/parent-report-detailed.js","1743-1744","Detailed report","static","evidence examples section","sp.evidenceExamples.length","evidenceExamples","Could expose raw generated question text","medium","Run RTL/escaping check for examples."
"P077","תמונת מצב לפי נושאים","pages/learning/parent-report-detailed.js","1761","Detailed report","static","topic overview title","topicOverviewRows exist","topicOverviewRows","None","low","No action."
"P078","נושאים שדורשים ליווי בתקופה שנבחרה","pages/learning/parent-report-detailed.js","1787","Detailed report","generated_from_payload","topicRecommendations section","topicRecommendations.length","topicRecommendations","Strong label implies weakness/support need","high","Verify topicRecommendations gate and N."
"P079","פירוט נוסף למי שרוצה להעמיק","pages/learning/parent-report-detailed.js","1855","Detailed report/PDF","pdf_rendered","technical details summary","always in payload report","executive/home plan data","Print may show collapsed details differently","medium","Check screen vs print details behavior."
"P080","הדפס מלא / הדפס תקציר / חזרה ללמידה","pages/learning/parent-report-detailed.js","1892,1899,1905","Detailed report controls","static","no-pdf controls","payload loaded","none","None","low","No action."
"P081","שאלו על הדוח","components/parent-copilot/parent-copilot-panel.jsx","242","Copilot panel","static","panel header","ParentCopilotShell rendered","payload","Not included in PDF","high","Decide whether Copilot answers need export/history."
"P082","מידע על שימוש ב-AI","components/parent-copilot/parent-copilot-panel.jsx","247","Copilot panel","static","AI disclosure link","panel rendered","none","None","low","No action."
"P083","אפשר לשאול כאן בחופשיות על הדוח...","components/parent-copilot/parent-copilot-panel.jsx","250-251","Copilot panel","static","panel intro","panel rendered","payload","Could invite broad questions beyond evidence","medium","Verify guardrails for off-report questions."
"P084","מעבד את הדוח…","components/parent-copilot/parent-copilot-panel.jsx","90","Copilot panel","static","processing line","busy turn","utterance","None","low","No action."
"P085","מה לעשות היום בבית? / מה לעשות השבוע? / מה לא לעשות עכשיו? / להתקדם או להמתין? / איך להסביר לילד? / שאלה למורה","components/parent-copilot/parent-copilot-panel.jsx","197-207","Copilot quick actions","static","quick action preset mapping","quickActions available","lastResponse.quickActions","Action prompts may generate advice not exported to PDF","high","Review with AI/Copilot owner."
"P086","לא ניתן לענות על השאלה כרגע. נסו שוב בעוד רגע.","components/parent-copilot/parent-copilot-panel.jsx","152-155","Copilot error","error_state","submit catch fallback","turn error","exception/message","Hides validator vs network vs auth reason","medium","Map error categories for parent-facing QA."
"P087","כדאי לתרגל... / בשבוע הקרוב התמקדו...","utils/parent-report-language/grade-aware-recommendation-templates.js","26-568+","Recommendations catalog","template","resolveGradeAwareParentRecommendationHe","taxonomy+grade+bucket slot found","subjectId,gradeKey,taxonomyId,bucketKey","Recommendation safety depends on upstream gate","high","Audit generated examples per taxonomy with thin/zero data."
"P088","להתמקד השבוע... / הדוח חלקי... / תמונה מעורבת... / כדאי לייצב לאט...","utils/detailed-parent-report.js","493-570,1466-1482","Executive summary","generated_from_payload","buildExecutiveSummary/buildHomeFocusHe","detailed payload built","summary,crossRisks,coverage,accuracy","Can synthesize broad conclusions across subjects","high","Run payload matrix for sparse/mixed/high-volume cases."
"P089","PDF/print hides .no-pdf and prints report DOM","pages/learning/parent-report.js; pages/learning/parent-report-detailed.js","1416-1506;1517-1519","PDF/export","pdf_rendered","print CSS and no-pdf wrapper","window.print/displayMode","DOM text","PDF not guaranteed to match screen/Copilot","critical","Run extracted text comparison UI vs PDF."
