id,route_or_flow,viewport,role,screenshot_path,issue_summary,severity,recommendation,reproducible_steps
VRT-022,/learning/book/math/g2/wp_coins_spent,mobile,student,07-screenshots/12-book-math-g2-coins-student-mobile.png,"BLOCKER — Internal Server Error","CRITICAL — blocker","כנ""""ל VRT-018",login iPhone → navigate /learning/book/math/g2/wp_coins_spent
VRT-023,/learning/book/geometry/g4/shapes_basic_properties_angles,desktop,student,07-screenshots/13-book-geo-g4-angles-student-desktop.png,"תקין — '90°' מוצג נכון ב-RTL context",PASS,,login → navigate book URL
VRT-024,/learning/book/geometry/g4/shapes_basic_properties_angles,mobile,student,07-screenshots/13-book-geo-g4-angles-student-mobile.png,"BLOCKER — Internal Server Error","CRITICAL — blocker","כנ""""ל VRT-018",login iPhone → navigate /learning/book/geometry/g4/...
VRT-025,/learning/book/geometry/g5/triangle_area,desktop,student,07-screenshots/14-book-geo-g5-triangle-student-desktop.png,"תקין — 'שטח = בסיס × גובה ÷ 2' — אופרטורי חשבון בLTR island — RTL קריא",PASS,,login → navigate book URL
VRT-026,/learning/book/geometry/g5/triangle_area,mobile,student,07-screenshots/14-book-geo-g5-triangle-student-mobile.png,"BLOCKER — Internal Server Error","CRITICAL — blocker","כנ""""ל VRT-018",login iPhone → navigate /learning/book/geometry/g5/...
VRT-027,/learning/book/geometry/g6/circle_area,desktop,student,07-screenshots/15-book-geo-g6-circle-student-desktop.png,"חשד RTL: 'בשיעור: π ≈ 3. 14.' — רווח חריג בין 3. ל-14","MEDIUM — דרוש חקירה DevTools","לבדוק BiDi rendering של '3.14' בתוך RTL container; לוודא <bdi dir='ltr'>3.14</bdi>",desktop: inspect element → בדוק computed layout של שורת הנוסחה
VRT-028,/learning/book/geometry/g6/circle_area,mobile,student,07-screenshots/15-book-geo-g6-circle-student-mobile.png,"BLOCKER — Internal Server Error","CRITICAL — blocker","כנ""""ל VRT-018",login iPhone → navigate /learning/book/geometry/g6/...
VRT-029,/learning/book/hebrew/g1/g1.phoneme_awareness,desktop,student,07-screenshots/16-book-heb-g1-phoneme-student-desktop.png,תקין — עברית RTL תקינה; audio button מוצג,PASS,,login → navigate book URL
VRT-030,/learning/book/hebrew/g1/g1.phoneme_awareness,mobile,student,07-screenshots/16-book-heb-g1-phoneme-student-mobile.png,"BLOCKER — Internal Server Error","CRITICAL — blocker","כנ""""ל VRT-018",login iPhone → navigate /learning/book/hebrew/g1/...
VRT-031,/learning/book/hebrew/g1/g1.basic_niqqud,desktop,student,07-screenshots/17-book-heb-g1-niqqud-student-desktop.png,"תקין — עברית RTL תקינה, כפתור האזנה מוצג ('האזנה לעמוד')",PASS,,login → navigate book URL
VRT-032,/learning/book/hebrew/g6/g6.critical_evaluation_light,desktop,student,07-screenshots/18-book-heb-g6-critical-student-desktop.png,תקין — עברית אקדמית RTL תקינה,PASS,,login → navigate book URL
VRT-033,/learning/book/hebrew/g6/g6.critical_evaluation_light,mobile,student,07-screenshots/18-book-heb-g6-critical-student-mobile.png,"BLOCKER — Internal Server Error","CRITICAL — blocker","כנ""""ל VRT-018",login iPhone → navigate /learning/book/hebrew/g6/...
VRT-034,/learning/book/geometry/g4/shapes_basic_properties_angles [RECHECK],mobile,student,07-screenshots/RECHECK-geo-g4-mobile.png,"PASS — RTL תקין לאחר recheck: '90°' מוצג נכון; ניווט RTL מלא; כותרות מסודרות",PASS,"ממצא חיובי — g4 אינו משתמש בchunk 20593",API login iPhone → navigate geo g4 → screenshot (fresh context)
VRT-035,/learning/book/geometry/g6/circle_area [RECHECK],mobile,student,07-screenshots/RECHECK-geo-g6-circle-mobile.png,"Cannot find module './20593.js' — Next.js Runtime Error overlay","MEDIUM — dev env: .next corruption from concurrent build","הפסקת dev → מחיקת .next → npm run dev → לא build במקביל",API login iPhone → navigate geo g6 → runtime error overlay
VRT-036,/learning/book/math/g2/sub_vertical [RECHECK],mobile,student,07-screenshots/RECHECK-math-g2-sub-vertical-mobile.png,"Cannot find module './20593.js' — Next.js Runtime Error overlay","MEDIUM — dev env: .next corruption","כנ""""ל VRT-035",API login iPhone → navigate math g2 → runtime error overlay
VRT-037,/learning/book/hebrew/g1/g1.phoneme_awareness [RECHECK],mobile,student,07-screenshots/RECHECK-heb-g1-phoneme-mobile.png,"Cannot find module './20593.js' — Next.js Runtime Error overlay","MEDIUM — dev env: .next corruption","כנ""""ל VRT-035",API login iPhone → navigate heb g1 → runtime error overlay
