severity,category,book,page,path,issue,evidence,recommendation
High,Duplicate text,english-g3,page-074.txt,audio-text/books/english-g3/pages/page-074.txt,"שורה זהה מופיעה פעמיים ברצף: ""I play football""","איך | אומרים | ""אני | משחק | כדורגל""? | I | play | football | I | play | football",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g3,page-081.txt,audio-text/books/english-g3/pages/page-081.txt,"שורה זהה מופיעה פעמיים ברצף: ""It is sunny""","איך | אומרים | ""בחוץ | שמש""? | It | is | sunny | It | is | sunny",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g3,page-088.txt,audio-text/books/english-g3/pages/page-088.txt,"שורה זהה מופיעה פעמיים ברצף: ""I play tennis""","איך | אומרים | ""אני | משחק | טניס""? | I | play | tennis | I | play | tennis",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g3,page-095.txt,audio-text/books/english-g3/pages/page-095.txt,"שורה זהה מופיעה פעמיים ברצף: ""The cat is under the bed""","איך | אומרים | ""החתול | מתחת | למיטה""? | The | cat | is | under | the | bed | The | cat | is | under | the | bed",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g3,page-102.txt,audio-text/books/english-g3/pages/page-102.txt,"שורה זהה מופיעה פעמיים ברצף: ""Do you like music?""","איך | שואלים | ""האם | אתה | אוהב | מוזיקה""? | Do | you | like | music? | Do | you | like | music?",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g3,page-109.txt,audio-text/books/english-g3/pages/page-109.txt,"שורה זהה מופיעה פעמיים ברצף: ""I brush my teeth""","איך | אומרים | ""אני | מצחצח | שיניים""? | I | brush | my | teeth | I | brush | my | teeth",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g3,page-116.txt,audio-text/books/english-g3/pages/page-116.txt,"שורה זהה מופיעה פעמיים ברצף: ""The big dog runs fast""","איך | אומרים | ""הכלב | הגדול | רץ | מהר""? | The | big | dog | runs | fast | The | big | dog | runs | fast",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g3,page-123.txt,audio-text/books/english-g3/pages/page-123.txt,"שורה זהה מופיעה פעמיים ברצף: ""I go to bed""","איך | אומרים | ""אני | הולך/ת | לישון""? | I | go | to | bed | I | go | to | bed",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g3,page-130.txt,audio-text/books/english-g3/pages/page-130.txt,"שורה זהה מופיעה פעמיים ברצף: ""I like to draw""","איך | אומרים | ""אני | אוהב/ת | לצייר""? | I | like | to | draw | I | like | to | draw",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g4,page-004.txt,audio-text/books/english-g4/pages/page-004.txt,"שורה זהה מופיעה פעמיים ברצף: ""The birds are flying""","איך | אומרים | ""הציפורים | עפות"" | (עכשיו)? | The | birds | are | flying | The | birds | are | flying",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g4,page-011.txt,audio-text/books/english-g4/pages/page-011.txt,"שורה זהה מופיעה פעמיים ברצף: ""He washes his hands""","איך | אומרים | ""הוא | שוטף | את | ידיו""? | He | washes | his | hands | He | washes | his | hands",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g4,page-018.txt,audio-text/books/english-g4/pages/page-018.txt,"שורה זהה מופיעה פעמיים ברצף: ""They feel excited""","איך | אומרים | ""הם/הן | נרגשים/ות""? | They | feel | excited | They | feel | excited",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g4,page-025.txt,audio-text/books/english-g4/pages/page-025.txt,"שורה זהה מופיעה פעמיים ברצף: ""My parents work hard""","איך | אומרים | ""ההורים | שלי | עובדים | קשה""? | My | parents | work | hard | My | parents | work | hard",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g4,page-032.txt,audio-text/books/english-g4/pages/page-032.txt,"שורה זהה מופיעה פעמיים ברצף: ""We eat healthy food""","איך | אומרים | ""אנחנו | אוכלים | מזון | בריא""? | We | eat | healthy | food | We | eat | healthy | food",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g4,page-039.txt,audio-text/books/english-g4/pages/page-039.txt,"שורה זהה מופיעה פעמיים ברצף: ""The students read books""","איך | אומרים | ""התלמידים | קוראים | ספרים""? | The | students | read | books | The | students | read | books",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g4,page-046.txt,audio-text/books/english-g4/pages/page-046.txt,"שורה זהה מופיעה פעמיים ברצף: ""She is swimming now""","איך | אומרים | ""היא | שוחה | עכשיו""? | She | is | swimming | now | She | is | swimming | now",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g4,page-053.txt,audio-text/books/english-g4/pages/page-053.txt,"שורה זהה מופיעה פעמיים ברצף: ""It is raining today""","איך | אומרים | ""היום | יורד | גשם""? | It | is | raining | today | It | is | raining | today",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g4,page-060.txt,audio-text/books/english-g4/pages/page-060.txt,"שורה זהה מופיעה פעמיים ברצף: ""The park is in our town""","איך | אומרים | ""הפארק | בעיירה | שלנו""? | The | park | is | in | our | town | The | park | is | in | our | town",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g4,page-067.txt,audio-text/books/english-g4/pages/page-067.txt,"שורה זהה מופיעה פעמיים ברצף: ""We protect the trees""","איך | אומרים | ""אנחנו | שומרים | על | העצים""? | We | protect | the | trees | We | protect | the | trees",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g4,page-074.txt,audio-text/books/english-g4/pages/page-074.txt,"שורה זהה מופיעה פעמיים ברצף: ""We travel by bus""","איך | אומרים | ""אנחנו | נוסעים | באוטובוס""? | We | travel | by | bus | We | travel | by | bus",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g4,page-081.txt,audio-text/books/english-g4/pages/page-081.txt,"שורה זהה מופיעה פעמיים ברצף: ""He walks to school""","איך | אומרים | ""הוא | הולך | לבית | ספר""? | He | walks | to | school | He | walks | to | school",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g4,page-086.txt,audio-text/books/english-g4/pages/page-086.txt,"שורה זהה מופיעה פעמיים ברצף: ""She is reading now.""",Simple | — | הרגל: | He | walks | every | day. | Continuous | — | עכשיו: | She | is | reading | now. | She | is | reading | now. | היא | קוראת | עכשיו.,להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g4,page-088.txt,audio-text/books/english-g4/pages/page-088.txt,"שורה זהה מופיעה פעמיים ברצף: ""She is reading now""","איך | אומרים | ""היא | קוראת | עכשיו""? | She | is | reading | now | She | is | reading | now",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g4,page-095.txt,audio-text/books/english-g4/pages/page-095.txt,"שורה זהה מופיעה פעמיים ברצף: ""I have some apples""","איך | אומרים | ""יש | לי | כמה | תפוחים""? | I | have | some | apples | I | have | some | apples",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g4,page-102.txt,audio-text/books/english-g4/pages/page-102.txt,"שורה זהה מופיעה פעמיים ברצף: ""The tall girl runs quickly""","איך | אומרים | ""הילדה | הגבוהה | רצה | מהר""? | The | tall | girl | runs | quickly | The | tall | girl | runs | quickly",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g4,page-109.txt,audio-text/books/english-g4/pages/page-109.txt,"שורה זהה מופיעה פעמיים ברצף: ""Every day I help at home""","איך | אומרים | ""כל | יום | אני | עוזר/ת | בבית""? | Every | day | I | help | at | home | Every | day | I | help | at | home",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g4,page-116.txt,audio-text/books/english-g4/pages/page-116.txt,"שורה זהה מופיעה פעמיים ברצף: ""First we pack our bags""","איך | אומרים | ""קודם | אנחנו | אורזים | תיקים""? | First | we | pack | our | bags | First | we | pack | our | bags",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g4,page-123.txt,audio-text/books/english-g4/pages/page-123.txt,"שורה זהה מופיעה פעמיים ברצף: ""He is playing guitar""","איך | אומרים | ""הוא | מנגן | בגיטרה"" | (עכשיו)? | He | is | playing | guitar | He | is | playing | guitar",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g4,page-130.txt,audio-text/books/english-g4/pages/page-130.txt,"שורה זהה מופיעה פעמיים ברצף: ""The library is near the school""","איך | אומרים | ""הספרייה | ליד | בית | הספר""? | The | library | is | near | the | school | The | library | is | near | the | school",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g5,page-004.txt,audio-text/books/english-g5/pages/page-004.txt,"שורה זהה מופיעה פעמיים ברצף: ""The elephant walked slowly""","איך | אומרים | ""הפיל | הלך | לאט""? | The | elephant | walked | slowly | The | elephant | walked | slowly",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g5,page-011.txt,audio-text/books/english-g5/pages/page-011.txt,"שורה זהה מופיעה פעמיים ברצף: ""We visited the museum yesterday""","איך | אומרים | ""ביקרנו | במוזיאון | אתמול""? | We | visited | the | museum | yesterday | We | visited | the | museum | yesterday",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g5,page-018.txt,audio-text/books/english-g5/pages/page-018.txt,"שורה זהה מופיעה פעמיים ברצף: ""She felt proud after the test""","איך | אומרים | ""היא | הרגישה | גאה | אחרי | המבחן""? | She | felt | proud | after | the | test | She | felt | proud | after | the | test",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g5,page-025.txt,audio-text/books/english-g5/pages/page-025.txt,"שורה זהה מופיעה פעמיים ברצף: ""They planted trees last year""","איך | אומרים | ""הם | נטעו | עצים | בשנה | שעברה""? | They | planted | trees | last | year | They | planted | trees | last | year",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g5,page-032.txt,audio-text/books/english-g5/pages/page-032.txt,"שורה זהה מופיעה פעמיים ברצף: ""My grandparents live far away""","איך | אומרים | ""סבא | וסבתא | שלי | גרים | רחוק""? | My | grandparents | live | far | away | My | grandparents | live | far | away",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g5,page-039.txt,audio-text/books/english-g5/pages/page-039.txt,"שורה זהה מופיעה פעמיים ברצף: ""We cooked healthy soup""","איך | אומרים | ""בישלנו | מרק | בריא""? | We | cooked | healthy | soup | We | cooked | healthy | soup",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g5,page-046.txt,audio-text/books/english-g5/pages/page-046.txt,"שורה זהה מופיעה פעמיים ברצף: ""Our class won the project""","איך | אומרים | ""הכיתה | שלנו | ניצחה | בפרויקט""? | Our | class | won | the | project | Our | class | won | the | project",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g5,page-053.txt,audio-text/books/english-g5/pages/page-053.txt,"שורה זהה מופיעה פעמיים ברצף: ""He scored a goal yesterday""","איך | אומרים | ""הוא | הבקיע | שער | אתמול""? | He | scored | a | goal | yesterday | He | scored | a | goal | yesterday",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g5,page-060.txt,audio-text/books/english-g5/pages/page-060.txt,"שורה זהה מופיעה פעמיים ברצף: ""We will travel by train""","איך | אומרים | ""ננסע | ברכבת""? | We | will | travel | by | train | We | will | travel | by | train",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g5,page-067.txt,audio-text/books/english-g5/pages/page-067.txt,"שורה זהה מופיעה פעמיים ברצף: ""I need to rest and drink water""","איך | אומרים | ""אני | צריך | לנוח | ולשתות | מים""? | I | need | to | rest | and | drink | water | I | need | to | rest | and | drink | water",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g5,page-074.txt,audio-text/books/english-g5/pages/page-074.txt,"שורה זהה מופיעה פעמיים ברצף: ""She uses a computer for homework""","איך | אומרים | ""היא | משתמשת | במחשב | לשיעורי | בית""? | She | uses | a | computer | for | homework | She | uses | a | computer | for | homework",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g5,page-081.txt,audio-text/books/english-g5/pages/page-081.txt,"שורה זהה מופיעה פעמיים ברצף: ""I played football yesterday""","איך | אומרים | ""שיחקתי | כדורגל | אתמול""? | I | played | football | yesterday | I | played | football | yesterday",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g5,page-088.txt,audio-text/books/english-g5/pages/page-088.txt,"שורה זהה מופיעה פעמיים ברצף: ""We are going to visit grandma""","איך | אומרים | ""אנחנו | הולכים | לבקר | את | סבתא""? | We | are | going | to | visit | grandma | We | are | going | to | visit | grandma",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g5,page-095.txt,audio-text/books/english-g5/pages/page-095.txt,"שורה זהה מופיעה פעמיים ברצף: ""You must wear a helmet""","איך | אומרים | ""אתה | חייב | לחבוש | קסדה""? | You | must | wear | a | helmet | You | must | wear | a | helmet",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g5,page-102.txt,audio-text/books/english-g5/pages/page-102.txt,"שורה זהה מופיעה פעמיים ברצף: ""This book is more interesting than that one""","איך | אומרים | ""הספר | הזה | מעניין | יותר | מהספר | ההוא""? | This | book | is | more | interesting | than | that | one | This | book | is | more | interesting | than | that | one",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
High,Duplicate text,english-g5,page-109.txt,audio-text/books/english-g5/pages/page-109.txt,"שורה זהה מופיעה פעמיים ברצף: ""There were many people at the park""","איך | אומרים | ""היו | הרבה | אנשים | בפארק""? | There | were | many | people | at | the | park | There | were | many | people | at | the | park",להסיר את השורה הכפולה. לשמע זה יישמע כמו תקלה/גמגום.
