category,engine_action_or_state,source_file,exact_condition_in_code,input_fields,output_field,parent_text_template_now,example_rendered_text,positive_or_negative_or_neutral,shown_in_short_screen,shown_in_short_pdf,shown_in_detailed_screen,shown_in_detailed_pdf,hidden_or_truncated,generic_or_specific,can_duplicate_with,can_conflict_with,notes_for_hebrew_rewrite
server_insight,thin_student_data,lib/parent-server/parent-report-parent-facing.server.js,totalAnswers>0 && totalAnswers<STUDENT_REPORT_THIN_MAX,totalAnswers,insights[],יש עדיין מעט נתוני תרגול — מומלץ לשמור על תרגול קצר וקבוע.,יש עדיין מעט נתוני תרגול — מומלץ לשמור על תרגול קצר וקבוע.,neutral,yes,yes,no,no,none,generic,insufficient_data,supported weak subject,
server_insight,low_accuracy_weakest_subject,lib/parent-server/parent-report-parent-facing.server.js,allowStrongStudent && weakest.accuracy<LOW_ACCURACY(60),subjects accuracy rank,insights[],"נראה שיש קושי ב{label}, בעיקר לפי התרגולים האחרונים.","נראה שיש קושי במתמטיקה, בעיקר לפי התרגולים האחרונים.",negative,yes,yes,no,no,none,specific,engine topic weak line,strongestAreaLineHe same subject,Generic subject label — engine replaces with q/acc
server_insight,recurring_mistakes_subject,lib/parent-server/parent-report-parent-facing.server.js,allowStrongStudent && topMistakeSubjects[0],recentMistakes by subject,insights[],יש טעויות חוזרות ב{label} — שווה לחזור עליהן בקצב איטי.,יש טעויות חוזרות בגאומטריה — שווה לחזור עליהן בקצב איטי.,negative,yes,yes,no,no,none,specific,mistake pattern narrative,no_recurrence gate,Must not fire without recurrence evidence
server_insight,low_overall_accuracy,lib/parent-server/parent-report-parent-facing.server.js,overallAccuracy<60 && totalAnswers>=MIN,summary accuracy,insights[],הביצועים הכלליים בתקופה מצביעים על צורך בחיזוק נוסף.,הביצועים הכלליים בתקופה מצביעים על צורך בחיזוק נוסף.,negative,yes,yes,no,no,none,generic,low_accuracy_weakest_subject,rawMetricStrength mid band,
server_insight,subject_progress_strong,lib/parent-server/parent-report-parent-facing.server.js,allowStrongStudent && strongest.accuracy>=STRONG_ACCURACY(80),subjects rank,insights[],יש התקדמות יחסית ב{label} — כדאי לשמר את הרצף.,יש התקדמות יחסית בגאומטריה — כדאי לשמר את הרצף.,positive,yes,yes,no,no,none,specific,strongestAreaLineHe,weak same subject in engine,Vague 'progress' — engine gives q/acc
server_insight,daily_improvement,lib/parent-server/parent-report-parent-facing.server.js,detectImprovement(daily): second half acc - first >=8pp,dailyActivity correct/answers,insights[],נראה שיש שיפור ביחס לתרגולים קודמים — המשיכו בקצב הנוכחי.,נראה שיש שיפור ביחס לתרגולים קודמים — המשיכו בקצב הנוכחי.,positive,yes,yes,no,no,none,generic,row trend up,fragile_success,Does not prove stable mastery
server_insight,hedged_weak_subject,lib/parent-server/parent-report-parent-facing.server.js,allowsHedged && !allowStrong && weakest.accuracy<60,dataSufficiency PRELIMINARY,insights[],ב{label} נראה קושי יחסי לפי התרגולים — כדאי לעקוב אחרי עוד תרגול קצר.,במתמטיקה נראה קושי יחסי לפי התרגולים — כדאי לעקוב אחרי עוד תרגול קצר.,negative,yes,yes,no,no,none,specific,preliminary_signal,supported_diagnosis,
server_insight,weak_topic_hedged,lib/parent-server/parent-report-parent-facing.server.js,weakTopics[0] && allowsHedgedParentTopicInsightForCopy,"topic accuracy<60, answers>=MIN",insights[],כדאי לשים לב ל{topicLine} — זה נושא שחוזר בתרגולים.,כדאי לשים לב לחיבור — זה נושא שחוזר בתרגולים.,negative,yes,yes,no,no,none,specific,engine attention row,insufficient_mistake_evidence,
server_insight,default_fallback_insight,lib/parent-server/parent-report-parent-facing.server.js,!insights.length,(none),insights[],מומלץ לשמור על תרגול קצר וקבוע כדי ליצור רצף למידה.,מומלץ לשמור על תרגול קצר וקבוע כדי ליצור רצף למידה.,neutral,yes,yes,no,no,none,generic,engine no_urgent fallback,,
engine_insight,activity_gap_zero_diagnostic,utils/parent-report-engine-insights-he.js,diagnosticAnswers===0 && (totalAnswers>0||activity),"summary.diagnosticAnswers, totalAnswers",insights[] + summary.activityGapNoteHe,"היו {totalAnswers} תשובות באתר, אבל רק 0 נספרו לדוח הלימודי. כדי לקבל תמונה מדויקת יותר...","היו 42 תשובות באתר, אבל רק 0 נספרו לדוח הלימודי. כדי לקבל תמונה מדויקת יותר, כדאי לבצע גם תרגול שאלות רגיל במקצועות הליבה.",neutral,yes,yes,no,no,also ParentReportDataHealthNote,specific,no_data,supported diagnosis,AAA1/AAA7 case
engine_insight,activity_gap_partial_diagnostic,utils/parent-report-engine-insights-he.js,"diagnosticAnswers>0 && diagnosticAnswers<min(8,floor(total*0.35)) && total>=2*diag","diagnosticAnswers, totalAnswers",insights[],"היו {total} תשובות באתר, אבל רק {diag} נספרו לדוח...","היו 30 תשובות באתר, אבל רק 5 נספרו לדוח הלימודי...",neutral,yes,yes,no,no,none,specific,activity_gap_zero_diagnostic,,
engine_insight,activity_gap_non_diagnostic_only,utils/parent-report-engine-insights-he.js,hasNonDiagnosticActivity && diagnosticAnswers<5 && total<=diag,"learningMinutes, bookMinutes",insights[],"היו פעילויות באתר בתקופה הזו, אבל רק חלק קטן...","היו פעילויות באתר בתקופה הזו, אבל רק חלק קטן מהן מתאים לחישוב הדוח הלימודי...",neutral,yes,yes,no,no,none,generic,activity_gap_zero_diagnostic,,
engine_insight,topic_attention_insight,utils/parent-report-engine-insights-he.js,rowNeedsAttention(row): q>=3 && (acc<55 || remediate+acc<72 || behavior+acc<70),"topicEngineRowSignals, accuracy, questions",parentFacing.insights[],"ב{subject} — «{label}»: נפתרו {q} שאלות, והדיוק היה {acc}%. {pattern} משמעות: {decision}. מה לתרגל: {action}","במתמטיקה — «חיבור»: נפתרו 136 שאלות, והדיוק היה 38%. ...",negative,yes,yes,no,no,none,specific,ParentReportTopicExplainBlock,subject_progress_strong same subject,Primary diagnostic insight path post-fix
engine_insight,topic_wrong_ratio_high,utils/parent-report-engine-insights-he.js,topicWrongRatioPct>=25,"wrong, questions",insight line fragment,שיעור הטעויות: {wr}%.,שיעור הטעויות: 62%.,negative,yes,yes,no,no,none,specific,explain data section,,
engine_insight,no_pattern_honest,utils/parent-report-engine-insights-he.js,rowNeedsAttention && !parentFacingPatternLineHe,dominantMistakePattern,insight fragment,"הנתונים מצביעים על ירידה בדיוק בנושא, אבל עדיין אין מספיק מידע כדי לזהות סוג טעות קבוע.",(same),neutral,yes,yes,no,no,none,specific,explain pattern section,recurring_mistakes_subject,Honesty — no fake pattern
engine_insight,mixed_subject_strong_weak,utils/parent-report-engine-insights-he.js,same subject slot.weak && slot.strong different topics,bySubject dedupe map,insights[] merged line,"ב{subject}: ב«{strong}» יש שיפור יחסית, אבל ב«{weak}» ...","במתמטיקה: ב«חיסור» יש שיפור יחסית, אבל ב«חיבור» נפתרו 136 שאלות...",neutral,yes,yes,no,no,none,specific,requiresAttentionPreviewHe + strongestArea,self-contained contradiction risk,Dedupe required
engine_insight,no_urgent_topic,utils/parent-report-engine-insights-he.js,hasEngineRows && engineInsights.length===0 && !activityGap,collectTopicEngineRows,insights[],"בתקופה שנבחרה יש תרגול, אך לפי המנוע לא זוהה נושא דחוף אחד — מומלץ להמשיך בתרגול קצר וקבוע.",(same),neutral,yes,yes,no,no,none,generic,default_fallback_insight,topic_attention_insight,AAA1 post-fix
engine_insight,insights_override_source,lib/learning-supabase/parent-report-from-api-payload.js,applyTopicEngineParentFacingInsights after server authority,topicEngineRowSignals present,_parentFacingInsightsSource=topic_engine,(replaces server insights[]),(engine lines replace server heuristics),neutral,yes,yes,no,no,server insights discarded,specific,server_insight *,all server insights,Pipeline fork
legacy_step_rule,min_questions_low_confidence,utils/topic-next-step-engine.js,q < cfg.minQuestionsLowConfidence && q>0,"row.questions, accuracy, mistakeEventCount, stability, confidence",recommendedNextStep=maintain_and_strengthen; reasonHe/parentHe,יש רק {q} שאלות ב«{name}» — מוקדם מדי לשנות כיתה או רמת קושי.,ב«חיבור» יש רק 4 שאלות,negative,yes,yes,no,no,trace in decisionTrace only,specific,whyThisRecommendationHe step label,phase2 guard may reverse step,
legacy_step_rule,repeated_struggle_drop_level,utils/topic-next-step-engine.js,repeatedStruggle && li>=1,"row.questions, accuracy, mistakeEventCount, stability, confidence",recommendedNextStep=drop_one_level_topic_only; reasonHe/parentHe,(buildHebrewCopy drop level),ב«חיבור» → drop_one_level_topic_only,negative,yes,yes,no,no,trace in decisionTrace only,specific,whyThisRecommendationHe step label,phase2 guard may reverse step,
legacy_step_rule,repeated_struggle_drop_grade,utils/topic-next-step-engine.js,repeatedStruggle && li===0 && gi>0,"row.questions, accuracy, mistakeEventCount, stability, confidence",recommendedNextStep=drop_one_grade_topic_only; reasonHe/parentHe,(buildHebrewCopy drop grade),ב«חיבור» → drop_one_grade_topic_only,negative,yes,yes,no,no,trace in decisionTrace only,specific,whyThisRecommendationHe step label,phase2 guard may reverse step,
legacy_step_rule,remediate_mid_band_no_drag,utils/topic-next-step-engine.js,q>=minRemediate && acc in remediate band && !mistakeDrag,"row.questions, accuracy, mistakeEventCount, stability, confidence",recommendedNextStep=remediate_same_level; reasonHe/parentHe,(mid accuracy remediate),ב«חיבור» → remediate_same_level,neutral,yes,yes,no,no,trace in decisionTrace only,specific,whyThisRecommendationHe step label,phase2 guard may reverse step,
legacy_step_rule,advance_grade_topic,utils/topic-next-step-engine.js,hard level + acc/stability/confidence thresholds,"row.questions, accuracy, mistakeEventCount, stability, confidence",recommendedNextStep=advance_grade_topic_only; reasonHe/parentHe,(advance grade copy),ב«חיבור» → advance_grade_topic_only,positive,yes,yes,no,no,trace in decisionTrace only,specific,whyThisRecommendationHe step label,phase2 guard may reverse step,
legacy_step_rule,high_volume_advance_level,utils/topic-next-step-engine.js,highVolumeStrong && level not max,"row.questions, accuracy, mistakeEventCount, stability, confidence",recommendedNextStep=advance_level; reasonHe/parentHe,(advance level copy),ב«חיבור» → advance_level,positive,yes,yes,no,no,trace in decisionTrace only,specific,whyThisRecommendationHe step label,phase2 guard may reverse step,
legacy_step_rule,low_accuracy_drop_level,utils/topic-next-step-engine.js,acc low + level index,"row.questions, accuracy, mistakeEventCount, stability, confidence",recommendedNextStep=drop_one_level_topic_only; reasonHe/parentHe,(drop level low acc),ב«חיבור» → drop_one_level_topic_only,negative,yes,yes,no,no,trace in decisionTrace only,specific,whyThisRecommendationHe step label,phase2 guard may reverse step,
legacy_step_rule,low_accuracy_unknown_level_remediate,utils/topic-next-step-engine.js,low acc unknown level,"row.questions, accuracy, mistakeEventCount, stability, confidence",recommendedNextStep=remediate_same_level; reasonHe/parentHe,(remediate),ב«חיבור» → remediate_same_level,negative,yes,yes,no,no,trace in decisionTrace only,specific,whyThisRecommendationHe step label,phase2 guard may reverse step,
legacy_step_rule,low_accuracy_drop_grade,utils/topic-next-step-engine.js,low acc drop grade,"row.questions, accuracy, mistakeEventCount, stability, confidence",recommendedNextStep=drop_one_grade_topic_only; reasonHe/parentHe,(drop grade),ב«חיבור» → drop_one_grade_topic_only,negative,yes,yes,no,no,trace in decisionTrace only,specific,whyThisRecommendationHe step label,phase2 guard may reverse step,
legacy_step_rule,remediate_band,utils/topic-next-step-engine.js,default remediate band,"row.questions, accuracy, mistakeEventCount, stability, confidence",recommendedNextStep=remediate_same_level; reasonHe/parentHe,(remediate band),ב«חיבור» → remediate_same_level,negative,yes,yes,no,no,trace in decisionTrace only,specific,whyThisRecommendationHe step label,phase2 guard may reverse step,
legacy_step_rule,default_maintain,utils/topic-next-step-engine.js,fallback,"row.questions, accuracy, mistakeEventCount, stability, confidence",recommendedNextStep=maintain_and_strengthen; reasonHe/parentHe,(maintain copy),ב«חיבור» → maintain_and_strengthen,neutral,yes,yes,no,no,trace in decisionTrace only,specific,whyThisRecommendationHe step label,phase2 guard may reverse step,
legacy_step_rule,evidence_sufficiency_cap,utils/topic-next-step-engine.js,suppressAggressiveStep post-cap,"row.questions, accuracy, mistakeEventCount, stability, confidence",recommendedNextStep=maintain/remediate; reasonHe/parentHe,הנתון עדיין חלקי — לא משנים כיתה או רמת קושי כרגע,ב«חיבור» → maintain/remediate,neutral,yes,yes,no,no,trace in decisionTrace only,specific,whyThisRecommendationHe step label,phase2 guard may reverse step,
phase2_guard,hint_dependence_block_advance,utils/topic-next-step-phase2.js,applyPhase2GuardsToStep: hintDependenceRisk && isAdvance,"riskFlags, trendDer, behaviorType, row",recommendedNextStep→maintain_and_strengthen; phase2Blockers[],הילד עדיין נעזר ברמזים גבוהה — לא מקדמים רמה/כיתה אוטומטically.,הילד עדיין נעזר ברמזים גבוהה — לא מקדמים רמה/כיתה אוטומטically.,neutral,yes,partial,no,no,blocker detail in trace; may append to whyThisRecommendationHe,specific,risk flag labels,legacy advance rule,
phase2_guard,fragile_success_block_advance,utils/topic-next-step-phase2.js,applyPhase2GuardsToStep: fragile_success && (!progressSupportsAdvance||hint||!sufficiencyStrong),"riskFlags, trendDer, behaviorType, row",recommendedNextStep→maintain_and_strengthen; phase2Blockers[],ההצלחה עדיין לא תמיד נשמרת לבד — לא מתקדמים...,ההצלחה עדיין לא תמיד נשמרת לבד — לא מתקדמים...,neutral,yes,partial,no,no,blocker detail in trace; may append to whyThisRecommendationHe,specific,risk flag labels,legacy advance rule,
phase2_guard,stable_mastery_guard_advance,utils/topic-next-step-phase2.js,applyPhase2GuardsToStep: stable_mastery && (insufficientEvidenceRisk||falsePromotionRisk||unclearTrend),"riskFlags, trendDer, behaviorType, row",recommendedNextStep→maintain_and_strengthen; phase2Blockers[],הילד מצליח בנושא — מקדמים רק כשיש מספיק תרגול...,הילד מצליח בנושא — מקדמים רק כשיש מספיק תרגול...,positive,yes,partial,no,no,blocker detail in trace; may append to whyThisRecommendationHe,specific,risk flag labels,legacy advance rule,
phase2_guard,false_promotion_guard,utils/topic-next-step-phase2.js,applyPhase2GuardsToStep: falsePromotionRisk && aggressive step,"riskFlags, trendDer, behaviorType, row",recommendedNextStep→maintain_and_strengthen; phase2Blockers[],יש חשש שהתקדמות תהיה מוקדמת מדי — לא מקדמים עכשיו.,יש חשש שהתקדמות תהיה מוקדמת מדי — לא מקדמים עכשיו.,neutral,yes,partial,no,no,blocker detail in trace; may append to whyThisRecommendationHe,specific,risk flag labels,legacy advance rule,
phase2_guard,unclear_trend_cap_aggressive,utils/topic-next-step-phase2.js,applyPhase2GuardsToStep: unclearTrend && aggressive && !strongPerformanceNoTrend,"riskFlags, trendDer, behaviorType, row",recommendedNextStep→maintain_and_strengthen; phase2Blockers[],עדיין לא ברור כיוון הדיוק לאורך זמן...,עדיין לא ברור כיוון הדיוק לאורך זמן...,neutral,yes,partial,no,no,blocker detail in trace; may append to whyThisRecommendationHe,specific,risk flag labels,legacy advance rule,
phase2_guard,accuracy_up_independence_down,utils/topic-next-step-phase2.js,applyPhase2GuardsToStep: fragileProgressPattern && advance,"riskFlags, trendDer, behaviorType, row",recommendedNextStep→maintain_and_strengthen; phase2Blockers[],"הדיוק עולה, אבל הילד עדיין צריך יותר עזרה...","הדיוק עולה, אבל הילד עדיין צריך יותר עזרה...",neutral,yes,partial,no,no,blocker detail in trace; may append to whyThisRecommendationHe,specific,risk flag labels,legacy advance rule,
phase2_guard,speed_only_block_drop,utils/topic-next-step-phase2.js,applyPhase2GuardsToStep: speedOnlyRisk && drop step,"riskFlags, trendDer, behaviorType, row",recommendedNextStep→maintain_and_strengthen; phase2Blockers[],קושי שמופיע בעיקר תחת לחץ זמן — לא מורידים רמה...,קושי שמופיע בעיקר תחת לחץ זמן — לא מורידים רמה...,neutral,yes,partial,no,no,blocker detail in trace; may append to whyThisRecommendationHe,specific,risk flag labels,legacy advance rule,
phase2_guard,instruction_friction_soften_drop,utils/topic-next-step-phase2.js,applyPhase2GuardsToStep: instruction_friction && drop && !strongKnowledgeGap,"riskFlags, trendDer, behaviorType, row",recommendedNextStep→remediate_same_level; phase2Blockers[],ייתכן שהקושי קשור להבנת המשימה...,ייתכן שהקושי קשור להבנת המשימה...,neutral,yes,partial,no,no,blocker detail in trace; may append to whyThisRecommendationHe,specific,risk flag labels,legacy advance rule,
phase2_guard,careless_pattern_before_drop,utils/topic-next-step-phase2.js,applyPhase2GuardsToStep: careless_pattern && drop,"riskFlags, trendDer, behaviorType, row",recommendedNextStep→remediate_same_level; phase2Blockers[],דפוס רשלנות — מעדיפים חיזוק ברמה לפני ירידה.,דפוס רשלנות — מעדיפים חיזוק ברמה לפני ירידה.,negative,yes,partial,no,no,blocker detail in trace; may append to whyThisRecommendationHe,specific,risk flag labels,legacy advance rule,
phase2_guard,knowledge_gap_respect_positive_trend,utils/topic-next-step-phase2.js,applyPhase2GuardsToStep: knowledge_gap && drop && positiveAccuracy,"riskFlags, trendDer, behaviorType, row",recommendedNextStep→remediate_same_level; phase2Blockers[],"יש סימן לקושי, אבל הדיוק משתפר...","יש סימן לקושי, אבל הדיוק משתפר...",neutral,yes,partial,no,no,blocker detail in trace; may append to whyThisRecommendationHe,specific,risk flag labels,legacy advance rule,
phase2_guard,false_remediation_guard,utils/topic-next-step-phase2.js,applyPhase2GuardsToStep: falseRemediationRisk && drop,"riskFlags, trendDer, behaviorType, row",recommendedNextStep→remediate_same_level; phase2Blockers[],יש חשש לתרגול כבד מדי — עדיף חיזוק קצר.,יש חשש לתרגול כבד מדי — עדיף חיזוק קצר.,neutral,yes,partial,no,no,blocker detail in trace; may append to whyThisRecommendationHe,specific,risk flag labels,legacy advance rule,
phase2_guard,recent_transition_caution,utils/topic-next-step-phase2.js,applyPhase2GuardsToStep: negativeTrendAfterRecentDifficultyIncrease && drop_grade,"riskFlags, trendDer, behaviorType, row",recommendedNextStep→remediate_same_level; phase2Blockers[],אחרי קושי אחרון נראית ירידה...,אחרי קושי אחרון נראית ירידה...,neutral,yes,partial,no,no,blocker detail in trace; may append to whyThisRecommendationHe,specific,risk flag labels,legacy advance rule,
phase2_guard,fluency_positive_speed_context,utils/topic-next-step-phase2.js,applyPhase2GuardsToStep: fluencySupportWithoutAccuracyDrop && speedOnly && drop_level,"riskFlags, trendDer, behaviorType, row",recommendedNextStep→maintain_and_strengthen; phase2Blockers[],יש שיפור בקצב בלי ירידה בדיוק...,יש שיפור בקצב בלי ירידה בדיוק...,positive,yes,partial,no,no,blocker detail in trace; may append to whyThisRecommendationHe,specific,risk flag labels,legacy advance rule,
phase2_guard,insufficient_evidence_cap_phase2,utils/topic-next-step-phase2.js,applyPhase2GuardsToStep: insufficientEvidenceRisk && aggressive,"riskFlags, trendDer, behaviorType, row",recommendedNextStep→maintain_and_strengthen; phase2Blockers[],אין מספיק מידע לשינוי גדול עכשיו.,אין מספיק מידע לשינוי גדול עכשיו.,neutral,yes,partial,no,no,blocker detail in trace; may append to whyThisRecommendationHe,specific,risk flag labels,legacy advance rule,
phase2_guard,risk_profile_prefer_remediate_over_maintain,utils/topic-next-step-phase2.js,applyPhase2GuardsToStep: fragileLike && maintain && q>=10 && wrongRR>=0.15 && acc<88,"riskFlags, trendDer, behaviorType, row",recommendedNextStep→remediate_same_level; phase2Blockers[],זוהה דפוס סיכון/שבריריות — מעדיפים חיזוק ממוקד...,זוהה דפוס סיכון/שבריריות — מעדיפים חיזוק ממוקד...,negative,yes,partial,no,no,blocker detail in trace; may append to whyThisRecommendationHe,specific,risk flag labels,legacy advance rule,
phase2_guard,intelligence_decision_guards,utils/topic-next-step-phase2.js,applyPhase2GuardsToStep: applyIntelligenceDecisionGuards applied,"riskFlags, trendDer, behaviorType, row",recommendedNextStep→(varies); phase2Blockers[],(intelligence blockers),(intelligence blockers),neutral,yes,partial,no,no,blocker detail in trace; may append to whyThisRecommendationHe,specific,risk flag labels,legacy advance rule,
phase7_restraint,phase7_restraint_cap_advance,utils/topic-next-step-phase2.js,shouldAvoidStrongConclusion && advance step,"restraint.conclusionStrength, rootCause",maintain_and_strengthen,הנתונים עדיין חלקיים — לא מקדמים כיתה או רמת קושי כרגע.,הנתונים עדיין חלקיים — לא מקדמים כיתה או רמת קושי כרגע.,neutral,yes,yes,no,no,appended to parentHe not always visible in short,specific,preliminary_signal,advance_grade_topic legacy,
phase7_restraint,phase7_restraint_soften_drop,utils/topic-next-step-phase2.js,shouldAvoid && drop step,"restraint.conclusionStrength, rootCause",remediate_same_level,לא מורידים רמה כשעדיין אין מספיק מידע — ממשיכים בחיזוק.,לא מורידים רמה כשעדיין אין מספיק מידע — ממשיכים בחיזוק.,neutral,yes,yes,no,no,appended to parentHe not always visible in short,specific,preliminary_signal,advance_grade_topic legacy,
phase7_restraint,phase7_insufficient_evidence_drop,utils/topic-next-step-phase2.js,rootCause===insufficient_evidence && drop,"restraint.conclusionStrength, rootCause",remediate_same_level,אין עדיין מספיק מידע — לא מורידים רמה; ממשיכים בחיזוק מבוקר.,אין עדיין מספיק מידע — לא מורידים רמה; ממשיכים בחיזוק מבוקר.,neutral,yes,yes,no,no,appended to parentHe not always visible in short,specific,preliminary_signal,advance_grade_topic legacy,
phase7_restraint,phase7_early_stage_soften_drop,utils/topic-next-step-phase2.js,rootCause===early_stage_instability && drop && conclusionStrength!=='strong',"restraint.conclusionStrength, rootCause",remediate_same_level,עדיין מוקדם להוריד רמה — קודם מנסים חיזוק קצר.,עדיין מוקדם להוריד רמה — קודם מנסים חיזוק קצר.,neutral,yes,yes,no,no,appended to parentHe not always visible in short,specific,preliminary_signal,advance_grade_topic legacy,
phase7_restraint,phase7_soft_copy_withheld,utils/topic-next-step-phase2.js,mergePhase7SoftHebrewCopy: cs==='withheld'||level==='insufficient',"restraint.conclusionStrength, rootCause",parentHe append,עדיין מוקדם לקבוע כיוון ברור — עדיף תרגול קצר ושגרתי באותה רמה.,עדיין מוקדם לקבוע כיוון ברור — עדיף תרגול קצר ושגרתי באותה רמה.,neutral,yes,yes,no,no,appended to parentHe not always visible in short,specific,preliminary_signal,advance_grade_topic legacy,
phase7_restraint,phase7_soft_copy_tentative,utils/topic-next-step-phase2.js,cs==='tentative'||shouldAvoidStrongConclusion,"restraint.conclusionStrength, rootCause",parentHe append,"מסכמים בזהירות: צעדים קטנים וברורים, בלי קפיצות.","מסכמים בזהירות: צעדים קטנים וברורים, בלי קפיצות.",neutral,yes,yes,no,no,appended to parentHe not always visible in short,specific,preliminary_signal,advance_grade_topic legacy,
root_cause,insufficient_evidence,utils/parent-report-root-cause.js,estimateRowRootCause: level==='insufficient'||conclusionStrength==='withheld',"behaviorType, riskFlags, trendDer, q, accuracy, wrongRatio, restraint","rootCause, rootCauseLabelHe, rootCauseNarrativeHe",{rootCauseLabelHe}. {rootCauseNarrativeHe},עדיין אין בסיס מספיק כדי לומר במדויק מה מקור הקושי,neutral,yes,yes,no,no,technical profile suffix in narrative (behaviorType id),specific,diagnosticTypeLabelHe,stable_mastery same row,Strip technical suffix for parents
root_cause,knowledge_gap,utils/parent-report-root-cause.js,estimateRowRootCause: behaviorType knowledge_gap + strong evidence OR default,"behaviorType, riskFlags, trendDer, q, accuracy, wrongRatio, restraint","rootCause, rootCauseLabelHe, rootCauseNarrativeHe",{rootCauseLabelHe}. {rootCauseNarrativeHe},הנתונים תומכים בפער ידע ממוקד לצד דיוק נמוך,negative,yes,yes,no,no,technical profile suffix in narrative (behaviorType id),specific,diagnosticTypeLabelHe,stable_mastery same row,Strip technical suffix for parents
