path,from,to,reason
english/english-g2/pages/page-055.txt,לכתוב ✓,התשובה היא לכתוב.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-062.txt,קוראים ספר (read a book) ✓,התשובה היא: קוראים ספר — read a book.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-069.txt,friend ✓,התשובה היא friend.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-076.txt,אנחנו קוראים (We read) ✓,התשובה היא: אנחנו קוראים — We read.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-083.txt,The book is red ✓,התשובה היא: The book is red.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-090.txt,I am twelve ✓,התשובה היא: I am twelve.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-097.txt,This is my book ✓,התשובה היא: This is my book.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-104.txt,I see a cat ✓,התשובה היא: I see a cat.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-111.txt,I am happy ✓,התשובה היא: I am happy.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-118.txt,I run ✓,התשובה היא: I run.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-125.txt,I have a pen ✓,התשובה היא: I have a pen.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-132.txt,bread ✓,התשובה היא bread.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-139.txt,table ✓,התשובה היא table.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-146.txt,He is sad ✓,התשובה היא: He is sad.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-153.txt,dogs ✓,התשובה היא dogs.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-160.txt,I have a book ✓,התשובה היא: I have a book.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-167.txt,I go to school ✓,התשובה היא: I go to school.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-174.txt,Hello ✓,התשובה היא Hello.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g2/pages/page-181.txt,I go to school ✓,התשובה היא: I go to school.,הסרת סימן ✓ כדי שהטקסט ייקרא ויישמע טבעי.
english/english-g5/pages/page-093.txt,can — יכול/מותר:,can — אפשר או מותר:,הסרת slash בעברית כדי שהמשפט ייקרא טבעי.
